type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,acceleo,CLOSED,2022-12-30,2024-09-16,627,Graduated
comment,acceleo,NA,2022-12-30,2022-12-30,1,Graduated
issue,acceleo,OPEN,2023-02-20,2023-02-20,1,Graduated
issue,acceleo,CLOSED,2023-02-20,2025-02-13,725,Graduated
issue,acceleo,OPEN,2023-02-20,2023-02-20,1,Graduated
issue,acceleo,CLOSED,2023-02-20,2024-09-16,575,Graduated
issue,acceleo,CLOSED,2023-02-20,2024-09-16,575,Graduated
issue,acceleo,CLOSED,2023-02-20,2024-09-16,575,Graduated
issue,acceleo,CLOSED,2023-02-20,2024-09-16,575,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-11-18,637,Graduated
comment,acceleo,NA,2023-02-23,2023-02-23,1,Graduated
comment,acceleo,NA,2024-10-08,2024-10-08,1,Graduated
comment,acceleo,NA,2024-11-18,2024-11-18,1,Graduated
issue,acceleo,OPEN,2023-02-21,2023-03-10,18,Graduated
comment,acceleo,NA,2023-02-24,2023-02-24,1,Graduated
comment,acceleo,NA,2023-03-10,2023-03-10,1,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
comment,acceleo,NA,2023-04-24,2023-04-24,1,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
issue,acceleo,CLOSED,2023-02-21,2024-09-16,574,Graduated
issue,acceleo,CLOSED,2023-02-22,2024-09-16,573,Graduated
issue,acceleo,CLOSED,2023-02-22,2024-09-16,573,Graduated
issue,acceleo,CLOSED,2023-02-23,2024-09-16,572,Graduated
issue,acceleo,OPEN,2023-02-23,2023-02-23,1,Graduated
issue,acceleo,OPEN,2023-02-23,2023-02-23,1,Graduated
issue,acceleo,OPEN,2023-02-24,2023-02-28,5,Graduated
issue,acceleo,OPEN,2023-02-24,2023-02-24,1,Graduated
issue,acceleo,CLOSED,2023-02-24,2024-09-16,571,Graduated
comment,acceleo,NA,2023-06-05,2023-06-05,1,Graduated
issue,acceleo,OPEN,2023-02-24,2023-09-28,217,Graduated
comment,acceleo,NA,2023-09-28,2023-09-28,1,Graduated
issue,acceleo,OPEN,2023-02-24,2023-02-24,1,Graduated
issue,acceleo,CLOSED,2023-02-28,2024-09-16,567,Graduated
comment,acceleo,NA,2024-01-29,2024-01-29,1,Graduated
issue,acceleo,CLOSED,2023-02-28,2024-09-16,567,Graduated
comment,acceleo,NA,2023-04-04,2023-04-04,1,Graduated
issue,acceleo,CLOSED,2023-02-28,2024-09-16,567,Graduated
comment,acceleo,NA,2023-03-03,2023-03-03,1,Graduated
issue,acceleo,CLOSED,2023-02-28,2024-09-16,567,Graduated
issue,acceleo,OPEN,2023-03-01,2023-03-01,1,Graduated
issue,acceleo,CLOSED,2023-03-02,2024-09-16,565,Graduated
comment,acceleo,NA,2023-05-09,2023-05-09,1,Graduated
issue,acceleo,CLOSED,2023-03-02,2024-09-16,565,Graduated
issue,acceleo,CLOSED,2023-03-02,2024-09-16,565,Graduated
comment,acceleo,NA,2023-03-09,2023-03-09,1,Graduated
issue,acceleo,CLOSED,2023-03-03,2024-09-16,564,Graduated
comment,acceleo,NA,2023-04-07,2023-04-07,1,Graduated
issue,acceleo,OPEN,2023-03-09,2023-05-02,55,Graduated
comment,acceleo,NA,2023-03-10,2023-03-10,1,Graduated
comment,acceleo,NA,2023-03-13,2023-03-13,1,Graduated
comment,acceleo,NA,2023-05-02,2023-05-02,1,Graduated
issue,acceleo,CLOSED,2023-03-14,2024-09-16,553,Graduated
issue,acceleo,CLOSED,2023-03-15,2024-09-16,552,Graduated
issue,acceleo,CLOSED,2023-03-15,2024-09-16,552,Graduated
comment,acceleo,NA,2023-04-06,2023-04-06,1,Graduated
issue,acceleo,OPEN,2023-03-15,2023-04-07,24,Graduated
comment,acceleo,NA,2023-04-07,2023-04-07,1,Graduated
issue,acceleo,CLOSED,2023-03-15,2024-09-16,552,Graduated
issue,acceleo,CLOSED,2023-03-15,2024-09-16,552,Graduated
issue,acceleo,CLOSED,2023-03-15,2024-09-16,552,Graduated
comment,acceleo,NA,2023-04-03,2023-04-03,1,Graduated
comment,acceleo,NA,2023-04-04,2023-04-04,1,Graduated
issue,acceleo,CLOSED,2023-03-15,2024-09-16,552,Graduated
comment,acceleo,NA,2023-03-17,2023-03-17,1,Graduated
issue,acceleo,CLOSED,2023-03-17,2024-09-16,550,Graduated
comment,acceleo,NA,2023-09-28,2023-09-28,1,Graduated
issue,acceleo,OPEN,2023-03-17,2023-03-17,1,Graduated
issue,acceleo,CLOSED,2023-03-17,2024-09-16,550,Graduated
issue,acceleo,OPEN,2023-03-17,2024-03-15,365,Graduated
comment,acceleo,NA,2023-06-22,2023-06-22,1,Graduated
comment,acceleo,NA,2024-03-15,2024-03-15,1,Graduated
issue,acceleo,CLOSED,2023-03-17,2024-09-16,550,Graduated
issue,acceleo,CLOSED,2023-03-17,2024-09-16,550,Graduated
issue,acceleo,CLOSED,2023-03-20,2024-09-16,547,Graduated
issue,acceleo,CLOSED,2023-03-22,2024-09-16,545,Graduated
issue,acceleo,OPEN,2023-04-03,2023-04-03,1,Graduated
issue,acceleo,OPEN,2023-04-03,2023-04-03,1,Graduated
issue,acceleo,CLOSED,2023-04-05,2024-09-16,531,Graduated
issue,acceleo,CLOSED,2023-04-05,2024-09-16,531,Graduated
issue,acceleo,CLOSED,2023-04-06,2024-09-16,530,Graduated
issue,acceleo,CLOSED,2023-04-06,2024-09-16,530,Graduated
issue,acceleo,CLOSED,2023-05-09,2024-09-16,497,Graduated
comment,acceleo,NA,2024-02-27,2024-02-27,1,Graduated
issue,acceleo,CLOSED,2023-05-30,2024-09-16,476,Graduated
issue,acceleo,CLOSED,2023-06-02,2024-09-16,473,Graduated
issue,acceleo,CLOSED,2023-06-05,2024-09-16,470,Graduated
comment,acceleo,NA,2024-02-22,2024-02-22,1,Graduated
issue,acceleo,CLOSED,2023-06-05,2024-09-16,470,Graduated
issue,acceleo,OPEN,2023-06-05,2023-06-05,1,Graduated
issue,acceleo,CLOSED,2023-06-05,2024-09-16,470,Graduated
issue,acceleo,CLOSED,2023-06-05,2024-09-16,470,Graduated
issue,acceleo,CLOSED,2023-06-07,2024-09-16,468,Graduated
comment,acceleo,NA,2023-06-08,2023-06-08,1,Graduated
issue,acceleo,OPEN,2023-06-08,2023-06-08,1,Graduated
issue,acceleo,CLOSED,2023-06-08,2024-09-16,467,Graduated
comment,acceleo,NA,2024-05-24,2024-05-24,1,Graduated
issue,acceleo,CLOSED,2023-06-08,2024-09-16,467,Graduated
issue,acceleo,CLOSED,2023-06-08,2024-09-16,467,Graduated
issue,acceleo,OPEN,2023-06-14,2023-06-14,1,Graduated
issue,acceleo,CLOSED,2023-06-14,2024-09-16,461,Graduated
issue,acceleo,CLOSED,2023-06-14,2024-09-16,461,Graduated
comment,acceleo,NA,2023-06-16,2023-06-16,1,Graduated
issue,acceleo,CLOSED,2023-06-19,2024-09-16,456,Graduated
comment,acceleo,NA,2023-10-26,2023-10-26,1,Graduated
issue,acceleo,OPEN,2023-06-21,2024-11-13,512,Graduated
comment,acceleo,NA,2024-11-13,2024-11-13,1,Graduated
issue,acceleo,OPEN,2023-06-22,2023-06-22,1,Graduated
