type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,age,CLOSED,2021-01-25,2021-01-28,4,Graduated
comment,age,NA,2021-01-25,2021-01-25,1,Graduated
comment,age,NA,2021-01-25,2021-01-25,1,Graduated
issue,age,CLOSED,2021-01-27,2021-02-16,21,Graduated
comment,age,NA,2021-01-27,2021-01-27,1,Graduated
comment,age,NA,2021-01-27,2021-01-27,1,Graduated
comment,age,NA,2021-02-08,2021-02-08,1,Graduated
comment,age,NA,2021-02-09,2021-02-09,1,Graduated
comment,age,NA,2021-02-10,2021-02-10,1,Graduated
issue,age,CLOSED,2021-01-27,2021-01-27,1,Graduated
comment,age,NA,2021-01-27,2021-01-27,1,Graduated
comment,age,NA,2021-01-27,2021-01-27,1,Graduated
issue,age,CLOSED,2021-02-11,2021-02-17,7,Graduated
comment,age,NA,2021-02-12,2021-02-12,1,Graduated
issue,age,CLOSED,2021-02-17,2021-11-30,287,Graduated
comment,age,NA,2021-06-21,2021-06-21,1,Graduated
issue,age,OPEN,2021-02-17,2021-06-21,125,Graduated
comment,age,NA,2021-02-20,2021-02-20,1,Graduated
comment,age,NA,2021-03-02,2021-03-02,1,Graduated
issue,age,OPEN,2021-02-17,2022-02-08,357,Graduated
comment,age,NA,2021-02-18,2021-02-18,1,Graduated
comment,age,NA,2021-03-04,2021-03-04,1,Graduated
comment,age,NA,2021-09-27,2021-09-27,1,Graduated
comment,age,NA,2021-09-27,2021-09-27,1,Graduated
comment,age,NA,2022-02-08,2022-02-08,1,Graduated
issue,age,CLOSED,2021-03-02,2021-04-01,31,Graduated
comment,age,NA,2021-03-02,2021-03-02,1,Graduated
comment,age,NA,2021-03-02,2021-03-02,1,Graduated
comment,age,NA,2021-03-02,2021-03-02,1,Graduated
comment,age,NA,2021-03-02,2021-03-02,1,Graduated
comment,age,NA,2021-03-24,2021-03-24,1,Graduated
comment,age,NA,2021-03-24,2021-03-24,1,Graduated
comment,age,NA,2021-03-24,2021-03-24,1,Graduated
comment,age,NA,2021-03-24,2021-03-24,1,Graduated
comment,age,NA,2021-03-24,2021-03-24,1,Graduated
comment,age,NA,2021-04-01,2021-04-01,1,Graduated
comment,age,NA,2021-04-01,2021-04-01,1,Graduated
comment,age,NA,2021-04-01,2021-04-01,1,Graduated
comment,age,NA,2021-04-01,2021-04-01,1,Graduated
issue,age,CLOSED,2021-03-02,2021-06-25,116,Graduated
comment,age,NA,2021-03-16,2021-03-16,1,Graduated
comment,age,NA,2021-03-16,2021-03-16,1,Graduated
issue,age,CLOSED,2021-03-02,2021-06-16,107,Graduated
comment,age,NA,2021-03-03,2021-03-03,1,Graduated
comment,age,NA,2021-03-05,2021-03-05,1,Graduated
issue,age,CLOSED,2021-03-05,2021-10-29,239,Graduated
comment,age,NA,2021-03-07,2021-03-07,1,Graduated
comment,age,NA,2021-10-29,2021-10-29,1,Graduated
issue,age,CLOSED,2021-03-05,2021-03-06,2,Graduated
