type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,birt,CLOSED,2021-03-04,2021-11-04,246,Graduated
comment,birt,NA,2021-03-04,2021-03-04,1,Graduated
issue,birt,CLOSED,2021-03-05,2021-12-02,273,Graduated
comment,birt,NA,2021-03-17,2021-03-17,1,Graduated
comment,birt,NA,2021-03-19,2021-03-19,1,Graduated
comment,birt,NA,2021-04-02,2021-04-02,1,Graduated
comment,birt,NA,2021-04-05,2021-04-05,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-11,2021-04-11,1,Graduated
comment,birt,NA,2021-12-02,2021-12-02,1,Graduated
issue,birt,CLOSED,2021-03-05,2021-03-08,4,Graduated
issue,birt,CLOSED,2021-03-05,2021-03-07,3,Graduated
issue,birt,CLOSED,2021-03-05,2021-11-05,246,Graduated
comment,birt,NA,2021-09-07,2021-09-07,1,Graduated
comment,birt,NA,2021-10-31,2021-10-31,1,Graduated
comment,birt,NA,2021-11-01,2021-11-01,1,Graduated
comment,birt,NA,2021-11-01,2021-11-01,1,Graduated
comment,birt,NA,2021-11-01,2021-11-01,1,Graduated
comment,birt,NA,2021-11-01,2021-11-01,1,Graduated
comment,birt,NA,2021-11-01,2021-11-01,1,Graduated
comment,birt,NA,2021-11-01,2021-11-01,1,Graduated
comment,birt,NA,2021-11-05,2021-11-05,1,Graduated
issue,birt,CLOSED,2021-03-06,2021-03-11,6,Graduated
comment,birt,NA,2021-03-06,2021-03-06,1,Graduated
comment,birt,NA,2021-03-09,2021-03-09,1,Graduated
issue,birt,CLOSED,2021-03-07,2021-03-07,1,Graduated
comment,birt,NA,2021-03-07,2021-03-07,1,Graduated
comment,birt,NA,2021-03-07,2021-03-07,1,Graduated
issue,birt,CLOSED,2021-03-07,2021-10-30,238,Graduated
comment,birt,NA,2021-03-08,2021-03-08,1,Graduated
comment,birt,NA,2021-03-09,2021-03-09,1,Graduated
comment,birt,NA,2021-03-09,2021-03-09,1,Graduated
comment,birt,NA,2021-03-09,2021-03-09,1,Graduated
comment,birt,NA,2021-03-09,2021-03-09,1,Graduated
comment,birt,NA,2021-03-24,2021-03-24,1,Graduated
comment,birt,NA,2021-03-25,2021-03-25,1,Graduated
comment,birt,NA,2021-03-29,2021-03-29,1,Graduated
comment,birt,NA,2021-03-30,2021-03-30,1,Graduated
comment,birt,NA,2021-03-30,2021-03-30,1,Graduated
comment,birt,NA,2021-03-30,2021-03-30,1,Graduated
comment,birt,NA,2021-03-30,2021-03-30,1,Graduated
comment,birt,NA,2021-03-30,2021-03-30,1,Graduated
comment,birt,NA,2021-03-31,2021-03-31,1,Graduated
comment,birt,NA,2021-03-31,2021-03-31,1,Graduated
comment,birt,NA,2021-03-31,2021-03-31,1,Graduated
comment,birt,NA,2021-03-31,2021-03-31,1,Graduated
comment,birt,NA,2021-03-31,2021-03-31,1,Graduated
comment,birt,NA,2021-03-31,2021-03-31,1,Graduated
comment,birt,NA,2021-04-02,2021-04-02,1,Graduated
comment,birt,NA,2021-04-02,2021-04-02,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-04-06,2021-04-06,1,Graduated
comment,birt,NA,2021-06-28,2021-06-28,1,Graduated
comment,birt,NA,2021-07-20,2021-07-20,1,Graduated
comment,birt,NA,2021-08-19,2021-08-19,1,Graduated
issue,birt,CLOSED,2021-03-11,2021-04-19,40,Graduated
comment,birt,NA,2021-03-11,2021-03-11,1,Graduated
issue,birt,CLOSED,2021-03-11,2021-04-19,40,Graduated
comment,birt,NA,2021-03-12,2021-03-12,1,Graduated
issue,birt,CLOSED,2021-03-12,2021-04-15,35,Graduated
comment,birt,NA,2021-04-15,2021-04-15,1,Graduated
issue,birt,CLOSED,2021-03-12,2021-04-15,35,Graduated
comment,birt,NA,2021-04-15,2021-04-15,1,Graduated
issue,birt,CLOSED,2021-03-12,2021-03-15,4,Graduated
comment,birt,NA,2021-03-12,2021-03-12,1,Graduated
comment,birt,NA,2021-03-15,2021-03-15,1,Graduated
comment,birt,NA,2021-03-15,2021-03-15,1,Graduated
issue,birt,CLOSED,2021-03-15,2022-09-27,562,Graduated
comment,birt,NA,2021-03-15,2021-03-15,1,Graduated
comment,birt,NA,2021-03-17,2021-03-17,1,Graduated
comment,birt,NA,2021-03-18,2021-03-18,1,Graduated
comment,birt,NA,2021-03-18,2021-03-18,1,Graduated
comment,birt,NA,2021-03-24,2021-03-24,1,Graduated
comment,birt,NA,2021-03-25,2021-03-25,1,Graduated
comment,birt,NA,2022-09-27,2022-09-27,1,Graduated
issue,birt,CLOSED,2021-03-15,2021-03-15,1,Graduated
comment,birt,NA,2021-03-15,2021-03-15,1,Graduated
issue,birt,CLOSED,2021-03-15,2021-11-04,235,Graduated
comment,birt,NA,2021-03-15,2021-03-15,1,Graduated
issue,birt,CLOSED,2021-03-15,2021-03-22,8,Graduated
comment,birt,NA,2021-03-22,2021-03-22,1,Graduated
issue,birt,CLOSED,2021-03-16,2021-03-24,9,Graduated
comment,birt,NA,2021-03-16,2021-03-16,1,Graduated
comment,birt,NA,2021-03-16,2021-03-16,1,Graduated
comment,birt,NA,2021-03-17,2021-03-17,1,Graduated
comment,birt,NA,2021-03-17,2021-03-17,1,Graduated
comment,birt,NA,2021-03-24,2021-03-24,1,Graduated
issue,birt,CLOSED,2021-03-17,2022-02-01,322,Graduated
comment,birt,NA,2021-04-24,2021-04-24,1,Graduated
comment,birt,NA,2021-04-25,2021-04-25,1,Graduated
comment,birt,NA,2021-04-26,2021-04-26,1,Graduated
comment,birt,NA,2021-04-26,2021-04-26,1,Graduated
comment,birt,NA,2021-04-27,2021-04-27,1,Graduated
comment,birt,NA,2021-04-28,2021-04-28,1,Graduated
comment,birt,NA,2021-06-03,2021-06-03,1,Graduated
comment,birt,NA,2022-02-01,2022-02-01,1,Graduated
issue,birt,CLOSED,2021-03-17,2022-02-22,343,Graduated
comment,birt,NA,2021-03-17,2021-03-17,1,Graduated
comment,birt,NA,2021-03-24,2021-03-24,1,Graduated
comment,birt,NA,2022-02-22,2022-02-22,1,Graduated
issue,birt,CLOSED,2021-03-22,2021-03-30,9,Graduated
comment,birt,NA,2021-03-22,2021-03-22,1,Graduated
comment,birt,NA,2021-03-22,2021-03-22,1,Graduated
comment,birt,NA,2021-03-22,2021-03-22,1,Graduated
comment,birt,NA,2021-03-22,2021-03-22,1,Graduated
comment,birt,NA,2021-03-22,2021-03-22,1,Graduated
comment,birt,NA,2021-03-23,2021-03-23,1,Graduated
comment,birt,NA,2021-03-23,2021-03-23,1,Graduated
comment,birt,NA,2021-03-24,2021-03-24,1,Graduated
comment,birt,NA,2021-03-24,2021-03-24,1,Graduated
issue,birt,OPEN,2021-03-24,2025-01-03,1382,Graduated
comment,birt,NA,2021-04-29,2021-04-29,1,Graduated
comment,birt,NA,2021-04-29,2021-04-29,1,Graduated
comment,birt,NA,2021-04-30,2021-04-30,1,Graduated
comment,birt,NA,2021-09-13,2021-09-13,1,Graduated
comment,birt,NA,2021-09-13,2021-09-13,1,Graduated
comment,birt,NA,2021-09-14,2021-09-14,1,Graduated
comment,birt,NA,2021-09-15,2021-09-15,1,Graduated
comment,birt,NA,2022-03-15,2022-03-15,1,Graduated
comment,birt,NA,2022-03-15,2022-03-15,1,Graduated
comment,birt,NA,2022-03-15,2022-03-15,1,Graduated
comment,birt,NA,2022-03-15,2022-03-15,1,Graduated
comment,birt,NA,2022-03-15,2022-03-15,1,Graduated
comment,birt,NA,2022-03-15,2022-03-15,1,Graduated
comment,birt,NA,2022-03-16,2022-03-16,1,Graduated
comment,birt,NA,2022-03-16,2022-03-16,1,Graduated
comment,birt,NA,2022-03-16,2022-03-16,1,Graduated
comment,birt,NA,2022-03-16,2022-03-16,1,Graduated
comment,birt,NA,2022-03-17,2022-03-17,1,Graduated
comment,birt,NA,2022-03-17,2022-03-17,1,Graduated
comment,birt,NA,2022-03-17,2022-03-17,1,Graduated
comment,birt,NA,2022-03-17,2022-03-17,1,Graduated
comment,birt,NA,2022-03-18,2022-03-18,1,Graduated
comment,birt,NA,2022-03-18,2022-03-18,1,Graduated
comment,birt,NA,2022-03-18,2022-03-18,1,Graduated
comment,birt,NA,2022-03-18,2022-03-18,1,Graduated
comment,birt,NA,2022-03-19,2022-03-19,1,Graduated
comment,birt,NA,2022-03-19,2022-03-19,1,Graduated
comment,birt,NA,2022-03-20,2022-03-20,1,Graduated
comment,birt,NA,2022-03-20,2022-03-20,1,Graduated
comment,birt,NA,2022-03-20,2022-03-20,1,Graduated
comment,birt,NA,2022-03-21,2022-03-21,1,Graduated
comment,birt,NA,2022-03-21,2022-03-21,1,Graduated
comment,birt,NA,2022-03-21,2022-03-21,1,Graduated
comment,birt,NA,2022-03-22,2022-03-22,1,Graduated
comment,birt,NA,2022-03-27,2022-03-27,1,Graduated
comment,birt,NA,2022-03-27,2022-03-27,1,Graduated
comment,birt,NA,2022-03-27,2022-03-27,1,Graduated
comment,birt,NA,2022-03-27,2022-03-27,1,Graduated
comment,birt,NA,2022-03-27,2022-03-27,1,Graduated
comment,birt,NA,2022-03-28,2022-03-28,1,Graduated
comment,birt,NA,2022-03-28,2022-03-28,1,Graduated
comment,birt,NA,2022-03-28,2022-03-28,1,Graduated
comment,birt,NA,2022-03-30,2022-03-30,1,Graduated
comment,birt,NA,2022-03-30,2022-03-30,1,Graduated
comment,birt,NA,2022-04-02,2022-04-02,1,Graduated
comment,birt,NA,2022-04-02,2022-04-02,1,Graduated
comment,birt,NA,2022-04-02,2022-04-02,1,Graduated
comment,birt,NA,2022-04-03,2022-04-03,1,Graduated
comment,birt,NA,2022-04-07,2022-04-07,1,Graduated
