type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,brpc,CLOSED,2017-09-15,2018-01-19,127,Graduated
comment,brpc,NA,2017-09-15,2017-09-15,1,Graduated
comment,brpc,NA,2017-09-15,2017-09-15,1,Graduated
comment,brpc,NA,2017-09-15,2017-09-15,1,Graduated
comment,brpc,NA,2017-09-16,2017-09-16,1,Graduated
comment,brpc,NA,2017-09-17,2017-09-17,1,Graduated
comment,brpc,NA,2017-09-18,2017-09-18,1,Graduated
comment,brpc,NA,2017-09-19,2017-09-19,1,Graduated
comment,brpc,NA,2017-09-19,2017-09-19,1,Graduated
comment,brpc,NA,2017-09-19,2017-09-19,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-21,2017-09-21,1,Graduated
comment,brpc,NA,2017-09-21,2017-09-21,1,Graduated
comment,brpc,NA,2017-09-21,2017-09-21,1,Graduated
comment,brpc,NA,2017-09-22,2017-09-22,1,Graduated
comment,brpc,NA,2017-09-22,2017-09-22,1,Graduated
comment,brpc,NA,2017-09-22,2017-09-22,1,Graduated
comment,brpc,NA,2017-10-17,2017-10-17,1,Graduated
comment,brpc,NA,2017-10-18,2017-10-18,1,Graduated
issue,brpc,CLOSED,2017-09-15,2019-05-22,615,Graduated
comment,brpc,NA,2017-09-15,2017-09-15,1,Graduated
comment,brpc,NA,2017-09-16,2017-09-16,1,Graduated
comment,brpc,NA,2017-09-16,2017-09-16,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-21,2017-09-21,1,Graduated
comment,brpc,NA,2017-09-22,2017-09-22,1,Graduated
comment,brpc,NA,2017-10-19,2017-10-19,1,Graduated
comment,brpc,NA,2017-10-25,2017-10-25,1,Graduated
comment,brpc,NA,2019-05-22,2019-05-22,1,Graduated
issue,brpc,CLOSED,2017-09-15,2017-09-28,14,Graduated
comment,brpc,NA,2017-09-15,2017-09-15,1,Graduated
comment,brpc,NA,2017-09-19,2017-09-19,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
comment,brpc,NA,2017-09-20,2017-09-20,1,Graduated
issue,brpc,CLOSED,2017-09-15,2022-09-16,1828,Graduated
comment,brpc,NA,2017-09-17,2017-09-17,1,Graduated
comment,brpc,NA,2017-10-18,2017-10-18,1,Graduated
comment,brpc,NA,2019-07-06,2019-07-06,1,Graduated
comment,brpc,NA,2019-08-11,2019-08-11,1,Graduated
comment,brpc,NA,2022-09-16,2022-09-16,1,Graduated
