type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,celeborn,CLOSED,2021-12-28,2022-04-01,95,Graduated
comment,celeborn,NA,2022-03-22,2022-03-22,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-01-28,32,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2022-01-28,2022-01-28,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2021-12-28,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-11-01,309,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-11-01,309,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-03-18,81,Graduated
issue,celeborn,CLOSED,2021-12-28,2024-02-07,772,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-01-30,34,Graduated
issue,celeborn,CLOSED,2021-12-28,2024-02-07,772,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-11-01,309,Graduated
issue,celeborn,CLOSED,2021-12-28,2024-02-07,772,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-11-01,309,Graduated
comment,celeborn,NA,2022-02-25,2022-02-25,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2024-02-07,772,Graduated
issue,celeborn,CLOSED,2021-12-28,2024-02-07,772,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-01-29,33,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-01-30,34,Graduated
issue,celeborn,CLOSED,2021-12-28,2024-02-07,772,Graduated
issue,celeborn,CLOSED,2021-12-28,2021-12-28,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2021-12-29,2,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
issue,celeborn,CLOSED,2021-12-28,2022-03-24,87,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2022-01-28,2022-01-28,1,Graduated
comment,celeborn,NA,2022-02-15,2022-02-15,1,Graduated
comment,celeborn,NA,2022-03-08,2022-03-08,1,Graduated
issue,celeborn,CLOSED,2021-12-29,2022-03-18,80,Graduated
comment,celeborn,NA,2022-02-11,2022-02-11,1,Graduated
comment,celeborn,NA,2022-02-25,2022-02-25,1,Graduated
issue,celeborn,CLOSED,2021-12-29,2022-01-29,32,Graduated
issue,celeborn,CLOSED,2021-12-29,2022-11-01,308,Graduated
comment,celeborn,NA,2021-12-29,2021-12-29,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
issue,celeborn,CLOSED,2022-01-06,2022-01-07,2,Graduated
issue,celeborn,CLOSED,2022-01-06,2022-01-07,2,Graduated
comment,celeborn,NA,2022-01-07,2022-01-07,1,Graduated
issue,celeborn,CLOSED,2022-01-17,2022-01-18,2,Graduated
comment,celeborn,NA,2022-01-17,2022-01-17,1,Graduated
comment,celeborn,NA,2022-01-18,2022-01-18,1,Graduated
comment,celeborn,NA,2022-01-18,2022-01-18,1,Graduated
issue,celeborn,CLOSED,2022-01-17,2024-02-07,752,Graduated
issue,celeborn,CLOSED,2022-01-17,2022-01-17,1,Graduated
issue,celeborn,CLOSED,2022-01-17,2022-11-01,289,Graduated
comment,celeborn,NA,2022-01-21,2022-01-21,1,Graduated
comment,celeborn,NA,2022-04-01,2022-04-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
issue,celeborn,CLOSED,2022-01-18,2022-01-19,2,Graduated
issue,celeborn,CLOSED,2022-01-21,2022-11-01,285,Graduated
comment,celeborn,NA,2022-01-21,2022-01-21,1,Graduated
comment,celeborn,NA,2022-01-21,2022-01-21,1,Graduated
comment,celeborn,NA,2022-01-22,2022-01-22,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
issue,celeborn,CLOSED,2022-01-28,2022-03-18,50,Graduated
comment,celeborn,NA,2022-01-28,2022-01-28,1,Graduated
comment,celeborn,NA,2022-02-08,2022-02-08,1,Graduated
comment,celeborn,NA,2022-03-10,2022-03-10,1,Graduated
issue,celeborn,CLOSED,2022-02-08,2022-11-01,267,Graduated
issue,celeborn,CLOSED,2022-02-15,2022-06-23,129,Graduated
comment,celeborn,NA,2022-02-21,2022-02-21,1,Graduated
issue,celeborn,CLOSED,2022-02-15,2022-02-15,1,Graduated
issue,celeborn,CLOSED,2022-02-16,2022-02-16,1,Graduated
issue,celeborn,CLOSED,2022-02-16,2022-02-16,1,Graduated
issue,celeborn,CLOSED,2022-03-03,2022-03-07,5,Graduated
comment,celeborn,NA,2022-03-07,2022-03-07,1,Graduated
issue,celeborn,CLOSED,2022-03-04,2022-08-10,160,Graduated
comment,celeborn,NA,2022-03-07,2022-03-07,1,Graduated
comment,celeborn,NA,2022-03-07,2022-03-07,1,Graduated
comment,celeborn,NA,2022-03-08,2022-03-08,1,Graduated
issue,celeborn,CLOSED,2022-03-08,2022-03-10,3,Graduated
comment,celeborn,NA,2022-03-10,2022-03-10,1,Graduated
issue,celeborn,CLOSED,2022-03-10,2024-02-07,700,Graduated
issue,celeborn,CLOSED,2022-03-10,2022-04-01,23,Graduated
issue,celeborn,CLOSED,2022-03-11,2024-02-07,699,Graduated
issue,celeborn,CLOSED,2022-03-15,2022-11-01,232,Graduated
comment,celeborn,NA,2022-03-17,2022-03-17,1,Graduated
comment,celeborn,NA,2022-03-17,2022-03-17,1,Graduated
comment,celeborn,NA,2022-03-18,2022-03-18,1,Graduated
comment,celeborn,NA,2022-11-01,2022-11-01,1,Graduated
issue,celeborn,CLOSED,2022-03-17,2022-03-22,6,Graduated
comment,celeborn,NA,2022-03-22,2022-03-22,1,Graduated
issue,celeborn,CLOSED,2022-03-22,2022-11-01,225,Graduated
comment,celeborn,NA,2022-04-02,2022-04-02,1,Graduated
issue,celeborn,CLOSED,2022-03-29,2022-03-30,2,Graduated
comment,celeborn,NA,2022-03-29,2022-03-29,1,Graduated
