type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,ceylon,CLOSED,2011-01-25,2015-11-14,1755,Retired
issue,ceylon,CLOSED,2011-04-23,2015-11-14,1667,Retired
issue,ceylon,CLOSED,2011-06-11,2015-11-14,1618,Retired
issue,ceylon,CLOSED,2011-06-15,2015-11-14,1614,Retired
issue,ceylon,CLOSED,2011-06-22,2015-11-14,1607,Retired
issue,ceylon,CLOSED,2011-06-24,2015-11-14,1605,Retired
issue,ceylon,CLOSED,2011-06-27,2015-11-14,1602,Retired
issue,ceylon,CLOSED,2011-06-27,2015-11-14,1602,Retired
issue,ceylon,CLOSED,2011-06-27,2015-11-14,1602,Retired
comment,ceylon,NA,2011-06-29,2011-06-29,1,Retired
comment,ceylon,NA,2011-06-29,2011-06-29,1,Retired
issue,ceylon,CLOSED,2011-06-28,2015-11-14,1601,Retired
comment,ceylon,NA,2011-06-29,2011-06-29,1,Retired
issue,ceylon,CLOSED,2011-07-01,2015-11-14,1598,Retired
issue,ceylon,CLOSED,2011-07-01,2015-11-14,1598,Retired
issue,ceylon,CLOSED,2011-07-05,2015-11-14,1594,Retired
issue,ceylon,CLOSED,2011-07-11,2015-11-14,1588,Retired
comment,ceylon,NA,2011-07-11,2011-07-11,1,Retired
comment,ceylon,NA,2011-07-11,2011-07-11,1,Retired
issue,ceylon,CLOSED,2011-07-13,2015-11-14,1586,Retired
issue,ceylon,CLOSED,2011-07-15,2015-11-14,1584,Retired
issue,ceylon,CLOSED,2011-07-16,2015-11-14,1583,Retired
issue,ceylon,CLOSED,2011-07-20,2015-11-14,1579,Retired
issue,ceylon,CLOSED,2011-07-20,2015-11-14,1579,Retired
issue,ceylon,CLOSED,2011-07-22,2015-11-14,1577,Retired
comment,ceylon,NA,2011-07-22,2011-07-22,1,Retired
comment,ceylon,NA,2011-07-22,2011-07-22,1,Retired
comment,ceylon,NA,2011-07-22,2011-07-22,1,Retired
issue,ceylon,CLOSED,2011-07-23,2015-11-14,1576,Retired
issue,ceylon,CLOSED,2011-07-23,2015-11-14,1576,Retired
comment,ceylon,NA,2011-07-23,2011-07-23,1,Retired
comment,ceylon,NA,2011-07-23,2011-07-23,1,Retired
issue,ceylon,CLOSED,2011-07-23,2015-11-14,1576,Retired
issue,ceylon,CLOSED,2011-07-25,2015-11-14,1574,Retired
comment,ceylon,NA,2011-07-25,2011-07-25,1,Retired
issue,ceylon,CLOSED,2011-07-28,2015-11-14,1571,Retired
issue,ceylon,CLOSED,2011-08-02,2017-12-06,2319,Retired
comment,ceylon,NA,2011-08-02,2011-08-02,1,Retired
comment,ceylon,NA,2011-08-03,2011-08-03,1,Retired
issue,ceylon,CLOSED,2011-08-04,2015-11-14,1564,Retired
comment,ceylon,NA,2011-09-07,2011-09-07,1,Retired
comment,ceylon,NA,2011-09-07,2011-09-07,1,Retired
comment,ceylon,NA,2011-09-07,2011-09-07,1,Retired
comment,ceylon,NA,2011-09-07,2011-09-07,1,Retired
issue,ceylon,CLOSED,2011-08-04,2015-11-14,1564,Retired
comment,ceylon,NA,2011-10-10,2011-10-10,1,Retired
comment,ceylon,NA,2011-10-10,2011-10-10,1,Retired
comment,ceylon,NA,2011-10-10,2011-10-10,1,Retired
comment,ceylon,NA,2011-10-10,2011-10-10,1,Retired
comment,ceylon,NA,2011-10-10,2011-10-10,1,Retired
comment,ceylon,NA,2011-10-11,2011-10-11,1,Retired
comment,ceylon,NA,2011-10-11,2011-10-11,1,Retired
comment,ceylon,NA,2011-10-11,2011-10-11,1,Retired
comment,ceylon,NA,2011-10-11,2011-10-11,1,Retired
comment,ceylon,NA,2011-12-12,2011-12-12,1,Retired
comment,ceylon,NA,2011-12-12,2011-12-12,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-08-15,2011-08-15,1,Retired
comment,ceylon,NA,2011-08-23,2011-08-23,1,Retired
comment,ceylon,NA,2011-08-24,2011-08-24,1,Retired
comment,ceylon,NA,2011-08-24,2011-08-24,1,Retired
comment,ceylon,NA,2011-09-30,2011-09-30,1,Retired
comment,ceylon,NA,2011-09-30,2011-09-30,1,Retired
comment,ceylon,NA,2011-10-08,2011-10-08,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-08-04,2011-08-04,1,Retired
comment,ceylon,NA,2011-08-04,2011-08-04,1,Retired
comment,ceylon,NA,2011-08-04,2011-08-04,1,Retired
comment,ceylon,NA,2011-08-07,2011-08-07,1,Retired
comment,ceylon,NA,2011-08-07,2011-08-07,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-08-04,2011-08-04,1,Retired
issue,ceylon,CLOSED,2011-08-04,2015-11-14,1564,Retired
comment,ceylon,NA,2011-08-16,2011-08-16,1,Retired
comment,ceylon,NA,2011-09-07,2011-09-07,1,Retired
comment,ceylon,NA,2011-09-07,2011-09-07,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-08-09,2011-08-09,1,Retired
comment,ceylon,NA,2011-08-09,2011-08-09,1,Retired
comment,ceylon,NA,2011-08-11,2011-08-11,1,Retired
comment,ceylon,NA,2011-08-11,2011-08-11,1,Retired
comment,ceylon,NA,2011-08-11,2011-08-11,1,Retired
comment,ceylon,NA,2011-09-30,2011-09-30,1,Retired
comment,ceylon,NA,2011-10-01,2011-10-01,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-08-04,2011-08-04,1,Retired
comment,ceylon,NA,2011-08-04,2011-08-04,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
issue,ceylon,CLOSED,2011-08-04,2015-11-14,1564,Retired
comment,ceylon,NA,2011-12-15,2011-12-15,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-09-20,2011-09-20,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-11-04,2011-11-04,1,Retired
issue,ceylon,CLOSED,2011-08-04,2017-12-06,2317,Retired
comment,ceylon,NA,2011-08-12,2011-08-12,1,Retired
comment,ceylon,NA,2011-08-27,2011-08-27,1,Retired
issue,ceylon,OPEN,2011-08-04,2016-03-21,1692,Retired
