type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,codewind,CLOSED,2019-06-23,2019-08-02,41,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-27,2019-06-27,1,Retired
comment,codewind,NA,2019-08-02,2019-08-02,1,Retired
issue,codewind,CLOSED,2019-06-23,2019-07-22,30,Retired
comment,codewind,NA,2019-06-27,2019-06-27,1,Retired
comment,codewind,NA,2019-07-22,2019-07-22,1,Retired
issue,codewind,OPEN,2019-06-24,2019-11-22,152,Retired
comment,codewind,NA,2019-08-06,2019-08-06,1,Retired
issue,codewind,CLOSED,2019-06-24,2019-06-28,5,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-24,2019-06-24,1,Retired
comment,codewind,NA,2019-06-25,2019-06-25,1,Retired
comment,codewind,NA,2019-06-25,2019-06-25,1,Retired
comment,codewind,NA,2019-06-26,2019-06-26,1,Retired
comment,codewind,NA,2019-06-26,2019-06-26,1,Retired
comment,codewind,NA,2019-06-27,2019-06-27,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
issue,codewind,CLOSED,2019-06-26,2019-07-25,30,Retired
comment,codewind,NA,2019-06-26,2019-06-26,1,Retired
comment,codewind,NA,2019-07-25,2019-07-25,1,Retired
issue,codewind,CLOSED,2019-06-26,2019-08-08,44,Retired
comment,codewind,NA,2019-06-26,2019-06-26,1,Retired
comment,codewind,NA,2019-06-26,2019-06-26,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-10,2019-07-10,1,Retired
comment,codewind,NA,2019-07-15,2019-07-15,1,Retired
comment,codewind,NA,2019-07-25,2019-07-25,1,Retired
comment,codewind,NA,2019-07-31,2019-07-31,1,Retired
comment,codewind,NA,2019-08-02,2019-08-02,1,Retired
comment,codewind,NA,2019-08-08,2019-08-08,1,Retired
issue,codewind,CLOSED,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
comment,codewind,NA,2019-06-28,2019-06-28,1,Retired
