type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2016-11-07,11,Retired
issue,concierge,OPEN,2016-10-28,2017-11-19,388,Retired
issue,concierge,CLOSED,2016-10-28,2017-11-19,388,Retired
comment,concierge,NA,2017-10-27,2017-10-27,1,Retired
comment,concierge,NA,2017-11-19,2017-11-19,1,Retired
comment,concierge,NA,2017-11-19,2017-11-19,1,Retired
comment,concierge,NA,2017-11-19,2017-11-19,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,CLOSED,2016-10-28,2017-11-27,396,Retired
comment,concierge,NA,2017-11-18,2017-11-18,1,Retired
comment,concierge,NA,2017-11-18,2017-11-18,1,Retired
comment,concierge,NA,2017-11-18,2017-11-18,1,Retired
comment,concierge,NA,2017-11-18,2017-11-18,1,Retired
issue,concierge,CLOSED,2016-10-28,2017-10-28,366,Retired
comment,concierge,NA,2016-11-07,2016-11-07,1,Retired
issue,concierge,CLOSED,2016-10-28,2018-10-19,722,Retired
comment,concierge,NA,2018-10-19,2018-10-19,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2016-11-07,11,Retired
issue,concierge,OPEN,2016-10-28,2016-11-07,11,Retired
comment,concierge,NA,2016-10-28,2016-10-28,1,Retired
comment,concierge,NA,2016-10-29,2016-10-29,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2016-10-28,1,Retired
issue,concierge,OPEN,2016-10-28,2019-07-08,984,Retired
comment,concierge,NA,2019-07-08,2019-07-08,1,Retired
issue,concierge,CLOSED,2016-10-29,2018-11-14,747,Retired
comment,concierge,NA,2017-05-30,2017-05-30,1,Retired
comment,concierge,NA,2017-05-30,2017-05-30,1,Retired
comment,concierge,NA,2018-03-04,2018-03-04,1,Retired
comment,concierge,NA,2018-03-05,2018-03-05,1,Retired
comment,concierge,NA,2018-03-05,2018-03-05,1,Retired
comment,concierge,NA,2018-03-05,2018-03-05,1,Retired
comment,concierge,NA,2018-10-24,2018-10-24,1,Retired
comment,concierge,NA,2018-11-14,2018-11-14,1,Retired
comment,concierge,NA,2018-11-14,2018-11-14,1,Retired
issue,concierge,OPEN,2016-10-30,2016-10-30,1,Retired
issue,concierge,OPEN,2016-10-30,2016-10-30,1,Retired
issue,concierge,OPEN,2016-10-30,2016-10-30,1,Retired
issue,concierge,CLOSED,2016-11-01,2017-10-28,362,Retired
comment,concierge,NA,2016-11-01,2016-11-01,1,Retired
issue,concierge,CLOSED,2017-01-05,2017-10-28,297,Retired
issue,concierge,CLOSED,2017-03-24,2018-10-19,575,Retired
