type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,couchdb,CLOSED,2009-05-31,2017-03-08,2839,Graduated
issue,couchdb,CLOSED,2017-03-08,2017-03-18,11,Graduated
comment,couchdb,NA,2017-03-18,2017-03-18,1,Graduated
issue,couchdb,CLOSED,2017-03-16,2022-08-10,1974,Graduated
comment,couchdb,NA,2017-03-18,2017-03-18,1,Graduated
comment,couchdb,NA,2017-03-19,2017-03-19,1,Graduated
comment,couchdb,NA,2017-11-14,2017-11-14,1,Graduated
comment,couchdb,NA,2019-02-07,2019-02-07,1,Graduated
comment,couchdb,NA,2022-08-10,2022-08-10,1,Graduated
comment,couchdb,NA,2022-08-10,2022-08-10,1,Graduated
comment,couchdb,NA,2022-08-10,2022-08-10,1,Graduated
issue,couchdb,CLOSED,2017-03-30,2017-03-31,2,Graduated
comment,couchdb,NA,2017-03-30,2017-03-30,1,Graduated
comment,couchdb,NA,2017-03-31,2017-03-31,1,Graduated
comment,couchdb,NA,2017-03-31,2017-03-31,1,Graduated
issue,couchdb,CLOSED,2017-04-03,2017-04-04,2,Graduated
comment,couchdb,NA,2017-04-03,2017-04-03,1,Graduated
comment,couchdb,NA,2017-04-03,2017-04-03,1,Graduated
comment,couchdb,NA,2017-04-03,2017-04-03,1,Graduated
comment,couchdb,NA,2017-04-04,2017-04-04,1,Graduated
issue,couchdb,CLOSED,2017-04-04,2017-04-04,1,Graduated
comment,couchdb,NA,2017-04-04,2017-04-04,1,Graduated
issue,couchdb,CLOSED,2017-04-05,2017-04-05,1,Graduated
comment,couchdb,NA,2017-04-05,2017-04-05,1,Graduated
comment,couchdb,NA,2017-04-05,2017-04-05,1,Graduated
issue,couchdb,CLOSED,2017-04-26,2017-04-26,1,Graduated
comment,couchdb,NA,2017-04-26,2017-04-26,1,Graduated
comment,couchdb,NA,2017-04-26,2017-04-26,1,Graduated
issue,couchdb,CLOSED,2017-04-27,2017-04-27,1,Graduated
comment,couchdb,NA,2017-04-27,2017-04-27,1,Graduated
issue,couchdb,CLOSED,2017-04-27,2017-04-27,1,Graduated
comment,couchdb,NA,2017-04-27,2017-04-27,1,Graduated
comment,couchdb,NA,2017-04-27,2017-04-27,1,Graduated
comment,couchdb,NA,2017-04-27,2017-04-27,1,Graduated
comment,couchdb,NA,2017-04-27,2017-04-27,1,Graduated
issue,couchdb,CLOSED,2017-04-28,2017-05-17,20,Graduated
comment,couchdb,NA,2017-04-30,2017-04-30,1,Graduated
comment,couchdb,NA,2017-05-02,2017-05-02,1,Graduated
comment,couchdb,NA,2017-05-02,2017-05-02,1,Graduated
comment,couchdb,NA,2017-05-05,2017-05-05,1,Graduated
comment,couchdb,NA,2017-05-05,2017-05-05,1,Graduated
comment,couchdb,NA,2017-05-17,2017-05-17,1,Graduated
issue,couchdb,CLOSED,2017-05-02,2018-08-05,461,Graduated
comment,couchdb,NA,2017-05-05,2017-05-05,1,Graduated
comment,couchdb,NA,2017-05-16,2017-05-16,1,Graduated
comment,couchdb,NA,2018-08-04,2018-08-04,1,Graduated
comment,couchdb,NA,2018-08-05,2018-08-05,1,Graduated
issue,couchdb,CLOSED,2017-05-03,2017-05-09,7,Graduated
comment,couchdb,NA,2017-05-03,2017-05-03,1,Graduated
comment,couchdb,NA,2017-05-03,2017-05-03,1,Graduated
comment,couchdb,NA,2017-05-04,2017-05-04,1,Graduated
comment,couchdb,NA,2017-05-05,2017-05-05,1,Graduated
comment,couchdb,NA,2017-05-08,2017-05-08,1,Graduated
comment,couchdb,NA,2017-05-09,2017-05-09,1,Graduated
issue,couchdb,CLOSED,2017-05-07,2017-07-11,66,Graduated
comment,couchdb,NA,2017-05-07,2017-05-07,1,Graduated
comment,couchdb,NA,2017-05-08,2017-05-08,1,Graduated
comment,couchdb,NA,2017-05-08,2017-05-08,1,Graduated
comment,couchdb,NA,2017-05-08,2017-05-08,1,Graduated
comment,couchdb,NA,2017-05-12,2017-05-12,1,Graduated
comment,couchdb,NA,2017-05-13,2017-05-13,1,Graduated
comment,couchdb,NA,2017-05-20,2017-05-20,1,Graduated
comment,couchdb,NA,2017-05-20,2017-05-20,1,Graduated
comment,couchdb,NA,2017-06-10,2017-06-10,1,Graduated
comment,couchdb,NA,2017-06-10,2017-06-10,1,Graduated
comment,couchdb,NA,2017-06-10,2017-06-10,1,Graduated
comment,couchdb,NA,2017-06-14,2017-06-14,1,Graduated
comment,couchdb,NA,2017-06-14,2017-06-14,1,Graduated
comment,couchdb,NA,2017-06-14,2017-06-14,1,Graduated
comment,couchdb,NA,2017-07-06,2017-07-06,1,Graduated
comment,couchdb,NA,2017-07-07,2017-07-07,1,Graduated
comment,couchdb,NA,2017-07-07,2017-07-07,1,Graduated
comment,couchdb,NA,2017-07-09,2017-07-09,1,Graduated
comment,couchdb,NA,2017-07-11,2017-07-11,1,Graduated
issue,couchdb,CLOSED,2017-05-10,2017-05-16,7,Graduated
comment,couchdb,NA,2017-05-16,2017-05-16,1,Graduated
comment,couchdb,NA,2017-05-16,2017-05-16,1,Graduated
comment,couchdb,NA,2017-05-16,2017-05-16,1,Graduated
issue,couchdb,CLOSED,2017-05-17,2017-05-22,6,Graduated
comment,couchdb,NA,2017-05-22,2017-05-22,1,Graduated
issue,couchdb,CLOSED,2017-05-18,2017-05-18,1,Graduated
issue,couchdb,CLOSED,2017-05-22,2018-01-26,250,Graduated
comment,couchdb,NA,2017-05-22,2017-05-22,1,Graduated
comment,couchdb,NA,2017-05-22,2017-05-22,1,Graduated
comment,couchdb,NA,2017-05-22,2017-05-22,1,Graduated
comment,couchdb,NA,2017-05-22,2017-05-22,1,Graduated
comment,couchdb,NA,2017-05-23,2017-05-23,1,Graduated
comment,couchdb,NA,2017-05-23,2017-05-23,1,Graduated
comment,couchdb,NA,2017-05-23,2017-05-23,1,Graduated
comment,couchdb,NA,2017-06-16,2017-06-16,1,Graduated
comment,couchdb,NA,2017-06-16,2017-06-16,1,Graduated
comment,couchdb,NA,2017-06-16,2017-06-16,1,Graduated
comment,couchdb,NA,2017-06-16,2017-06-16,1,Graduated
comment,couchdb,NA,2017-06-17,2017-06-17,1,Graduated
comment,couchdb,NA,2017-11-16,2017-11-16,1,Graduated
comment,couchdb,NA,2018-01-26,2018-01-26,1,Graduated
issue,couchdb,CLOSED,2017-05-26,2017-10-01,129,Graduated
comment,couchdb,NA,2017-05-26,2017-05-26,1,Graduated
comment,couchdb,NA,2017-05-26,2017-05-26,1,Graduated
comment,couchdb,NA,2017-05-27,2017-05-27,1,Graduated
comment,couchdb,NA,2017-05-27,2017-05-27,1,Graduated
comment,couchdb,NA,2017-05-27,2017-05-27,1,Graduated
comment,couchdb,NA,2017-05-27,2017-05-27,1,Graduated
comment,couchdb,NA,2017-05-28,2017-05-28,1,Graduated
comment,couchdb,NA,2017-10-01,2017-10-01,1,Graduated
issue,couchdb,CLOSED,2017-05-30,2018-08-01,429,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-07-24,2017-07-24,1,Graduated
comment,couchdb,NA,2017-07-24,2017-07-24,1,Graduated
comment,couchdb,NA,2017-07-25,2017-07-25,1,Graduated
comment,couchdb,NA,2017-10-01,2017-10-01,1,Graduated
comment,couchdb,NA,2018-03-29,2018-03-29,1,Graduated
comment,couchdb,NA,2018-06-07,2018-06-07,1,Graduated
comment,couchdb,NA,2018-07-09,2018-07-09,1,Graduated
comment,couchdb,NA,2018-07-09,2018-07-09,1,Graduated
comment,couchdb,NA,2018-08-01,2018-08-01,1,Graduated
comment,couchdb,NA,2018-08-01,2018-08-01,1,Graduated
comment,couchdb,NA,2018-08-01,2018-08-01,1,Graduated
issue,couchdb,CLOSED,2017-05-30,2017-07-04,36,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
issue,couchdb,CLOSED,2017-05-30,2017-07-05,37,Graduated
comment,couchdb,NA,2017-05-30,2017-05-30,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-02,2017-06-02,1,Graduated
comment,couchdb,NA,2017-06-03,2017-06-03,1,Graduated
comment,couchdb,NA,2017-06-03,2017-06-03,1,Graduated
comment,couchdb,NA,2017-06-22,2017-06-22,1,Graduated
comment,couchdb,NA,2017-06-22,2017-06-22,1,Graduated
comment,couchdb,NA,2017-06-22,2017-06-22,1,Graduated
comment,couchdb,NA,2017-06-22,2017-06-22,1,Graduated
comment,couchdb,NA,2017-06-22,2017-06-22,1,Graduated
comment,couchdb,NA,2017-06-23,2017-06-23,1,Graduated
comment,couchdb,NA,2017-07-03,2017-07-03,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
comment,couchdb,NA,2017-07-05,2017-07-05,1,Graduated
issue,couchdb,CLOSED,2017-05-30,2017-07-13,45,Graduated
comment,couchdb,NA,2017-07-04,2017-07-04,1,Graduated
comment,couchdb,NA,2017-07-04,2017-07-04,1,Graduated
comment,couchdb,NA,2017-07-04,2017-07-04,1,Graduated
comment,couchdb,NA,2017-07-13,2017-07-13,1,Graduated
issue,couchdb,CLOSED,2017-05-30,2017-07-04,36,Graduated
comment,couchdb,NA,2017-06-07,2017-06-07,1,Graduated
comment,couchdb,NA,2017-06-12,2017-06-12,1,Graduated
comment,couchdb,NA,2017-06-13,2017-06-13,1,Graduated
comment,couchdb,NA,2017-06-21,2017-06-21,1,Graduated
comment,couchdb,NA,2017-06-23,2017-06-23,1,Graduated
comment,couchdb,NA,2017-06-28,2017-06-28,1,Graduated
comment,couchdb,NA,2017-06-28,2017-06-28,1,Graduated
comment,couchdb,NA,2017-06-28,2017-06-28,1,Graduated
comment,couchdb,NA,2017-06-28,2017-06-28,1,Graduated
comment,couchdb,NA,2017-06-29,2017-06-29,1,Graduated
comment,couchdb,NA,2017-06-29,2017-06-29,1,Graduated
comment,couchdb,NA,2017-06-29,2017-06-29,1,Graduated
comment,couchdb,NA,2017-06-29,2017-06-29,1,Graduated
comment,couchdb,NA,2017-06-29,2017-06-29,1,Graduated
issue,couchdb,CLOSED,2017-05-30,2017-07-13,45,Graduated
