type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,dolphinscheduler,CLOSED,2019-03-02,2019-07-30,151,Graduated
comment,dolphinscheduler,NA,2019-03-06,2019-03-06,1,Graduated
comment,dolphinscheduler,NA,2019-04-02,2019-04-02,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-01,2019-07-30,121,Graduated
comment,dolphinscheduler,NA,2019-04-02,2019-04-02,1,Graduated
comment,dolphinscheduler,NA,2019-04-02,2019-04-02,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-02,2019-07-30,120,Graduated
comment,dolphinscheduler,NA,2019-04-02,2019-04-02,1,Graduated
comment,dolphinscheduler,NA,2019-04-02,2019-04-02,1,Graduated
comment,dolphinscheduler,NA,2019-04-02,2019-04-02,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-02,2019-07-30,120,Graduated
comment,dolphinscheduler,NA,2019-04-03,2019-04-03,1,Graduated
comment,dolphinscheduler,NA,2019-04-03,2019-04-03,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-03,2019-07-30,119,Graduated
comment,dolphinscheduler,NA,2019-04-03,2019-04-03,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-04,2019-07-30,118,Graduated
comment,dolphinscheduler,NA,2019-04-04,2019-04-04,1,Graduated
comment,dolphinscheduler,NA,2019-04-04,2019-04-04,1,Graduated
comment,dolphinscheduler,NA,2019-04-08,2019-04-08,1,Graduated
comment,dolphinscheduler,NA,2019-04-08,2019-04-08,1,Graduated
comment,dolphinscheduler,NA,2019-04-08,2019-04-08,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-05,2019-07-30,117,Graduated
comment,dolphinscheduler,NA,2019-04-05,2019-04-05,1,Graduated
comment,dolphinscheduler,NA,2019-04-05,2019-04-05,1,Graduated
comment,dolphinscheduler,NA,2019-04-05,2019-04-05,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-08,2020-10-20,562,Graduated
issue,dolphinscheduler,CLOSED,2019-04-08,2020-10-20,562,Graduated
issue,dolphinscheduler,CLOSED,2019-04-08,2020-10-20,562,Graduated
comment,dolphinscheduler,NA,2020-10-20,2020-10-20,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-08,2020-11-04,577,Graduated
comment,dolphinscheduler,NA,2020-11-04,2020-11-04,1,Graduated
comment,dolphinscheduler,NA,2020-11-04,2020-11-04,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-08,2019-07-30,114,Graduated
comment,dolphinscheduler,NA,2019-04-08,2019-04-08,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-09,2019-07-30,113,Graduated
comment,dolphinscheduler,NA,2019-04-09,2019-04-09,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-09,2019-07-30,113,Graduated
comment,dolphinscheduler,NA,2019-04-09,2019-04-09,1,Graduated
comment,dolphinscheduler,NA,2019-04-09,2019-04-09,1,Graduated
comment,dolphinscheduler,NA,2019-04-10,2019-04-10,1,Graduated
comment,dolphinscheduler,NA,2019-04-10,2019-04-10,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-10,2019-07-30,112,Graduated
comment,dolphinscheduler,NA,2019-04-10,2019-04-10,1,Graduated
comment,dolphinscheduler,NA,2019-04-12,2019-04-12,1,Graduated
issue,dolphinscheduler,CLOSED,2019-04-10,2022-01-04,1001,Graduated
comment,dolphinscheduler,NA,2019-04-11,2019-04-11,1,Graduated
comment,dolphinscheduler,NA,2019-04-11,2019-04-11,1,Graduated
comment,dolphinscheduler,NA,2019-05-30,2019-05-30,1,Graduated
comment,dolphinscheduler,NA,2019-05-30,2019-05-30,1,Graduated
comment,dolphinscheduler,NA,2021-05-28,2021-05-28,1,Graduated
comment,dolphinscheduler,NA,2021-06-01,2021-06-01,1,Graduated
comment,dolphinscheduler,NA,2022-01-04,2022-01-04,1,Graduated
comment,dolphinscheduler,NA,2022-01-04,2022-01-04,1,Graduated
issue,dolphinscheduler,OPEN,2019-04-15,2024-07-31,1935,Graduated
comment,dolphinscheduler,NA,2019-04-15,2019-04-15,1,Graduated
comment,dolphinscheduler,NA,2019-04-15,2019-04-15,1,Graduated
comment,dolphinscheduler,NA,2019-04-16,2019-04-16,1,Graduated
comment,dolphinscheduler,NA,2019-04-18,2019-04-18,1,Graduated
comment,dolphinscheduler,NA,2019-04-18,2019-04-18,1,Graduated
comment,dolphinscheduler,NA,2019-04-18,2019-04-18,1,Graduated
comment,dolphinscheduler,NA,2019-04-19,2019-04-19,1,Graduated
comment,dolphinscheduler,NA,2019-04-19,2019-04-19,1,Graduated
comment,dolphinscheduler,NA,2019-04-19,2019-04-19,1,Graduated
comment,dolphinscheduler,NA,2019-04-22,2019-04-22,1,Graduated
comment,dolphinscheduler,NA,2019-04-22,2019-04-22,1,Graduated
comment,dolphinscheduler,NA,2019-04-23,2019-04-23,1,Graduated
comment,dolphinscheduler,NA,2019-04-23,2019-04-23,1,Graduated
comment,dolphinscheduler,NA,2019-04-24,2019-04-24,1,Graduated
comment,dolphinscheduler,NA,2019-04-25,2019-04-25,1,Graduated
comment,dolphinscheduler,NA,2019-04-26,2019-04-26,1,Graduated
comment,dolphinscheduler,NA,2019-04-28,2019-04-28,1,Graduated
comment,dolphinscheduler,NA,2019-04-29,2019-04-29,1,Graduated
comment,dolphinscheduler,NA,2019-04-30,2019-04-30,1,Graduated
comment,dolphinscheduler,NA,2019-04-30,2019-04-30,1,Graduated
comment,dolphinscheduler,NA,2019-04-30,2019-04-30,1,Graduated
comment,dolphinscheduler,NA,2019-04-30,2019-04-30,1,Graduated
comment,dolphinscheduler,NA,2019-05-05,2019-05-05,1,Graduated
comment,dolphinscheduler,NA,2019-05-05,2019-05-05,1,Graduated
comment,dolphinscheduler,NA,2019-05-06,2019-05-06,1,Graduated
comment,dolphinscheduler,NA,2019-05-06,2019-05-06,1,Graduated
comment,dolphinscheduler,NA,2019-05-08,2019-05-08,1,Graduated
comment,dolphinscheduler,NA,2019-05-09,2019-05-09,1,Graduated
comment,dolphinscheduler,NA,2019-05-14,2019-05-14,1,Graduated
comment,dolphinscheduler,NA,2019-05-15,2019-05-15,1,Graduated
comment,dolphinscheduler,NA,2019-05-22,2019-05-22,1,Graduated
comment,dolphinscheduler,NA,2019-05-23,2019-05-23,1,Graduated
comment,dolphinscheduler,NA,2019-05-25,2019-05-25,1,Graduated
comment,dolphinscheduler,NA,2019-06-05,2019-06-05,1,Graduated
comment,dolphinscheduler,NA,2019-06-10,2019-06-10,1,Graduated
comment,dolphinscheduler,NA,2019-06-11,2019-06-11,1,Graduated
comment,dolphinscheduler,NA,2019-06-18,2019-06-18,1,Graduated
comment,dolphinscheduler,NA,2019-06-20,2019-06-20,1,Graduated
comment,dolphinscheduler,NA,2019-06-20,2019-06-20,1,Graduated
comment,dolphinscheduler,NA,2019-06-20,2019-06-20,1,Graduated
comment,dolphinscheduler,NA,2019-06-20,2019-06-20,1,Graduated
comment,dolphinscheduler,NA,2019-06-20,2019-06-20,1,Graduated
comment,dolphinscheduler,NA,2019-07-15,2019-07-15,1,Graduated
comment,dolphinscheduler,NA,2019-07-18,2019-07-18,1,Graduated
comment,dolphinscheduler,NA,2019-07-18,2019-07-18,1,Graduated
comment,dolphinscheduler,NA,2019-07-23,2019-07-23,1,Graduated
comment,dolphinscheduler,NA,2019-08-08,2019-08-08,1,Graduated
comment,dolphinscheduler,NA,2019-08-09,2019-08-09,1,Graduated
comment,dolphinscheduler,NA,2019-08-10,2019-08-10,1,Graduated
comment,dolphinscheduler,NA,2019-08-13,2019-08-13,1,Graduated
comment,dolphinscheduler,NA,2019-09-03,2019-09-03,1,Graduated
comment,dolphinscheduler,NA,2019-09-12,2019-09-12,1,Graduated
comment,dolphinscheduler,NA,2019-09-17,2019-09-17,1,Graduated
comment,dolphinscheduler,NA,2019-09-18,2019-09-18,1,Graduated
comment,dolphinscheduler,NA,2019-09-19,2019-09-19,1,Graduated
comment,dolphinscheduler,NA,2019-09-19,2019-09-19,1,Graduated
comment,dolphinscheduler,NA,2019-09-20,2019-09-20,1,Graduated
comment,dolphinscheduler,NA,2019-09-23,2019-09-23,1,Graduated
comment,dolphinscheduler,NA,2019-09-30,2019-09-30,1,Graduated
comment,dolphinscheduler,NA,2019-10-18,2019-10-18,1,Graduated
comment,dolphinscheduler,NA,2019-10-22,2019-10-22,1,Graduated
comment,dolphinscheduler,NA,2019-11-05,2019-11-05,1,Graduated
comment,dolphinscheduler,NA,2019-12-12,2019-12-12,1,Graduated
comment,dolphinscheduler,NA,2019-12-18,2019-12-18,1,Graduated
comment,dolphinscheduler,NA,2019-12-19,2019-12-19,1,Graduated
comment,dolphinscheduler,NA,2019-12-24,2019-12-24,1,Graduated
comment,dolphinscheduler,NA,2019-12-31,2019-12-31,1,Graduated
comment,dolphinscheduler,NA,2020-01-05,2020-01-05,1,Graduated
comment,dolphinscheduler,NA,2020-01-10,2020-01-10,1,Graduated
comment,dolphinscheduler,NA,2020-02-07,2020-02-07,1,Graduated
comment,dolphinscheduler,NA,2020-02-14,2020-02-14,1,Graduated
comment,dolphinscheduler,NA,2020-03-06,2020-03-06,1,Graduated
comment,dolphinscheduler,NA,2020-03-06,2020-03-06,1,Graduated
comment,dolphinscheduler,NA,2020-03-18,2020-03-18,1,Graduated
comment,dolphinscheduler,NA,2020-03-24,2020-03-24,1,Graduated
comment,dolphinscheduler,NA,2020-04-02,2020-04-02,1,Graduated
comment,dolphinscheduler,NA,2020-04-13,2020-04-13,1,Graduated
comment,dolphinscheduler,NA,2020-04-15,2020-04-15,1,Graduated
comment,dolphinscheduler,NA,2020-04-23,2020-04-23,1,Graduated
comment,dolphinscheduler,NA,2020-04-28,2020-04-28,1,Graduated
comment,dolphinscheduler,NA,2020-04-28,2020-04-28,1,Graduated
