type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,eclipse-plugins,CLOSED,2015-09-12,2019-09-25,1475,Graduated
issue,eclipse-plugins,CLOSED,2015-09-19,2015-10-16,28,Graduated
comment,eclipse-plugins,NA,2015-09-19,2015-09-19,1,Graduated
comment,eclipse-plugins,NA,2015-09-21,2015-09-21,1,Graduated
issue,eclipse-plugins,CLOSED,2015-09-19,2016-05-19,244,Graduated
comment,eclipse-plugins,NA,2015-09-19,2015-09-19,1,Graduated
comment,eclipse-plugins,NA,2015-09-20,2015-09-20,1,Graduated
comment,eclipse-plugins,NA,2015-09-20,2015-09-20,1,Graduated
comment,eclipse-plugins,NA,2015-09-20,2015-09-20,1,Graduated
comment,eclipse-plugins,NA,2015-09-20,2015-09-20,1,Graduated
comment,eclipse-plugins,NA,2015-09-20,2015-09-20,1,Graduated
comment,eclipse-plugins,NA,2015-09-20,2015-09-20,1,Graduated
comment,eclipse-plugins,NA,2015-10-06,2015-10-06,1,Graduated
comment,eclipse-plugins,NA,2015-10-06,2015-10-06,1,Graduated
comment,eclipse-plugins,NA,2015-10-06,2015-10-06,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-07,2015-10-07,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-27,2015-10-27,1,Graduated
comment,eclipse-plugins,NA,2016-01-14,2016-01-14,1,Graduated
comment,eclipse-plugins,NA,2016-01-14,2016-01-14,1,Graduated
comment,eclipse-plugins,NA,2016-05-18,2016-05-18,1,Graduated
comment,eclipse-plugins,NA,2016-05-19,2016-05-19,1,Graduated
comment,eclipse-plugins,NA,2016-05-19,2016-05-19,1,Graduated
issue,eclipse-plugins,CLOSED,2015-09-26,2015-09-27,2,Graduated
comment,eclipse-plugins,NA,2015-09-26,2015-09-26,1,Graduated
comment,eclipse-plugins,NA,2015-09-26,2015-09-26,1,Graduated
comment,eclipse-plugins,NA,2015-09-27,2015-09-27,1,Graduated
comment,eclipse-plugins,NA,2015-09-27,2015-09-27,1,Graduated
issue,eclipse-plugins,CLOSED,2015-09-28,2015-10-16,19,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
comment,eclipse-plugins,NA,2015-09-28,2015-09-28,1,Graduated
issue,eclipse-plugins,CLOSED,2015-09-29,2015-10-30,32,Graduated
comment,eclipse-plugins,NA,2015-09-29,2015-09-29,1,Graduated
issue,eclipse-plugins,OPEN,2015-10-08,2020-07-17,1745,Graduated
comment,eclipse-plugins,NA,2015-10-08,2015-10-08,1,Graduated
comment,eclipse-plugins,NA,2015-10-08,2015-10-08,1,Graduated
comment,eclipse-plugins,NA,2015-10-08,2015-10-08,1,Graduated
comment,eclipse-plugins,NA,2015-10-08,2015-10-08,1,Graduated
comment,eclipse-plugins,NA,2015-10-08,2015-10-08,1,Graduated
comment,eclipse-plugins,NA,2015-10-27,2015-10-27,1,Graduated
comment,eclipse-plugins,NA,2015-10-28,2015-10-28,1,Graduated
comment,eclipse-plugins,NA,2015-10-28,2015-10-28,1,Graduated
comment,eclipse-plugins,NA,2015-10-28,2015-10-28,1,Graduated
comment,eclipse-plugins,NA,2015-10-28,2015-10-28,1,Graduated
comment,eclipse-plugins,NA,2015-10-28,2015-10-28,1,Graduated
comment,eclipse-plugins,NA,2015-10-28,2015-10-28,1,Graduated
issue,eclipse-plugins,CLOSED,2015-10-09,2015-10-26,18,Graduated
comment,eclipse-plugins,NA,2015-10-09,2015-10-09,1,Graduated
comment,eclipse-plugins,NA,2015-10-09,2015-10-09,1,Graduated
comment,eclipse-plugins,NA,2015-10-09,2015-10-09,1,Graduated
comment,eclipse-plugins,NA,2015-10-16,2015-10-16,1,Graduated
comment,eclipse-plugins,NA,2015-10-26,2015-10-26,1,Graduated
issue,eclipse-plugins,CLOSED,2015-10-12,2015-10-12,1,Graduated
comment,eclipse-plugins,NA,2015-10-12,2015-10-12,1,Graduated
comment,eclipse-plugins,NA,2015-10-12,2015-10-12,1,Graduated
comment,eclipse-plugins,NA,2015-10-12,2015-10-12,1,Graduated
issue,eclipse-plugins,CLOSED,2015-10-15,2015-10-21,7,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
issue,eclipse-plugins,CLOSED,2015-10-15,2017-11-13,761,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-15,2015-10-15,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-21,2015-10-21,1,Graduated
comment,eclipse-plugins,NA,2015-10-22,2015-10-22,1,Graduated
comment,eclipse-plugins,NA,2015-10-22,2015-10-22,1,Graduated
comment,eclipse-plugins,NA,2015-10-22,2015-10-22,1,Graduated
comment,eclipse-plugins,NA,2015-10-22,2015-10-22,1,Graduated
comment,eclipse-plugins,NA,2015-10-22,2015-10-22,1,Graduated
comment,eclipse-plugins,NA,2015-10-24,2015-10-24,1,Graduated
comment,eclipse-plugins,NA,2015-11-12,2015-11-12,1,Graduated
