type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,eclipse.jdt.core,CLOSED,2022-04-09,2022-04-20,12,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-09,2022-04-14,6,Retired
comment,eclipse.jdt.core,NA,2022-04-14,2022-04-14,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-11,2022-04-20,10,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-11,2022-04-20,10,Retired
comment,eclipse.jdt.core,NA,2022-04-11,2022-04-11,1,Retired
comment,eclipse.jdt.core,NA,2022-04-11,2022-04-11,1,Retired
comment,eclipse.jdt.core,NA,2022-04-12,2022-04-12,1,Retired
comment,eclipse.jdt.core,NA,2022-04-12,2022-04-12,1,Retired
comment,eclipse.jdt.core,NA,2022-04-12,2022-04-12,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-14,2024-02-14,672,Retired
comment,eclipse.jdt.core,NA,2022-04-15,2022-04-15,1,Retired
comment,eclipse.jdt.core,NA,2022-04-15,2022-04-15,1,Retired
comment,eclipse.jdt.core,NA,2023-11-21,2023-11-21,1,Retired
comment,eclipse.jdt.core,NA,2024-02-14,2024-02-14,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-15,2022-04-19,5,Retired
comment,eclipse.jdt.core,NA,2022-04-18,2022-04-18,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-18,2022-04-20,3,Retired
comment,eclipse.jdt.core,NA,2022-04-19,2022-04-19,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-18,2022-04-26,9,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-19,2024-01-02,624,Retired
comment,eclipse.jdt.core,NA,2023-12-25,2023-12-25,1,Retired
comment,eclipse.jdt.core,NA,2024-01-02,2024-01-02,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-19,2024-03-05,687,Retired
comment,eclipse.jdt.core,NA,2022-05-20,2022-05-20,1,Retired
comment,eclipse.jdt.core,NA,2022-05-20,2022-05-20,1,Retired
comment,eclipse.jdt.core,NA,2024-03-05,2024-03-05,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-20,2022-05-12,23,Retired
comment,eclipse.jdt.core,NA,2022-04-20,2022-04-20,1,Retired
comment,eclipse.jdt.core,NA,2022-05-12,2022-05-12,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-20,2022-04-20,1,Retired
issue,eclipse.jdt.core,OPEN,2022-04-20,2023-03-30,345,Retired
comment,eclipse.jdt.core,NA,2022-05-02,2022-05-02,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-22,2023-03-29,342,Retired
comment,eclipse.jdt.core,NA,2022-04-22,2022-04-22,1,Retired
comment,eclipse.jdt.core,NA,2022-04-22,2022-04-22,1,Retired
comment,eclipse.jdt.core,NA,2022-04-22,2022-04-22,1,Retired
comment,eclipse.jdt.core,NA,2022-04-22,2022-04-22,1,Retired
comment,eclipse.jdt.core,NA,2022-08-17,2022-08-17,1,Retired
comment,eclipse.jdt.core,NA,2022-08-28,2022-08-28,1,Retired
comment,eclipse.jdt.core,NA,2022-08-28,2022-08-28,1,Retired
comment,eclipse.jdt.core,NA,2022-08-28,2022-08-28,1,Retired
comment,eclipse.jdt.core,NA,2022-08-28,2022-08-28,1,Retired
comment,eclipse.jdt.core,NA,2022-08-28,2022-08-28,1,Retired
comment,eclipse.jdt.core,NA,2023-03-28,2023-03-28,1,Retired
comment,eclipse.jdt.core,NA,2023-03-29,2023-03-29,1,Retired
comment,eclipse.jdt.core,NA,2023-03-29,2023-03-29,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-23,2022-04-23,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-24,2022-04-26,3,Retired
comment,eclipse.jdt.core,NA,2022-04-25,2022-04-25,1,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-26,2022-04-28,3,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-26,2023-02-07,288,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
comment,eclipse.jdt.core,NA,2022-05-09,2022-05-09,1,Retired
comment,eclipse.jdt.core,NA,2022-07-16,2022-07-16,1,Retired
comment,eclipse.jdt.core,NA,2022-07-19,2022-07-19,1,Retired
comment,eclipse.jdt.core,NA,2023-01-25,2023-01-25,1,Retired
comment,eclipse.jdt.core,NA,2023-01-27,2023-01-27,1,Retired
comment,eclipse.jdt.core,NA,2023-01-30,2023-01-30,1,Retired
comment,eclipse.jdt.core,NA,2023-02-07,2023-02-07,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-26,2022-04-27,2,Retired
comment,eclipse.jdt.core,NA,2022-04-26,2022-04-26,1,Retired
comment,eclipse.jdt.core,NA,2022-04-27,2022-04-27,1,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-26,2022-04-28,3,Retired
issue,eclipse.jdt.core,CLOSED,2022-04-27,2022-05-15,19,Retired
comment,eclipse.jdt.core,NA,2022-05-15,2022-05-15,1,Retired
comment,eclipse.jdt.core,NA,2022-05-15,2022-05-15,1,Retired
