type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,eclipse.jdt.debug,CLOSED,2022-04-01,2022-05-17,47,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-01,2022-04-20,20,Retired
comment,eclipse.jdt.debug,NA,2022-04-01,2022-04-01,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-01,2022-04-01,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-02,2022-04-05,4,Retired
comment,eclipse.jdt.debug,NA,2022-04-04,2022-04-04,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-04,2022-04-04,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-05,2022-04-05,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-05,2022-04-09,5,Retired
comment,eclipse.jdt.debug,NA,2022-04-09,2022-04-09,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-05,2022-04-05,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-05,2022-04-05,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-05,2022-04-05,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-05,2022-04-05,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-06,2022-04-06,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-06,2022-04-20,15,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-11,2022-04-11,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-11,2022-04-12,2,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-14,2022-05-17,34,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-16,2022-05-16,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-14,2023-05-25,407,Retired
comment,eclipse.jdt.debug,NA,2022-05-16,2022-05-16,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-16,2022-05-16,1,Retired
comment,eclipse.jdt.debug,NA,2023-05-25,2023-05-25,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-14,2022-05-17,34,Retired
comment,eclipse.jdt.debug,NA,2022-04-14,2022-04-14,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-15,2022-04-15,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-15,2022-04-20,6,Retired
comment,eclipse.jdt.debug,NA,2022-04-18,2022-04-18,1,Retired
issue,eclipse.jdt.debug,OPEN,2022-04-16,2022-05-11,26,Retired
comment,eclipse.jdt.debug,NA,2022-04-18,2022-04-18,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-18,2022-04-18,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-18,2022-04-18,1,Retired
comment,eclipse.jdt.debug,NA,2022-05-11,2022-05-11,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-20,2023-12-04,594,Retired
comment,eclipse.jdt.debug,NA,2022-04-21,2022-04-21,1,Retired
comment,eclipse.jdt.debug,NA,2022-04-22,2022-04-22,1,Retired
comment,eclipse.jdt.debug,NA,2022-11-24,2022-11-24,1,Retired
comment,eclipse.jdt.debug,NA,2023-05-26,2023-05-26,1,Retired
comment,eclipse.jdt.debug,NA,2023-06-02,2023-06-02,1,Retired
comment,eclipse.jdt.debug,NA,2023-07-04,2023-07-04,1,Retired
comment,eclipse.jdt.debug,NA,2023-07-07,2023-07-07,1,Retired
comment,eclipse.jdt.debug,NA,2023-07-07,2023-07-07,1,Retired
comment,eclipse.jdt.debug,NA,2023-12-04,2023-12-04,1,Retired
comment,eclipse.jdt.debug,NA,2023-12-04,2023-12-04,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-20,2022-04-20,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-21,2022-05-17,27,Retired
comment,eclipse.jdt.debug,NA,2022-04-21,2022-04-21,1,Retired
issue,eclipse.jdt.debug,CLOSED,2022-04-21,2022-05-17,27,Retired
comment,eclipse.jdt.debug,NA,2022-04-22,2022-04-22,1,Retired
