type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,eclipse.jdt.ui,OPEN,2022-04-09,2024-02-19,682,Retired
comment,eclipse.jdt.ui,NA,2022-04-09,2022-04-09,1,Retired
comment,eclipse.jdt.ui,NA,2022-04-11,2022-04-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-04-11,2022-04-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-04-11,2022-04-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-04-11,2022-04-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-04-15,2022-04-15,1,Retired
comment,eclipse.jdt.ui,NA,2024-02-19,2024-02-19,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-10,2022-04-20,11,Retired
comment,eclipse.jdt.ui,NA,2022-04-11,2022-04-11,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-11,2022-04-12,2,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-12,2022-04-29,18,Retired
comment,eclipse.jdt.ui,NA,2022-04-14,2022-04-14,1,Retired
comment,eclipse.jdt.ui,NA,2022-04-14,2022-04-14,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-13,2022-05-17,35,Retired
comment,eclipse.jdt.ui,NA,2022-05-16,2022-05-16,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-17,2022-05-17,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-20,2022-05-18,29,Retired
comment,eclipse.jdt.ui,NA,2022-05-18,2022-05-18,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-23,2022-07-22,91,Retired
comment,eclipse.jdt.ui,NA,2022-05-17,2022-05-17,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-04-29,2022-05-18,20,Retired
comment,eclipse.jdt.ui,NA,2022-05-18,2022-05-18,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-02,2023-03-01,304,Retired
comment,eclipse.jdt.ui,NA,2023-02-28,2023-02-28,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-02,2022-05-02,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-02,2022-05-02,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-02,2022-05-02,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-05,2022-06-08,35,Retired
comment,eclipse.jdt.ui,NA,2022-05-05,2022-05-05,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-05,2022-05-05,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-11,2022-05-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-08,2022-06-08,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-05,2022-05-18,14,Retired
comment,eclipse.jdt.ui,NA,2022-05-05,2022-05-05,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-05,2022-05-05,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-05,2022-05-05,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-06,2022-05-06,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-06,2022-07-25,81,Retired
comment,eclipse.jdt.ui,NA,2022-05-06,2022-05-06,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-17,2022-05-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-17,2022-05-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-18,2022-05-18,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-07,2022-11-29,207,Retired
comment,eclipse.jdt.ui,NA,2022-06-17,2022-06-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-17,2022-06-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-09-14,2022-09-14,1,Retired
comment,eclipse.jdt.ui,NA,2022-09-14,2022-09-14,1,Retired
comment,eclipse.jdt.ui,NA,2022-09-16,2022-09-16,1,Retired
comment,eclipse.jdt.ui,NA,2022-11-25,2022-11-25,1,Retired
comment,eclipse.jdt.ui,NA,2022-11-28,2022-11-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-11-29,2022-11-29,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-05-07,2022-05-19,13,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-09,2022-05-19,11,Retired
comment,eclipse.jdt.ui,NA,2022-05-09,2022-05-09,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-10,2022-05-10,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-10,2022-05-18,9,Retired
comment,eclipse.jdt.ui,NA,2022-05-18,2022-05-18,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-10,2022-06-03,25,Retired
comment,eclipse.jdt.ui,NA,2022-06-03,2022-06-03,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-03,2022-06-03,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-13,2022-05-13,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-13,2022-05-13,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-13,2022-05-13,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-05-15,2022-05-19,5,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-17,2022-07-14,59,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-23,2022-05-23,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-09,2022-06-09,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-10,2022-06-10,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-10,2022-06-10,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-20,2022-06-20,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-20,2022-06-20,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-20,2022-06-20,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-22,2022-06-22,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-22,2022-06-22,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-23,2022-06-23,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-27,2022-06-27,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-28,2022-06-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-28,2022-06-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-07-01,2022-07-01,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-17,2022-05-24,8,Retired
comment,eclipse.jdt.ui,NA,2022-05-17,2022-05-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-17,2022-05-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-18,2022-05-18,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-24,2022-05-24,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-19,2022-07-07,50,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-19,2022-05-19,1,Retired
comment,eclipse.jdt.ui,NA,2022-07-07,2022-07-07,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-05-20,2024-01-25,616,Retired
comment,eclipse.jdt.ui,NA,2024-01-22,2024-01-22,1,Retired
comment,eclipse.jdt.ui,NA,2024-01-25,2024-01-25,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-20,2024-02-08,630,Retired
comment,eclipse.jdt.ui,NA,2023-09-01,2023-09-01,1,Retired
comment,eclipse.jdt.ui,NA,2023-09-01,2023-09-01,1,Retired
comment,eclipse.jdt.ui,NA,2023-09-01,2023-09-01,1,Retired
comment,eclipse.jdt.ui,NA,2024-02-08,2024-02-08,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-20,2022-05-23,4,Retired
comment,eclipse.jdt.ui,NA,2022-05-23,2022-05-23,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-24,2022-05-26,3,Retired
comment,eclipse.jdt.ui,NA,2022-05-26,2022-05-26,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-05-27,2022-05-31,5,Retired
issue,eclipse.jdt.ui,OPEN,2022-05-27,2022-05-27,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-28,2022-06-08,12,Retired
comment,eclipse.jdt.ui,NA,2022-05-28,2022-05-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-28,2022-05-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-28,2022-05-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-06,2022-06-06,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-08,2022-06-08,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-05-31,2024-02-15,626,Retired
comment,eclipse.jdt.ui,NA,2022-05-31,2022-05-31,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-31,2022-05-31,1,Retired
comment,eclipse.jdt.ui,NA,2022-05-31,2022-05-31,1,Retired
comment,eclipse.jdt.ui,NA,2024-02-15,2024-02-15,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-05-31,2022-05-31,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-01,2022-06-01,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-01,2022-06-01,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-01,2022-06-01,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-01,2022-06-01,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-01,2022-06-01,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-01,2022-06-01,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-02,2025-01-17,961,Retired
comment,eclipse.jdt.ui,NA,2022-06-02,2022-06-02,1,Retired
comment,eclipse.jdt.ui,NA,2022-07-07,2022-07-07,1,Retired
comment,eclipse.jdt.ui,NA,2022-09-01,2022-09-01,1,Retired
comment,eclipse.jdt.ui,NA,2022-09-29,2022-09-29,1,Retired
comment,eclipse.jdt.ui,NA,2022-11-10,2022-11-10,1,Retired
comment,eclipse.jdt.ui,NA,2023-07-06,2023-07-06,1,Retired
comment,eclipse.jdt.ui,NA,2023-08-17,2023-08-17,1,Retired
comment,eclipse.jdt.ui,NA,2023-08-31,2023-08-31,1,Retired
comment,eclipse.jdt.ui,NA,2023-11-09,2023-11-09,1,Retired
comment,eclipse.jdt.ui,NA,2023-11-17,2023-11-17,1,Retired
comment,eclipse.jdt.ui,NA,2024-05-24,2024-05-24,1,Retired
comment,eclipse.jdt.ui,NA,2024-08-23,2024-08-23,1,Retired
comment,eclipse.jdt.ui,NA,2024-12-10,2024-12-10,1,Retired
comment,eclipse.jdt.ui,NA,2025-01-13,2025-01-13,1,Retired
comment,eclipse.jdt.ui,NA,2025-01-17,2025-01-17,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-02,2024-01-25,603,Retired
comment,eclipse.jdt.ui,NA,2022-06-02,2022-06-02,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-02,2022-08-15,75,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-03,2022-07-06,34,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-03,2022-07-26,54,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-08,2023-12-01,542,Retired
comment,eclipse.jdt.ui,NA,2022-06-16,2022-06-16,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-16,2022-06-16,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-17,2022-06-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-17,2022-06-17,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-20,2022-06-20,1,Retired
comment,eclipse.jdt.ui,NA,2023-11-30,2023-11-30,1,Retired
comment,eclipse.jdt.ui,NA,2023-12-01,2023-12-01,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-08,2024-01-31,603,Retired
comment,eclipse.jdt.ui,NA,2024-01-31,2024-01-31,1,Retired
comment,eclipse.jdt.ui,NA,2024-01-31,2024-01-31,1,Retired
comment,eclipse.jdt.ui,NA,2024-01-31,2024-01-31,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-09,2022-06-11,3,Retired
comment,eclipse.jdt.ui,NA,2022-06-10,2022-06-10,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-11,2022-06-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-11,2022-06-11,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-10,2022-07-06,27,Retired
comment,eclipse.jdt.ui,NA,2022-06-10,2022-06-10,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-11,2022-06-11,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-13,2022-06-13,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-13,2022-06-13,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-10,2022-07-06,27,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-11,2022-06-11,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-14,2023-03-29,289,Retired
comment,eclipse.jdt.ui,NA,2022-07-20,2022-07-20,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-15,2022-06-16,2,Retired
comment,eclipse.jdt.ui,NA,2022-06-15,2022-06-15,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-15,2022-06-15,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-15,2022-06-15,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-16,2022-06-16,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-15,2023-05-24,344,Retired
comment,eclipse.jdt.ui,NA,2022-06-28,2022-06-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-28,2022-06-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-07-05,2022-07-05,1,Retired
comment,eclipse.jdt.ui,NA,2022-07-25,2022-07-25,1,Retired
comment,eclipse.jdt.ui,NA,2022-08-26,2022-08-26,1,Retired
comment,eclipse.jdt.ui,NA,2023-05-24,2023-05-24,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-16,2022-07-06,21,Retired
comment,eclipse.jdt.ui,NA,2022-06-16,2022-06-16,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-19,2022-07-06,18,Retired
comment,eclipse.jdt.ui,NA,2022-06-21,2022-06-21,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-21,2022-06-21,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-22,2022-06-22,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-22,2022-06-22,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-22,2022-06-22,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-23,2022-06-23,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-24,2022-06-24,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-25,2022-06-25,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-25,2022-06-25,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-25,2022-06-25,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-27,2022-06-27,1,Retired
issue,eclipse.jdt.ui,OPEN,2022-06-20,2022-06-28,9,Retired
comment,eclipse.jdt.ui,NA,2022-06-20,2022-06-20,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-28,2022-06-28,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-28,2022-06-28,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-21,2022-06-23,3,Retired
comment,eclipse.jdt.ui,NA,2022-06-21,2022-06-21,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-21,2022-06-21,1,Retired
comment,eclipse.jdt.ui,NA,2022-06-22,2022-06-22,1,Retired
issue,eclipse.jdt.ui,CLOSED,2022-06-25,2022-08-02,39,Retired
comment,eclipse.jdt.ui,NA,2022-07-05,2022-07-05,1,Retired
