type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,eclipse.platform.swt,CLOSED,2022-03-29,2022-04-06,9,Retired
issue,eclipse.platform.swt,CLOSED,2022-03-29,2022-04-12,15,Retired
comment,eclipse.platform.swt,NA,2022-03-29,2022-03-29,1,Retired
comment,eclipse.platform.swt,NA,2022-04-03,2022-04-03,1,Retired
comment,eclipse.platform.swt,NA,2022-04-04,2022-04-04,1,Retired
comment,eclipse.platform.swt,NA,2022-04-04,2022-04-04,1,Retired
comment,eclipse.platform.swt,NA,2022-04-04,2022-04-04,1,Retired
comment,eclipse.platform.swt,NA,2022-04-05,2022-04-05,1,Retired
comment,eclipse.platform.swt,NA,2022-04-05,2022-04-05,1,Retired
comment,eclipse.platform.swt,NA,2022-04-06,2022-04-06,1,Retired
comment,eclipse.platform.swt,NA,2022-04-07,2022-04-07,1,Retired
comment,eclipse.platform.swt,NA,2022-04-07,2022-04-07,1,Retired
issue,eclipse.platform.swt,CLOSED,2022-03-29,2022-04-06,9,Retired
issue,eclipse.platform.swt,CLOSED,2022-03-30,2022-04-30,32,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-03-30,2022-03-30,1,Retired
comment,eclipse.platform.swt,NA,2022-04-01,2022-04-01,1,Retired
comment,eclipse.platform.swt,NA,2022-04-01,2022-04-01,1,Retired
comment,eclipse.platform.swt,NA,2022-04-01,2022-04-01,1,Retired
comment,eclipse.platform.swt,NA,2022-04-01,2022-04-01,1,Retired
comment,eclipse.platform.swt,NA,2022-04-02,2022-04-02,1,Retired
comment,eclipse.platform.swt,NA,2022-04-02,2022-04-02,1,Retired
comment,eclipse.platform.swt,NA,2022-04-03,2022-04-03,1,Retired
