type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,emf-parsley,CLOSED,2022-11-17,2022-11-25,9,Graduated
comment,emf-parsley,NA,2022-11-25,2022-11-25,1,Graduated
issue,emf-parsley,CLOSED,2022-11-21,2022-11-29,9,Graduated
issue,emf-parsley,CLOSED,2022-11-23,2022-11-29,7,Graduated
comment,emf-parsley,NA,2022-11-25,2022-11-25,1,Graduated
comment,emf-parsley,NA,2022-11-27,2022-11-27,1,Graduated
comment,emf-parsley,NA,2022-11-29,2022-11-29,1,Graduated
issue,emf-parsley,CLOSED,2022-11-24,2022-11-29,6,Graduated
comment,emf-parsley,NA,2022-11-29,2022-11-29,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-30,6,Graduated
comment,emf-parsley,NA,2022-11-25,2022-11-25,1,Graduated
comment,emf-parsley,NA,2022-11-27,2022-11-27,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-25,1,Graduated
comment,emf-parsley,NA,2022-11-25,2022-11-25,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-28,4,Graduated
comment,emf-parsley,NA,2022-11-28,2022-11-28,1,Graduated
issue,emf-parsley,OPEN,2022-11-25,2022-11-25,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-12-08,14,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-25,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-29,5,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-29,5,Graduated
comment,emf-parsley,NA,2022-11-29,2022-11-29,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-25,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-25,1,Graduated
issue,emf-parsley,CLOSED,2022-11-25,2022-11-28,4,Graduated
issue,emf-parsley,CLOSED,2022-11-28,2022-11-28,1,Graduated
issue,emf-parsley,OPEN,2022-11-28,2022-11-28,1,Graduated
issue,emf-parsley,CLOSED,2022-11-28,2022-12-01,4,Graduated
comment,emf-parsley,NA,2022-11-29,2022-11-29,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
issue,emf-parsley,CLOSED,2022-11-28,2022-12-05,8,Graduated
comment,emf-parsley,NA,2022-11-29,2022-11-29,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
comment,emf-parsley,NA,2022-11-30,2022-11-30,1,Graduated
comment,emf-parsley,NA,2022-12-04,2022-12-04,1,Graduated
