type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,epsilon,CLOSED,2022-10-20,2023-11-28,405,Graduated
comment,epsilon,NA,2022-10-21,2022-10-21,1,Graduated
comment,epsilon,NA,2022-10-23,2022-10-23,1,Graduated
issue,epsilon,OPEN,2022-11-04,2023-08-21,291,Graduated
comment,epsilon,NA,2023-08-17,2023-08-17,1,Graduated
comment,epsilon,NA,2023-08-20,2023-08-20,1,Graduated
comment,epsilon,NA,2023-08-20,2023-08-20,1,Graduated
comment,epsilon,NA,2023-08-21,2023-08-21,1,Graduated
issue,epsilon,CLOSED,2022-11-04,2023-11-28,390,Graduated
comment,epsilon,NA,2022-11-05,2022-11-05,1,Graduated
issue,epsilon,OPEN,2022-11-14,2022-12-23,40,Graduated
comment,epsilon,NA,2022-12-23,2022-12-23,1,Graduated
issue,epsilon,CLOSED,2022-11-14,2023-11-28,380,Graduated
issue,epsilon,OPEN,2022-11-17,2022-11-17,1,Graduated
issue,epsilon,CLOSED,2022-11-18,2023-11-28,376,Graduated
comment,epsilon,NA,2022-11-25,2022-11-25,1,Graduated
comment,epsilon,NA,2022-11-28,2022-11-28,1,Graduated
issue,epsilon,OPEN,2022-11-26,2022-11-26,1,Graduated
issue,epsilon,CLOSED,2022-11-29,2023-11-28,365,Graduated
comment,epsilon,NA,2022-11-29,2022-11-29,1,Graduated
issue,epsilon,CLOSED,2022-11-30,2023-11-28,364,Graduated
comment,epsilon,NA,2022-11-30,2022-11-30,1,Graduated
issue,epsilon,CLOSED,2022-12-01,2023-11-28,363,Graduated
comment,epsilon,NA,2022-12-02,2022-12-02,1,Graduated
issue,epsilon,CLOSED,2022-12-02,2023-11-28,362,Graduated
comment,epsilon,NA,2023-01-07,2023-01-07,1,Graduated
issue,epsilon,OPEN,2022-12-05,2023-01-13,40,Graduated
comment,epsilon,NA,2022-12-05,2022-12-05,1,Graduated
comment,epsilon,NA,2022-12-05,2022-12-05,1,Graduated
issue,epsilon,CLOSED,2022-12-05,2023-11-28,359,Graduated
issue,epsilon,CLOSED,2022-12-20,2025-01-03,746,Graduated
comment,epsilon,NA,2022-12-20,2022-12-20,1,Graduated
comment,epsilon,NA,2022-12-20,2022-12-20,1,Graduated
comment,epsilon,NA,2022-12-20,2022-12-20,1,Graduated
comment,epsilon,NA,2022-12-20,2022-12-20,1,Graduated
comment,epsilon,NA,2022-12-20,2022-12-20,1,Graduated
comment,epsilon,NA,2022-12-20,2022-12-20,1,Graduated
issue,epsilon,OPEN,2023-01-03,2024-06-05,520,Graduated
comment,epsilon,NA,2023-01-03,2023-01-03,1,Graduated
comment,epsilon,NA,2023-03-04,2023-03-04,1,Graduated
comment,epsilon,NA,2024-01-18,2024-01-18,1,Graduated
comment,epsilon,NA,2024-01-30,2024-01-30,1,Graduated
issue,epsilon,CLOSED,2023-01-09,2023-11-28,324,Graduated
comment,epsilon,NA,2023-01-09,2023-01-09,1,Graduated
comment,epsilon,NA,2023-01-10,2023-01-10,1,Graduated
comment,epsilon,NA,2023-01-10,2023-01-10,1,Graduated
comment,epsilon,NA,2023-01-10,2023-01-10,1,Graduated
comment,epsilon,NA,2023-10-18,2023-10-18,1,Graduated
issue,epsilon,CLOSED,2023-02-27,2023-11-28,275,Graduated
comment,epsilon,NA,2023-02-27,2023-02-27,1,Graduated
comment,epsilon,NA,2023-03-04,2023-03-04,1,Graduated
comment,epsilon,NA,2023-03-05,2023-03-05,1,Graduated
issue,epsilon,CLOSED,2023-03-21,2023-11-28,253,Graduated
comment,epsilon,NA,2023-03-30,2023-03-30,1,Graduated
comment,epsilon,NA,2023-03-30,2023-03-30,1,Graduated
comment,epsilon,NA,2023-03-31,2023-03-31,1,Graduated
issue,epsilon,CLOSED,2023-03-31,2023-04-12,13,Graduated
comment,epsilon,NA,2023-04-12,2023-04-12,1,Graduated
issue,epsilon,CLOSED,2023-04-21,2023-11-28,222,Graduated
issue,epsilon,CLOSED,2023-06-26,2023-06-30,5,Graduated
issue,epsilon,CLOSED,2023-07-03,2023-07-07,5,Graduated
comment,epsilon,NA,2023-07-03,2023-07-03,1,Graduated
comment,epsilon,NA,2023-07-03,2023-07-03,1,Graduated
issue,epsilon,CLOSED,2023-07-04,2023-11-28,148,Graduated
issue,epsilon,OPEN,2023-07-05,2024-10-18,472,Graduated
comment,epsilon,NA,2023-10-12,2023-10-12,1,Graduated
comment,epsilon,NA,2024-07-18,2024-07-18,1,Graduated
comment,epsilon,NA,2024-07-19,2024-07-19,1,Graduated
comment,epsilon,NA,2024-07-22,2024-07-22,1,Graduated
comment,epsilon,NA,2024-07-22,2024-07-22,1,Graduated
issue,epsilon,CLOSED,2023-08-04,2023-11-28,117,Graduated
comment,epsilon,NA,2023-08-06,2023-08-06,1,Graduated
issue,epsilon,OPEN,2023-09-11,2024-06-05,269,Graduated
issue,epsilon,CLOSED,2023-09-20,2023-09-21,2,Graduated
comment,epsilon,NA,2023-09-21,2023-09-21,1,Graduated
comment,epsilon,NA,2023-09-21,2023-09-21,1,Graduated
comment,epsilon,NA,2023-09-21,2023-09-21,1,Graduated
issue,epsilon,CLOSED,2023-09-26,2023-09-26,1,Graduated
comment,epsilon,NA,2023-09-26,2023-09-26,1,Graduated
issue,epsilon,CLOSED,2023-10-02,2025-01-03,460,Graduated
comment,epsilon,NA,2023-10-02,2023-10-02,1,Graduated
comment,epsilon,NA,2023-10-02,2023-10-02,1,Graduated
