type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,gmf-runtime,CLOSED,2022-01-22,2022-05-07,106,Graduated
comment,gmf-runtime,NA,2022-05-01,2022-05-01,1,Graduated
issue,gmf-runtime,CLOSED,2022-01-28,2022-01-31,4,Graduated
comment,gmf-runtime,NA,2022-01-28,2022-01-28,1,Graduated
comment,gmf-runtime,NA,2022-01-31,2022-01-31,1,Graduated
issue,gmf-runtime,CLOSED,2022-03-24,2022-04-02,10,Graduated
comment,gmf-runtime,NA,2022-03-30,2022-03-30,1,Graduated
issue,gmf-runtime,CLOSED,2022-04-06,2022-05-01,26,Graduated
comment,gmf-runtime,NA,2022-05-01,2022-05-01,1,Graduated
issue,gmf-runtime,CLOSED,2022-04-06,2022-05-07,32,Graduated
comment,gmf-runtime,NA,2022-05-02,2022-05-02,1,Graduated
comment,gmf-runtime,NA,2022-05-07,2022-05-07,1,Graduated
issue,gmf-runtime,CLOSED,2022-04-06,2022-05-01,26,Graduated
comment,gmf-runtime,NA,2022-05-01,2022-05-01,1,Graduated
issue,gmf-runtime,CLOSED,2022-05-01,2022-05-09,9,Graduated
issue,gmf-runtime,OPEN,2022-05-03,2023-11-23,570,Graduated
comment,gmf-runtime,NA,2023-10-11,2023-10-11,1,Graduated
issue,gmf-runtime,OPEN,2022-05-03,2022-05-03,1,Graduated
issue,gmf-runtime,OPEN,2022-05-13,2022-05-13,1,Graduated
issue,gmf-runtime,OPEN,2022-05-13,2022-08-21,101,Graduated
comment,gmf-runtime,NA,2022-08-21,2022-08-21,1,Graduated
issue,gmf-runtime,OPEN,2022-05-24,2022-05-26,3,Graduated
comment,gmf-runtime,NA,2022-05-26,2022-05-26,1,Graduated
issue,gmf-runtime,CLOSED,2022-06-17,2022-06-18,2,Graduated
comment,gmf-runtime,NA,2022-06-18,2022-06-18,1,Graduated
issue,gmf-runtime,CLOSED,2022-08-11,2022-08-12,2,Graduated
issue,gmf-runtime,CLOSED,2022-08-14,2022-08-15,2,Graduated
comment,gmf-runtime,NA,2022-08-15,2022-08-15,1,Graduated
issue,gmf-runtime,OPEN,2022-08-15,2022-08-15,1,Graduated
issue,gmf-runtime,CLOSED,2022-08-15,2022-08-15,1,Graduated
comment,gmf-runtime,NA,2022-08-15,2022-08-15,1,Graduated
issue,gmf-runtime,CLOSED,2022-08-25,2022-08-26,2,Graduated
comment,gmf-runtime,NA,2022-08-26,2022-08-26,1,Graduated
issue,gmf-runtime,OPEN,2022-10-20,2022-10-20,1,Graduated
issue,gmf-runtime,CLOSED,2022-10-30,2023-04-29,182,Graduated
comment,gmf-runtime,NA,2023-04-29,2023-04-29,1,Graduated
issue,gmf-runtime,CLOSED,2023-03-30,2023-04-29,31,Graduated
issue,gmf-runtime,CLOSED,2023-03-31,2023-04-29,30,Graduated
comment,gmf-runtime,NA,2023-04-29,2023-04-29,1,Graduated
issue,gmf-runtime,CLOSED,2023-03-31,2023-04-29,30,Graduated
comment,gmf-runtime,NA,2023-04-21,2023-04-21,1,Graduated
comment,gmf-runtime,NA,2023-04-21,2023-04-21,1,Graduated
comment,gmf-runtime,NA,2023-04-21,2023-04-21,1,Graduated
issue,gmf-runtime,CLOSED,2023-04-29,2023-08-04,98,Graduated
issue,gmf-runtime,CLOSED,2023-07-05,2023-08-04,31,Graduated
comment,gmf-runtime,NA,2023-07-05,2023-07-05,1,Graduated
issue,gmf-runtime,CLOSED,2023-10-03,2023-11-30,59,Graduated
comment,gmf-runtime,NA,2023-11-30,2023-11-30,1,Graduated
issue,gmf-runtime,CLOSED,2023-10-11,2023-11-23,44,Graduated
issue,gmf-runtime,CLOSED,2023-10-11,2023-11-23,44,Graduated
comment,gmf-runtime,NA,2023-10-11,2023-10-11,1,Graduated
comment,gmf-runtime,NA,2023-10-11,2023-10-11,1,Graduated
comment,gmf-runtime,NA,2023-10-11,2023-10-11,1,Graduated
comment,gmf-runtime,NA,2023-11-23,2023-11-23,1,Graduated
issue,gmf-runtime,CLOSED,2023-11-02,2023-11-30,29,Graduated
issue,gmf-runtime,CLOSED,2023-11-10,2023-11-10,1,Graduated
comment,gmf-runtime,NA,2023-11-10,2023-11-10,1,Graduated
issue,gmf-runtime,OPEN,2023-11-10,2023-11-10,1,Graduated
issue,gmf-runtime,CLOSED,2023-11-23,2023-12-18,26,Graduated
comment,gmf-runtime,NA,2023-12-18,2023-12-18,1,Graduated
issue,gmf-runtime,OPEN,2023-12-14,2024-10-23,315,Graduated
comment,gmf-runtime,NA,2023-12-14,2023-12-14,1,Graduated
comment,gmf-runtime,NA,2023-12-14,2023-12-14,1,Graduated
comment,gmf-runtime,NA,2023-12-14,2023-12-14,1,Graduated
comment,gmf-runtime,NA,2023-12-18,2023-12-18,1,Graduated
issue,gmf-runtime,CLOSED,2023-12-18,2023-12-18,1,Graduated
comment,gmf-runtime,NA,2023-12-18,2023-12-18,1,Graduated
issue,gmf-runtime,CLOSED,2024-02-28,2024-04-30,63,Graduated
issue,gmf-runtime,CLOSED,2024-03-28,2024-04-04,8,Graduated
comment,gmf-runtime,NA,2024-03-29,2024-03-29,1,Graduated
comment,gmf-runtime,NA,2024-04-02,2024-04-02,1,Graduated
comment,gmf-runtime,NA,2024-04-02,2024-04-02,1,Graduated
comment,gmf-runtime,NA,2024-04-02,2024-04-02,1,Graduated
comment,gmf-runtime,NA,2024-04-04,2024-04-04,1,Graduated
issue,gmf-runtime,CLOSED,2024-04-11,2024-10-23,196,Graduated
comment,gmf-runtime,NA,2024-10-23,2024-10-23,1,Graduated
issue,gmf-runtime,CLOSED,2024-04-12,2024-04-25,14,Graduated
issue,gmf-runtime,OPEN,2024-04-25,2024-04-25,1,Graduated
issue,gmf-runtime,CLOSED,2024-04-25,2024-04-30,6,Graduated
issue,gmf-runtime,CLOSED,2024-10-23,2025-01-22,92,Graduated
comment,gmf-runtime,NA,2024-10-23,2024-10-23,1,Graduated
