type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,golo-lang,CLOSED,2013-04-01,2013-06-07,68,Retired
comment,golo-lang,NA,2013-04-01,2013-04-01,1,Retired
comment,golo-lang,NA,2013-04-01,2013-04-01,1,Retired
comment,golo-lang,NA,2013-04-04,2013-04-04,1,Retired
comment,golo-lang,NA,2013-04-04,2013-04-04,1,Retired
comment,golo-lang,NA,2013-04-04,2013-04-04,1,Retired
comment,golo-lang,NA,2013-04-05,2013-04-05,1,Retired
comment,golo-lang,NA,2013-04-05,2013-04-05,1,Retired
comment,golo-lang,NA,2013-04-05,2013-04-05,1,Retired
comment,golo-lang,NA,2013-04-05,2013-04-05,1,Retired
comment,golo-lang,NA,2013-04-09,2013-04-09,1,Retired
comment,golo-lang,NA,2013-04-09,2013-04-09,1,Retired
comment,golo-lang,NA,2013-04-09,2013-04-09,1,Retired
comment,golo-lang,NA,2013-04-09,2013-04-09,1,Retired
comment,golo-lang,NA,2013-04-09,2013-04-09,1,Retired
comment,golo-lang,NA,2013-04-09,2013-04-09,1,Retired
comment,golo-lang,NA,2013-04-18,2013-04-18,1,Retired
issue,golo-lang,CLOSED,2013-04-05,2015-06-30,817,Retired
comment,golo-lang,NA,2013-04-05,2013-04-05,1,Retired
comment,golo-lang,NA,2013-04-05,2013-04-05,1,Retired
comment,golo-lang,NA,2013-04-06,2013-04-06,1,Retired
issue,golo-lang,CLOSED,2013-04-06,2015-06-30,816,Retired
comment,golo-lang,NA,2013-04-07,2013-04-07,1,Retired
issue,golo-lang,CLOSED,2013-04-07,2015-06-30,815,Retired
comment,golo-lang,NA,2013-04-08,2013-04-08,1,Retired
comment,golo-lang,NA,2013-04-21,2013-04-21,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
issue,golo-lang,CLOSED,2013-04-17,2015-06-30,805,Retired
issue,golo-lang,CLOSED,2013-04-18,2015-06-30,804,Retired
issue,golo-lang,CLOSED,2013-04-18,2013-08-27,132,Retired
comment,golo-lang,NA,2013-07-19,2013-07-19,1,Retired
issue,golo-lang,CLOSED,2013-04-18,2015-06-30,804,Retired
comment,golo-lang,NA,2013-06-28,2013-06-28,1,Retired
comment,golo-lang,NA,2013-07-07,2013-07-07,1,Retired
comment,golo-lang,NA,2013-07-08,2013-07-08,1,Retired
comment,golo-lang,NA,2013-07-08,2013-07-08,1,Retired
issue,golo-lang,OPEN,2013-04-18,2015-11-28,955,Retired
comment,golo-lang,NA,2013-05-17,2013-05-17,1,Retired
comment,golo-lang,NA,2013-12-03,2013-12-03,1,Retired
comment,golo-lang,NA,2013-12-03,2013-12-03,1,Retired
comment,golo-lang,NA,2013-12-03,2013-12-03,1,Retired
issue,golo-lang,CLOSED,2013-04-18,2015-06-30,804,Retired
comment,golo-lang,NA,2013-04-23,2013-04-23,1,Retired
comment,golo-lang,NA,2013-04-23,2013-04-23,1,Retired
comment,golo-lang,NA,2013-04-24,2013-04-24,1,Retired
issue,golo-lang,CLOSED,2013-04-18,2015-06-30,804,Retired
comment,golo-lang,NA,2013-10-01,2013-10-01,1,Retired
comment,golo-lang,NA,2013-10-02,2013-10-02,1,Retired
issue,golo-lang,OPEN,2013-04-18,2016-12-14,1337,Retired
comment,golo-lang,NA,2013-12-09,2013-12-09,1,Retired
comment,golo-lang,NA,2013-12-09,2013-12-09,1,Retired
comment,golo-lang,NA,2013-12-09,2013-12-09,1,Retired
comment,golo-lang,NA,2013-12-10,2013-12-10,1,Retired
comment,golo-lang,NA,2013-12-10,2013-12-10,1,Retired
comment,golo-lang,NA,2015-12-07,2015-12-07,1,Retired
comment,golo-lang,NA,2015-12-07,2015-12-07,1,Retired
issue,golo-lang,CLOSED,2013-04-18,2015-06-30,804,Retired
comment,golo-lang,NA,2013-04-21,2013-04-21,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
comment,golo-lang,NA,2013-04-22,2013-04-22,1,Retired
comment,golo-lang,NA,2013-05-14,2013-05-14,1,Retired
comment,golo-lang,NA,2013-05-15,2013-05-15,1,Retired
comment,golo-lang,NA,2013-09-25,2013-09-25,1,Retired
comment,golo-lang,NA,2013-12-06,2013-12-06,1,Retired
issue,golo-lang,CLOSED,2013-04-21,2015-06-30,801,Retired
comment,golo-lang,NA,2013-04-21,2013-04-21,1,Retired
issue,golo-lang,CLOSED,2013-04-24,2015-06-30,798,Retired
comment,golo-lang,NA,2013-04-24,2013-04-24,1,Retired
comment,golo-lang,NA,2013-04-24,2013-04-24,1,Retired
comment,golo-lang,NA,2013-04-27,2013-04-27,1,Retired
