type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,hono,CLOSED,2016-02-15,2016-02-18,4,Graduated
comment,hono,NA,2016-02-16,2016-02-16,1,Graduated
comment,hono,NA,2016-02-18,2016-02-18,1,Graduated
issue,hono,CLOSED,2016-02-17,2016-02-24,8,Graduated
comment,hono,NA,2016-02-18,2016-02-18,1,Graduated
comment,hono,NA,2016-02-18,2016-02-18,1,Graduated
comment,hono,NA,2016-02-18,2016-02-18,1,Graduated
comment,hono,NA,2016-02-18,2016-02-18,1,Graduated
comment,hono,NA,2016-02-19,2016-02-19,1,Graduated
comment,hono,NA,2016-02-19,2016-02-19,1,Graduated
comment,hono,NA,2016-02-19,2016-02-19,1,Graduated
comment,hono,NA,2016-02-24,2016-02-24,1,Graduated
issue,hono,CLOSED,2016-02-18,2016-10-07,233,Graduated
comment,hono,NA,2016-02-25,2016-02-25,1,Graduated
comment,hono,NA,2016-02-25,2016-02-25,1,Graduated
comment,hono,NA,2016-02-25,2016-02-25,1,Graduated
comment,hono,NA,2016-02-25,2016-02-25,1,Graduated
comment,hono,NA,2016-02-29,2016-02-29,1,Graduated
comment,hono,NA,2016-02-29,2016-02-29,1,Graduated
comment,hono,NA,2016-03-02,2016-03-02,1,Graduated
comment,hono,NA,2016-03-02,2016-03-02,1,Graduated
comment,hono,NA,2016-03-02,2016-03-02,1,Graduated
comment,hono,NA,2016-03-02,2016-03-02,1,Graduated
comment,hono,NA,2016-03-02,2016-03-02,1,Graduated
comment,hono,NA,2016-03-02,2016-03-02,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-17,2016-03-17,1,Graduated
comment,hono,NA,2016-03-18,2016-03-18,1,Graduated
comment,hono,NA,2016-03-18,2016-03-18,1,Graduated
comment,hono,NA,2016-04-28,2016-04-28,1,Graduated
comment,hono,NA,2016-05-19,2016-05-19,1,Graduated
comment,hono,NA,2016-10-07,2016-10-07,1,Graduated
issue,hono,CLOSED,2016-02-23,2016-04-28,66,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-29,2016-02-29,1,Graduated
comment,hono,NA,2016-02-29,2016-02-29,1,Graduated
comment,hono,NA,2016-02-29,2016-02-29,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-04-28,2016-04-28,1,Graduated
comment,hono,NA,2016-04-28,2016-04-28,1,Graduated
issue,hono,CLOSED,2016-02-23,2016-02-24,2,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-24,2016-02-24,1,Graduated
issue,hono,CLOSED,2016-02-23,2016-03-14,21,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-03-03,2016-03-03,1,Graduated
comment,hono,NA,2016-03-07,2016-03-07,1,Graduated
comment,hono,NA,2016-03-14,2016-03-14,1,Graduated
issue,hono,CLOSED,2016-02-23,2016-10-18,239,Graduated
comment,hono,NA,2016-06-02,2016-06-02,1,Graduated
comment,hono,NA,2016-06-03,2016-06-03,1,Graduated
comment,hono,NA,2016-06-14,2016-06-14,1,Graduated
comment,hono,NA,2016-06-14,2016-06-14,1,Graduated
comment,hono,NA,2016-06-15,2016-06-15,1,Graduated
issue,hono,CLOSED,2016-02-23,2021-05-14,1908,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-23,2016-02-23,1,Graduated
comment,hono,NA,2016-02-28,2016-02-28,1,Graduated
comment,hono,NA,2016-10-10,2016-10-10,1,Graduated
comment,hono,NA,2016-10-19,2016-10-19,1,Graduated
comment,hono,NA,2016-10-19,2016-10-19,1,Graduated
comment,hono,NA,2016-10-19,2016-10-19,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
comment,hono,NA,2016-11-02,2016-11-02,1,Graduated
