type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,incubator-bluemarlin,CLOSED,2021-12-14,2021-12-14,1,Retired
issue,incubator-bluemarlin,CLOSED,2021-12-22,2022-01-06,16,Retired
comment,incubator-bluemarlin,NA,2021-12-22,2021-12-22,1,Retired
comment,incubator-bluemarlin,NA,2022-01-05,2022-01-05,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-06,2022-01-13,8,Retired
comment,incubator-bluemarlin,NA,2022-01-06,2022-01-06,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-06,2022-01-13,8,Retired
comment,incubator-bluemarlin,NA,2022-01-07,2022-01-07,1,Retired
comment,incubator-bluemarlin,NA,2022-01-08,2022-01-08,1,Retired
comment,incubator-bluemarlin,NA,2022-01-08,2022-01-08,1,Retired
comment,incubator-bluemarlin,NA,2022-01-10,2022-01-10,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-12,2022-01-20,9,Retired
comment,incubator-bluemarlin,NA,2022-01-12,2022-01-12,1,Retired
comment,incubator-bluemarlin,NA,2022-01-13,2022-01-13,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-14,2022-01-20,7,Retired
issue,incubator-bluemarlin,OPEN,2022-01-20,2022-01-20,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-20,2022-01-20,1,Retired
comment,incubator-bluemarlin,NA,2022-01-20,2022-01-20,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-20,2022-01-20,1,Retired
comment,incubator-bluemarlin,NA,2022-01-20,2022-01-20,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-20,2022-01-20,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-20,2022-03-03,43,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-31,2022-02-03,4,Retired
comment,incubator-bluemarlin,NA,2022-02-01,2022-02-01,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-01-31,2022-02-02,3,Retired
comment,incubator-bluemarlin,NA,2022-02-02,2022-02-02,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-02-03,2022-02-12,10,Retired
issue,incubator-bluemarlin,CLOSED,2022-02-08,2022-03-03,24,Retired
comment,incubator-bluemarlin,NA,2022-02-09,2022-02-09,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-02-08,2022-02-08,1,Retired
issue,incubator-bluemarlin,OPEN,2022-02-11,2022-02-11,1,Retired
comment,incubator-bluemarlin,NA,2022-02-11,2022-02-11,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-02-15,2022-03-03,17,Retired
issue,incubator-bluemarlin,OPEN,2022-02-17,2022-02-22,6,Retired
comment,incubator-bluemarlin,NA,2022-02-20,2022-02-20,1,Retired
comment,incubator-bluemarlin,NA,2022-02-22,2022-02-22,1,Retired
issue,incubator-bluemarlin,OPEN,2022-02-21,2022-02-21,1,Retired
comment,incubator-bluemarlin,NA,2022-02-21,2022-02-21,1,Retired
issue,incubator-bluemarlin,CLOSED,2022-02-24,2022-03-07,12,Retired
comment,incubator-bluemarlin,NA,2022-02-24,2022-02-24,1,Retired
comment,incubator-bluemarlin,NA,2022-02-28,2022-02-28,1,Retired
comment,incubator-bluemarlin,NA,2022-03-03,2022-03-03,1,Retired
comment,incubator-bluemarlin,NA,2022-03-03,2022-03-03,1,Retired
comment,incubator-bluemarlin,NA,2022-03-07,2022-03-07,1,Retired
comment,incubator-bluemarlin,NA,2022-03-07,2022-03-07,1,Retired
issue,incubator-bluemarlin,OPEN,2022-02-28,2022-03-03,4,Retired
comment,incubator-bluemarlin,NA,2022-02-28,2022-02-28,1,Retired
