type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,incubator-datalab,OPEN,2020-05-04,2020-05-28,25,Retired
issue,incubator-datalab,OPEN,2020-05-04,2021-04-08,340,Retired
issue,incubator-datalab,OPEN,2020-05-04,2020-05-29,26,Retired
issue,incubator-datalab,OPEN,2020-05-04,2020-05-29,26,Retired
issue,incubator-datalab,OPEN,2020-05-04,2021-04-08,340,Retired
issue,incubator-datalab,OPEN,2020-05-04,2020-05-29,26,Retired
issue,incubator-datalab,OPEN,2020-05-04,2021-04-08,340,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-04-08,332,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-04-08,332,Retired
issue,incubator-datalab,OPEN,2020-05-12,2020-05-22,11,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-04-08,332,Retired
issue,incubator-datalab,OPEN,2020-05-12,2020-05-22,11,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-01-05,239,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-04-08,332,Retired
issue,incubator-datalab,OPEN,2020-05-12,2020-05-22,11,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-04-08,332,Retired
issue,incubator-datalab,OPEN,2020-05-12,2022-05-05,724,Retired
issue,incubator-datalab,OPEN,2020-05-12,2021-10-28,535,Retired
comment,incubator-datalab,NA,2021-10-28,2021-10-28,1,Retired
issue,incubator-datalab,OPEN,2020-05-12,2020-05-22,11,Retired
issue,incubator-datalab,OPEN,2020-05-12,2020-05-22,11,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-15,2,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-15,2,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-15,2,Retired
issue,incubator-datalab,OPEN,2020-05-14,2021-04-08,330,Retired
issue,incubator-datalab,OPEN,2020-05-14,2021-03-26,317,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-15,2,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-15,2,Retired
issue,incubator-datalab,OPEN,2020-05-14,2021-03-26,317,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-28,15,Retired
issue,incubator-datalab,OPEN,2020-05-14,2021-03-26,317,Retired
issue,incubator-datalab,OPEN,2020-05-14,2020-05-29,16,Retired
issue,incubator-datalab,OPEN,2020-08-05,2021-04-08,247,Retired
comment,incubator-datalab,NA,2020-08-05,2020-08-05,1,Retired
issue,incubator-datalab,OPEN,2020-09-30,2023-05-18,961,Retired
comment,incubator-datalab,NA,2020-10-01,2020-10-01,1,Retired
comment,incubator-datalab,NA,2021-01-11,2021-01-11,1,Retired
comment,incubator-datalab,NA,2023-05-18,2023-05-18,1,Retired
issue,incubator-datalab,OPEN,2020-11-17,2021-01-27,72,Retired
comment,incubator-datalab,NA,2021-01-27,2021-01-27,1,Retired
issue,incubator-datalab,OPEN,2021-01-19,2022-04-07,444,Retired
comment,incubator-datalab,NA,2022-04-07,2022-04-07,1,Retired
issue,incubator-datalab,OPEN,2021-01-19,2022-04-07,444,Retired
comment,incubator-datalab,NA,2022-04-07,2022-04-07,1,Retired
issue,incubator-datalab,OPEN,2021-01-19,2022-04-07,444,Retired
comment,incubator-datalab,NA,2022-04-07,2022-04-07,1,Retired
issue,incubator-datalab,CLOSED,2022-03-16,2022-03-16,1,Retired
comment,incubator-datalab,NA,2022-03-16,2022-03-16,1,Retired
issue,incubator-datalab,CLOSED,2023-02-22,2023-04-01,39,Retired
comment,incubator-datalab,NA,2023-02-23,2023-02-23,1,Retired
comment,incubator-datalab,NA,2023-03-24,2023-03-24,1,Retired
issue,incubator-datalab,CLOSED,2023-04-17,2023-07-03,78,Retired
comment,incubator-datalab,NA,2023-04-24,2023-04-24,1,Retired
comment,incubator-datalab,NA,2023-05-11,2023-05-11,1,Retired
issue,incubator-datalab,OPEN,2023-07-03,2023-07-03,1,Retired
