type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,incubator-milagro,CLOSED,2019-07-16,2019-08-13,29,Retired
comment,incubator-milagro,NA,2019-07-16,2019-07-16,1,Retired
comment,incubator-milagro,NA,2019-08-13,2019-08-13,1,Retired
issue,incubator-milagro,CLOSED,2019-09-10,2020-03-08,181,Retired
comment,incubator-milagro,NA,2019-09-12,2019-09-12,1,Retired
comment,incubator-milagro,NA,2019-09-13,2019-09-13,1,Retired
comment,incubator-milagro,NA,2019-10-10,2019-10-10,1,Retired
comment,incubator-milagro,NA,2019-10-10,2019-10-10,1,Retired
comment,incubator-milagro,NA,2020-03-05,2020-03-05,1,Retired
comment,incubator-milagro,NA,2020-03-08,2020-03-08,1,Retired
issue,incubator-milagro,CLOSED,2019-09-10,2020-03-05,178,Retired
comment,incubator-milagro,NA,2019-09-12,2019-09-12,1,Retired
comment,incubator-milagro,NA,2019-09-13,2019-09-13,1,Retired
comment,incubator-milagro,NA,2019-10-10,2019-10-10,1,Retired
comment,incubator-milagro,NA,2019-10-10,2019-10-10,1,Retired
comment,incubator-milagro,NA,2020-03-05,2020-03-05,1,Retired
comment,incubator-milagro,NA,2020-03-05,2020-03-05,1,Retired
issue,incubator-milagro,OPEN,2019-09-22,2019-12-19,89,Retired
comment,incubator-milagro,NA,2019-12-19,2019-12-19,1,Retired
issue,incubator-milagro,OPEN,2019-10-28,2019-10-28,1,Retired
issue,incubator-milagro,OPEN,2020-02-10,2020-02-10,1,Retired
issue,incubator-milagro,OPEN,2020-07-31,2020-07-31,1,Retired
issue,incubator-milagro,OPEN,2021-02-24,2021-02-24,1,Retired
issue,incubator-milagro,OPEN,2022-11-01,2022-11-01,1,Retired
issue,incubator-milagro,OPEN,2022-11-01,2022-11-01,1,Retired
issue,incubator-milagro,OPEN,2022-11-01,2022-11-01,1,Retired
issue,incubator-milagro,OPEN,2022-12-19,2022-12-19,1,Retired
issue,incubator-milagro,OPEN,2022-12-19,2022-12-19,1,Retired
issue,incubator-milagro,OPEN,2022-12-19,2022-12-19,1,Retired
issue,incubator-milagro,OPEN,2023-07-05,2023-07-18,14,Retired
comment,incubator-milagro,NA,2023-07-18,2023-07-18,1,Retired
comment,incubator-milagro,NA,2023-07-18,2023-07-18,1,Retired
