type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-07-14,100,Retired
comment,incubator-pagespeed-mod,NA,2015-07-14,2015-07-14,1,Retired
comment,incubator-pagespeed-mod,NA,2015-07-14,2015-07-14,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,CLOSED,2015-04-06,2015-04-06,1,Retired
issue,incubator-pagespeed-mod,OPEN,2015-04-06,2016-08-18,501,Retired
comment,incubator-pagespeed-mod,NA,2016-08-17,2016-08-17,1,Retired
