type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,incubator-weex,CLOSED,2018-08-03,2019-02-22,204,Retired
comment,incubator-weex,NA,2018-08-03,2018-08-03,1,Retired
comment,incubator-weex,NA,2018-08-03,2018-08-03,1,Retired
comment,incubator-weex,NA,2018-08-03,2018-08-03,1,Retired
comment,incubator-weex,NA,2018-08-03,2018-08-03,1,Retired
comment,incubator-weex,NA,2018-08-03,2018-08-03,1,Retired
comment,incubator-weex,NA,2019-02-19,2019-02-19,1,Retired
comment,incubator-weex,NA,2019-02-21,2019-02-21,1,Retired
comment,incubator-weex,NA,2019-02-22,2019-02-22,1,Retired
issue,incubator-weex,CLOSED,2018-08-03,2018-08-03,1,Retired
comment,incubator-weex,NA,2018-08-03,2018-08-03,1,Retired
issue,incubator-weex,CLOSED,2018-08-06,2018-08-06,1,Retired
comment,incubator-weex,NA,2018-08-06,2018-08-06,1,Retired
issue,incubator-weex,CLOSED,2018-08-07,2018-08-14,8,Retired
comment,incubator-weex,NA,2018-08-13,2018-08-13,1,Retired
comment,incubator-weex,NA,2018-08-14,2018-08-14,1,Retired
comment,incubator-weex,NA,2018-08-14,2018-08-14,1,Retired
comment,incubator-weex,NA,2018-08-14,2018-08-14,1,Retired
issue,incubator-weex,CLOSED,2018-08-13,2018-08-13,1,Retired
comment,incubator-weex,NA,2018-08-13,2018-08-13,1,Retired
issue,incubator-weex,CLOSED,2018-08-14,2018-08-17,4,Retired
comment,incubator-weex,NA,2018-08-14,2018-08-14,1,Retired
comment,incubator-weex,NA,2018-08-15,2018-08-15,1,Retired
issue,incubator-weex,CLOSED,2018-08-14,2018-08-15,2,Retired
issue,incubator-weex,CLOSED,2018-08-16,2019-01-11,149,Retired
comment,incubator-weex,NA,2018-08-16,2018-08-16,1,Retired
comment,incubator-weex,NA,2018-08-17,2018-08-17,1,Retired
comment,incubator-weex,NA,2018-12-12,2018-12-12,1,Retired
comment,incubator-weex,NA,2019-01-11,2019-01-11,1,Retired
comment,incubator-weex,NA,2019-01-11,2019-01-11,1,Retired
comment,incubator-weex,NA,2019-01-11,2019-01-11,1,Retired
issue,incubator-weex,CLOSED,2018-08-17,2019-02-28,196,Retired
comment,incubator-weex,NA,2018-08-17,2018-08-17,1,Retired
comment,incubator-weex,NA,2019-02-28,2019-02-28,1,Retired
issue,incubator-weex,CLOSED,2018-08-18,2019-01-25,161,Retired
comment,incubator-weex,NA,2018-12-20,2018-12-20,1,Retired
issue,incubator-weex,CLOSED,2018-08-21,2018-08-21,1,Retired
comment,incubator-weex,NA,2018-08-21,2018-08-21,1,Retired
issue,incubator-weex,CLOSED,2018-08-21,2018-09-05,16,Retired
comment,incubator-weex,NA,2018-08-23,2018-08-23,1,Retired
comment,incubator-weex,NA,2018-09-05,2018-09-05,1,Retired
issue,incubator-weex,CLOSED,2018-08-23,2018-09-03,12,Retired
comment,incubator-weex,NA,2018-09-03,2018-09-03,1,Retired
