type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,iotdb,CLOSED,2020-01-08,2021-08-31,602,Graduated
comment,iotdb,NA,2020-01-08,2020-01-08,1,Graduated
comment,iotdb,NA,2020-01-09,2020-01-09,1,Graduated
comment,iotdb,NA,2020-01-09,2020-01-09,1,Graduated
issue,iotdb,CLOSED,2020-01-08,2020-04-21,105,Graduated
comment,iotdb,NA,2020-04-21,2020-04-21,1,Graduated
issue,iotdb,CLOSED,2020-01-09,2020-01-09,1,Graduated
comment,iotdb,NA,2020-01-09,2020-01-09,1,Graduated
issue,iotdb,CLOSED,2020-01-15,2021-09-27,622,Graduated
comment,iotdb,NA,2020-01-16,2020-01-16,1,Graduated
comment,iotdb,NA,2020-01-17,2020-01-17,1,Graduated
comment,iotdb,NA,2020-01-17,2020-01-17,1,Graduated
comment,iotdb,NA,2020-01-19,2020-01-19,1,Graduated
comment,iotdb,NA,2020-04-12,2020-04-12,1,Graduated
comment,iotdb,NA,2020-04-26,2020-04-26,1,Graduated
comment,iotdb,NA,2020-09-21,2020-09-21,1,Graduated
comment,iotdb,NA,2020-09-21,2020-09-21,1,Graduated
comment,iotdb,NA,2020-11-04,2020-11-04,1,Graduated
comment,iotdb,NA,2021-01-04,2021-01-04,1,Graduated
comment,iotdb,NA,2021-01-04,2021-01-04,1,Graduated
comment,iotdb,NA,2021-01-10,2021-01-10,1,Graduated
comment,iotdb,NA,2021-01-19,2021-01-19,1,Graduated
comment,iotdb,NA,2021-01-21,2021-01-21,1,Graduated
comment,iotdb,NA,2021-01-28,2021-01-28,1,Graduated
comment,iotdb,NA,2021-03-19,2021-03-19,1,Graduated
comment,iotdb,NA,2021-05-26,2021-05-26,1,Graduated
comment,iotdb,NA,2021-05-27,2021-05-27,1,Graduated
comment,iotdb,NA,2021-05-28,2021-05-28,1,Graduated
comment,iotdb,NA,2021-05-31,2021-05-31,1,Graduated
comment,iotdb,NA,2021-05-31,2021-05-31,1,Graduated
comment,iotdb,NA,2021-06-01,2021-06-01,1,Graduated
comment,iotdb,NA,2021-07-14,2021-07-14,1,Graduated
issue,iotdb,CLOSED,2020-01-19,2020-01-20,2,Graduated
comment,iotdb,NA,2020-01-20,2020-01-20,1,Graduated
issue,iotdb,OPEN,2020-02-07,2022-09-22,959,Graduated
comment,iotdb,NA,2020-02-07,2020-02-07,1,Graduated
comment,iotdb,NA,2020-02-19,2020-02-19,1,Graduated
comment,iotdb,NA,2020-04-26,2020-04-26,1,Graduated
comment,iotdb,NA,2020-05-20,2020-05-20,1,Graduated
comment,iotdb,NA,2020-10-20,2020-10-20,1,Graduated
comment,iotdb,NA,2020-11-17,2020-11-17,1,Graduated
