type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,jgit,CLOSED,2023-12-01,2023-12-10,10,Graduated
comment,jgit,NA,2023-12-04,2023-12-04,1,Graduated
issue,jgit,CLOSED,2023-12-07,2024-02-26,82,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
issue,jgit,OPEN,2023-12-14,2024-02-26,75,Graduated
comment,jgit,NA,2023-12-14,2023-12-14,1,Graduated
comment,jgit,NA,2023-12-14,2023-12-14,1,Graduated
comment,jgit,NA,2023-12-14,2023-12-14,1,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
issue,jgit,CLOSED,2023-12-19,2024-01-29,42,Graduated
comment,jgit,NA,2024-01-10,2024-01-10,1,Graduated
comment,jgit,NA,2024-01-29,2024-01-29,1,Graduated
issue,jgit,CLOSED,2023-12-20,2024-01-10,22,Graduated
comment,jgit,NA,2024-01-10,2024-01-10,1,Graduated
issue,jgit,OPEN,2023-12-22,2024-08-29,252,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-03-04,2024-03-04,1,Graduated
issue,jgit,OPEN,2023-12-23,2024-11-17,331,Graduated
comment,jgit,NA,2023-12-27,2023-12-27,1,Graduated
comment,jgit,NA,2023-12-27,2023-12-27,1,Graduated
comment,jgit,NA,2024-11-15,2024-11-15,1,Graduated
comment,jgit,NA,2024-11-15,2024-11-15,1,Graduated
comment,jgit,NA,2024-11-15,2024-11-15,1,Graduated
comment,jgit,NA,2024-11-15,2024-11-15,1,Graduated
comment,jgit,NA,2024-11-17,2024-11-17,1,Graduated
issue,jgit,CLOSED,2023-12-27,2023-12-29,3,Graduated
comment,jgit,NA,2023-12-27,2023-12-27,1,Graduated
comment,jgit,NA,2023-12-27,2023-12-27,1,Graduated
comment,jgit,NA,2023-12-27,2023-12-27,1,Graduated
comment,jgit,NA,2023-12-27,2023-12-27,1,Graduated
comment,jgit,NA,2023-12-29,2023-12-29,1,Graduated
issue,jgit,OPEN,2024-01-02,2024-08-14,226,Graduated
comment,jgit,NA,2024-01-02,2024-01-02,1,Graduated
comment,jgit,NA,2024-01-02,2024-01-02,1,Graduated
comment,jgit,NA,2024-08-14,2024-08-14,1,Graduated
issue,jgit,OPEN,2024-01-04,2024-08-30,240,Graduated
comment,jgit,NA,2024-01-05,2024-01-05,1,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
comment,jgit,NA,2024-08-30,2024-08-30,1,Graduated
issue,jgit,CLOSED,2024-01-10,2024-08-29,233,Graduated
comment,jgit,NA,2024-01-10,2024-01-10,1,Graduated
issue,jgit,CLOSED,2024-01-11,2024-04-26,107,Graduated
comment,jgit,NA,2024-01-12,2024-01-12,1,Graduated
comment,jgit,NA,2024-01-16,2024-01-16,1,Graduated
comment,jgit,NA,2024-01-24,2024-01-24,1,Graduated
comment,jgit,NA,2024-01-24,2024-01-24,1,Graduated
comment,jgit,NA,2024-02-04,2024-02-04,1,Graduated
comment,jgit,NA,2024-02-14,2024-02-14,1,Graduated
comment,jgit,NA,2024-02-22,2024-02-22,1,Graduated
comment,jgit,NA,2024-02-22,2024-02-22,1,Graduated
comment,jgit,NA,2024-04-25,2024-04-25,1,Graduated
comment,jgit,NA,2024-04-25,2024-04-25,1,Graduated
issue,jgit,CLOSED,2024-01-12,2024-02-21,41,Graduated
comment,jgit,NA,2024-02-21,2024-02-21,1,Graduated
issue,jgit,CLOSED,2024-01-12,2024-01-22,11,Graduated
comment,jgit,NA,2024-01-18,2024-01-18,1,Graduated
comment,jgit,NA,2024-01-19,2024-01-19,1,Graduated
comment,jgit,NA,2024-01-20,2024-01-20,1,Graduated
issue,jgit,CLOSED,2024-01-15,2024-07-25,193,Graduated
comment,jgit,NA,2024-01-15,2024-01-15,1,Graduated
comment,jgit,NA,2024-01-23,2024-01-23,1,Graduated
comment,jgit,NA,2024-02-01,2024-02-01,1,Graduated
comment,jgit,NA,2024-02-06,2024-02-06,1,Graduated
comment,jgit,NA,2024-02-06,2024-02-06,1,Graduated
comment,jgit,NA,2024-03-06,2024-03-06,1,Graduated
comment,jgit,NA,2024-03-06,2024-03-06,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-03-09,2024-03-09,1,Graduated
comment,jgit,NA,2024-04-12,2024-04-12,1,Graduated
comment,jgit,NA,2024-04-13,2024-04-13,1,Graduated
comment,jgit,NA,2024-04-15,2024-04-15,1,Graduated
comment,jgit,NA,2024-04-15,2024-04-15,1,Graduated
comment,jgit,NA,2024-04-25,2024-04-25,1,Graduated
comment,jgit,NA,2024-06-17,2024-06-17,1,Graduated
comment,jgit,NA,2024-07-23,2024-07-23,1,Graduated
comment,jgit,NA,2024-07-25,2024-07-25,1,Graduated
comment,jgit,NA,2024-07-25,2024-07-25,1,Graduated
issue,jgit,CLOSED,2024-01-18,2024-01-25,8,Graduated
comment,jgit,NA,2024-01-25,2024-01-25,1,Graduated
comment,jgit,NA,2024-01-25,2024-01-25,1,Graduated
comment,jgit,NA,2024-01-25,2024-01-25,1,Graduated
issue,jgit,CLOSED,2024-02-03,2024-08-30,210,Graduated
comment,jgit,NA,2024-04-08,2024-04-08,1,Graduated
comment,jgit,NA,2024-05-05,2024-05-05,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
comment,jgit,NA,2024-08-23,2024-08-23,1,Graduated
comment,jgit,NA,2024-08-23,2024-08-23,1,Graduated
issue,jgit,OPEN,2024-02-09,2024-08-15,189,Graduated
comment,jgit,NA,2024-07-28,2024-07-28,1,Graduated
comment,jgit,NA,2024-07-30,2024-07-30,1,Graduated
comment,jgit,NA,2024-08-15,2024-08-15,1,Graduated
issue,jgit,CLOSED,2024-02-12,2024-08-29,200,Graduated
comment,jgit,NA,2024-02-13,2024-02-13,1,Graduated
comment,jgit,NA,2024-02-13,2024-02-13,1,Graduated
issue,jgit,CLOSED,2024-02-14,2024-03-22,38,Graduated
comment,jgit,NA,2024-02-14,2024-02-14,1,Graduated
comment,jgit,NA,2024-02-14,2024-02-14,1,Graduated
comment,jgit,NA,2024-03-22,2024-03-22,1,Graduated
comment,jgit,NA,2024-03-22,2024-03-22,1,Graduated
issue,jgit,OPEN,2024-02-16,2024-02-27,12,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-20,2024-02-20,1,Graduated
comment,jgit,NA,2024-02-20,2024-02-20,1,Graduated
comment,jgit,NA,2024-02-20,2024-02-20,1,Graduated
comment,jgit,NA,2024-02-20,2024-02-20,1,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
issue,jgit,CLOSED,2024-02-19,2024-02-23,5,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-19,2024-02-19,1,Graduated
comment,jgit,NA,2024-02-23,2024-02-23,1,Graduated
comment,jgit,NA,2024-02-23,2024-02-23,1,Graduated
comment,jgit,NA,2024-02-23,2024-02-23,1,Graduated
issue,jgit,OPEN,2024-02-22,2024-10-30,252,Graduated
comment,jgit,NA,2024-02-29,2024-02-29,1,Graduated
comment,jgit,NA,2024-10-30,2024-10-30,1,Graduated
issue,jgit,CLOSED,2024-02-26,2024-04-09,44,Graduated
comment,jgit,NA,2024-03-18,2024-03-18,1,Graduated
comment,jgit,NA,2024-04-09,2024-04-09,1,Graduated
issue,jgit,CLOSED,2024-02-26,2024-02-26,1,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
issue,jgit,OPEN,2024-02-26,2024-03-12,16,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
comment,jgit,NA,2024-02-28,2024-02-28,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-12,2024-03-12,1,Graduated
issue,jgit,CLOSED,2024-02-26,2024-02-26,1,Graduated
comment,jgit,NA,2024-02-26,2024-02-26,1,Graduated
issue,jgit,CLOSED,2024-02-27,2024-02-28,2,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-28,2024-02-28,1,Graduated
issue,jgit,CLOSED,2024-02-27,2024-02-27,1,Graduated
comment,jgit,NA,2024-02-27,2024-02-27,1,Graduated
issue,jgit,CLOSED,2024-02-28,2024-08-30,185,Graduated
comment,jgit,NA,2024-03-04,2024-03-04,1,Graduated
comment,jgit,NA,2024-03-04,2024-03-04,1,Graduated
comment,jgit,NA,2024-03-04,2024-03-04,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
issue,jgit,CLOSED,2024-03-07,2024-03-08,2,Graduated
comment,jgit,NA,2024-03-07,2024-03-07,1,Graduated
comment,jgit,NA,2024-03-07,2024-03-07,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
issue,jgit,CLOSED,2024-03-07,2024-03-29,23,Graduated
comment,jgit,NA,2024-03-07,2024-03-07,1,Graduated
issue,jgit,CLOSED,2024-03-08,2024-05-21,75,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-03-08,2024-03-08,1,Graduated
comment,jgit,NA,2024-03-09,2024-03-09,1,Graduated
comment,jgit,NA,2024-03-10,2024-03-10,1,Graduated
comment,jgit,NA,2024-03-10,2024-03-10,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-11,2024-03-11,1,Graduated
comment,jgit,NA,2024-03-18,2024-03-18,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
issue,jgit,CLOSED,2024-03-10,2024-04-09,31,Graduated
issue,jgit,OPEN,2024-03-15,2024-03-15,1,Graduated
issue,jgit,CLOSED,2024-03-20,2024-03-21,2,Graduated
comment,jgit,NA,2024-03-21,2024-03-21,1,Graduated
issue,jgit,CLOSED,2024-03-20,2024-08-29,163,Graduated
comment,jgit,NA,2024-04-19,2024-04-19,1,Graduated
comment,jgit,NA,2024-04-22,2024-04-22,1,Graduated
comment,jgit,NA,2024-04-22,2024-04-22,1,Graduated
comment,jgit,NA,2024-05-06,2024-05-06,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
issue,jgit,OPEN,2024-03-26,2024-03-26,1,Graduated
issue,jgit,CLOSED,2024-03-28,2024-10-30,217,Graduated
comment,jgit,NA,2024-07-15,2024-07-15,1,Graduated
comment,jgit,NA,2024-08-12,2024-08-12,1,Graduated
comment,jgit,NA,2024-10-08,2024-10-08,1,Graduated
comment,jgit,NA,2024-10-30,2024-10-30,1,Graduated
issue,jgit,CLOSED,2024-04-08,2024-04-09,2,Graduated
comment,jgit,NA,2024-04-08,2024-04-08,1,Graduated
issue,jgit,CLOSED,2024-04-10,2024-05-27,48,Graduated
comment,jgit,NA,2024-05-05,2024-05-05,1,Graduated
comment,jgit,NA,2024-05-27,2024-05-27,1,Graduated
issue,jgit,CLOSED,2024-04-11,2024-09-26,169,Graduated
comment,jgit,NA,2024-04-11,2024-04-11,1,Graduated
comment,jgit,NA,2024-09-23,2024-09-23,1,Graduated
comment,jgit,NA,2024-09-24,2024-09-24,1,Graduated
comment,jgit,NA,2024-09-25,2024-09-25,1,Graduated
comment,jgit,NA,2024-09-25,2024-09-25,1,Graduated
comment,jgit,NA,2024-09-26,2024-09-26,1,Graduated
issue,jgit,OPEN,2024-04-15,2024-04-18,4,Graduated
comment,jgit,NA,2024-04-15,2024-04-15,1,Graduated
comment,jgit,NA,2024-04-18,2024-04-18,1,Graduated
issue,jgit,CLOSED,2024-04-21,2024-04-25,5,Graduated
comment,jgit,NA,2024-04-25,2024-04-25,1,Graduated
issue,jgit,CLOSED,2024-04-26,2024-08-30,127,Graduated
comment,jgit,NA,2024-04-26,2024-04-26,1,Graduated
issue,jgit,CLOSED,2024-05-05,2024-05-14,10,Graduated
comment,jgit,NA,2024-05-05,2024-05-05,1,Graduated
comment,jgit,NA,2024-05-13,2024-05-13,1,Graduated
issue,jgit,OPEN,2024-05-15,2024-05-15,1,Graduated
issue,jgit,CLOSED,2024-05-16,2024-05-21,6,Graduated
comment,jgit,NA,2024-05-20,2024-05-20,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
comment,jgit,NA,2024-05-21,2024-05-21,1,Graduated
issue,jgit,OPEN,2024-05-24,2024-08-29,98,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
issue,jgit,OPEN,2024-05-27,2024-06-03,8,Graduated
comment,jgit,NA,2024-05-30,2024-05-30,1,Graduated
comment,jgit,NA,2024-05-30,2024-05-30,1,Graduated
comment,jgit,NA,2024-05-30,2024-05-30,1,Graduated
comment,jgit,NA,2024-06-03,2024-06-03,1,Graduated
comment,jgit,NA,2024-06-03,2024-06-03,1,Graduated
issue,jgit,OPEN,2024-05-29,2024-08-30,94,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
comment,jgit,NA,2024-08-29,2024-08-29,1,Graduated
comment,jgit,NA,2024-08-30,2024-08-30,1,Graduated
comment,jgit,NA,2024-08-30,2024-08-30,1,Graduated
issue,jgit,OPEN,2024-05-30,2024-06-14,16,Graduated
comment,jgit,NA,2024-05-30,2024-05-30,1,Graduated
comment,jgit,NA,2024-05-30,2024-05-30,1,Graduated
comment,jgit,NA,2024-05-30,2024-05-30,1,Graduated
