type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,keyple-java,CLOSED,2018-11-19,2019-07-25,249,Graduated
issue,keyple-java,CLOSED,2019-03-15,2019-04-11,28,Graduated
issue,keyple-java,CLOSED,2019-04-12,2019-04-17,6,Graduated
comment,keyple-java,NA,2019-04-17,2019-04-17,1,Graduated
issue,keyple-java,CLOSED,2019-04-15,2019-07-25,102,Graduated
comment,keyple-java,NA,2019-04-15,2019-04-15,1,Graduated
comment,keyple-java,NA,2019-07-25,2019-07-25,1,Graduated
issue,keyple-java,CLOSED,2019-04-16,2019-04-17,2,Graduated
issue,keyple-java,CLOSED,2019-04-16,2019-04-17,2,Graduated
issue,keyple-java,CLOSED,2019-04-16,2019-04-17,2,Graduated
issue,keyple-java,CLOSED,2019-04-17,2019-04-18,2,Graduated
issue,keyple-java,CLOSED,2019-04-17,2019-11-27,225,Graduated
comment,keyple-java,NA,2019-11-27,2019-11-27,1,Graduated
comment,keyple-java,NA,2019-11-27,2019-11-27,1,Graduated
issue,keyple-java,CLOSED,2019-04-29,2019-05-02,4,Graduated
issue,keyple-java,CLOSED,2019-05-02,2019-05-03,2,Graduated
issue,keyple-java,CLOSED,2019-05-02,2019-05-03,2,Graduated
issue,keyple-java,CLOSED,2019-05-02,2019-05-03,2,Graduated
issue,keyple-java,CLOSED,2019-05-02,2019-11-06,189,Graduated
comment,keyple-java,NA,2019-05-02,2019-05-02,1,Graduated
issue,keyple-java,CLOSED,2019-05-02,2019-05-03,2,Graduated
issue,keyple-java,CLOSED,2019-05-03,2019-05-03,1,Graduated
issue,keyple-java,CLOSED,2019-05-03,2019-05-03,1,Graduated
issue,keyple-java,CLOSED,2019-05-03,2019-05-03,1,Graduated
issue,keyple-java,CLOSED,2019-05-07,2019-05-20,14,Graduated
issue,keyple-java,CLOSED,2019-05-09,2019-05-14,6,Graduated
issue,keyple-java,CLOSED,2019-05-09,2019-05-14,6,Graduated
issue,keyple-java,CLOSED,2019-05-13,2020-05-18,372,Graduated
issue,keyple-java,CLOSED,2019-05-14,2019-11-05,176,Graduated
issue,keyple-java,CLOSED,2019-05-15,2019-05-17,3,Graduated
issue,keyple-java,CLOSED,2019-05-15,2019-09-09,118,Graduated
comment,keyple-java,NA,2019-09-09,2019-09-09,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2020-05-19,371,Graduated
comment,keyple-java,NA,2020-05-19,2020-05-19,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2019-05-17,3,Graduated
comment,keyple-java,NA,2019-05-16,2019-05-16,1,Graduated
comment,keyple-java,NA,2019-05-17,2019-05-17,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2020-06-22,405,Graduated
comment,keyple-java,NA,2020-06-22,2020-06-22,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2019-05-20,6,Graduated
issue,keyple-java,CLOSED,2019-05-15,2020-05-19,371,Graduated
comment,keyple-java,NA,2020-05-19,2020-05-19,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2019-05-20,6,Graduated
comment,keyple-java,NA,2019-05-17,2019-05-17,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2020-01-13,244,Graduated
comment,keyple-java,NA,2020-01-13,2020-01-13,1,Graduated
issue,keyple-java,CLOSED,2019-05-15,2019-05-16,2,Graduated
issue,keyple-java,CLOSED,2019-05-16,2022-08-29,1202,Graduated
issue,keyple-java,CLOSED,2019-05-16,2019-05-20,5,Graduated
issue,keyple-java,CLOSED,2019-05-17,2020-04-30,350,Graduated
issue,keyple-java,CLOSED,2019-05-17,2019-11-06,174,Graduated
comment,keyple-java,NA,2019-11-06,2019-11-06,1,Graduated
issue,keyple-java,CLOSED,2019-05-20,2019-07-02,44,Graduated
issue,keyple-java,CLOSED,2019-05-21,2020-05-18,364,Graduated
comment,keyple-java,NA,2020-05-18,2020-05-18,1,Graduated
issue,keyple-java,CLOSED,2019-05-24,2019-06-14,22,Graduated
issue,keyple-java,CLOSED,2019-05-24,2020-05-18,361,Graduated
comment,keyple-java,NA,2020-05-18,2020-05-18,1,Graduated
issue,keyple-java,CLOSED,2019-05-24,2020-05-18,361,Graduated
comment,keyple-java,NA,2020-05-18,2020-05-18,1,Graduated
issue,keyple-java,CLOSED,2019-06-04,2020-01-13,224,Graduated
comment,keyple-java,NA,2019-07-10,2019-07-10,1,Graduated
comment,keyple-java,NA,2020-01-13,2020-01-13,1,Graduated
issue,keyple-java,CLOSED,2019-06-04,2019-11-20,170,Graduated
comment,keyple-java,NA,2019-11-19,2019-11-19,1,Graduated
comment,keyple-java,NA,2019-11-20,2019-11-20,1,Graduated
comment,keyple-java,NA,2019-11-20,2019-11-20,1,Graduated
issue,keyple-java,CLOSED,2019-06-04,2019-11-05,155,Graduated
comment,keyple-java,NA,2019-06-04,2019-06-04,1,Graduated
comment,keyple-java,NA,2019-09-17,2019-09-17,1,Graduated
issue,keyple-java,CLOSED,2019-06-04,2019-07-02,29,Graduated
issue,keyple-java,CLOSED,2019-06-05,2020-05-19,350,Graduated
comment,keyple-java,NA,2020-05-19,2020-05-19,1,Graduated
issue,keyple-java,CLOSED,2019-06-07,2020-05-18,347,Graduated
comment,keyple-java,NA,2019-06-24,2019-06-24,1,Graduated
issue,keyple-java,CLOSED,2019-06-18,2019-07-10,23,Graduated
issue,keyple-java,CLOSED,2019-06-18,2020-05-19,337,Graduated
comment,keyple-java,NA,2020-05-19,2020-05-19,1,Graduated
issue,keyple-java,CLOSED,2019-06-19,2019-11-12,147,Graduated
issue,keyple-java,CLOSED,2019-06-24,2019-07-02,9,Graduated
comment,keyple-java,NA,2019-06-24,2019-06-24,1,Graduated
issue,keyple-java,CLOSED,2019-06-28,2019-11-12,138,Graduated
issue,keyple-java,CLOSED,2019-06-28,2019-07-02,5,Graduated
