type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,kura,CLOSED,2014-05-22,2014-05-23,2,Graduated
comment,kura,NA,2014-05-22,2014-05-22,1,Graduated
comment,kura,NA,2014-05-23,2014-05-23,1,Graduated
issue,kura,CLOSED,2014-05-22,2014-05-23,2,Graduated
comment,kura,NA,2014-05-22,2014-05-22,1,Graduated
comment,kura,NA,2014-05-23,2014-05-23,1,Graduated
comment,kura,NA,2014-05-23,2014-05-23,1,Graduated
issue,kura,CLOSED,2014-05-29,2014-05-29,1,Graduated
comment,kura,NA,2014-05-29,2014-05-29,1,Graduated
comment,kura,NA,2014-05-29,2014-05-29,1,Graduated
comment,kura,NA,2014-05-29,2014-05-29,1,Graduated
comment,kura,NA,2014-05-29,2014-05-29,1,Graduated
issue,kura,CLOSED,2014-06-04,2014-06-11,8,Graduated
comment,kura,NA,2014-06-04,2014-06-04,1,Graduated
comment,kura,NA,2014-06-11,2014-06-11,1,Graduated
issue,kura,CLOSED,2014-06-04,2014-06-11,8,Graduated
comment,kura,NA,2014-06-04,2014-06-04,1,Graduated
comment,kura,NA,2014-06-11,2014-06-11,1,Graduated
issue,kura,CLOSED,2014-06-04,2014-06-10,7,Graduated
comment,kura,NA,2014-06-04,2014-06-04,1,Graduated
comment,kura,NA,2014-06-10,2014-06-10,1,Graduated
issue,kura,CLOSED,2014-06-11,2014-07-31,51,Graduated
comment,kura,NA,2014-06-11,2014-06-11,1,Graduated
comment,kura,NA,2014-06-12,2014-06-12,1,Graduated
comment,kura,NA,2014-06-12,2014-06-12,1,Graduated
comment,kura,NA,2014-06-13,2014-06-13,1,Graduated
comment,kura,NA,2014-06-13,2014-06-13,1,Graduated
issue,kura,CLOSED,2014-06-16,2014-07-31,46,Graduated
comment,kura,NA,2014-06-19,2014-06-19,1,Graduated
issue,kura,CLOSED,2014-07-17,2014-07-17,1,Graduated
comment,kura,NA,2014-07-17,2014-07-17,1,Graduated
comment,kura,NA,2014-07-17,2014-07-17,1,Graduated
comment,kura,NA,2014-07-17,2014-07-17,1,Graduated
comment,kura,NA,2014-07-17,2014-07-17,1,Graduated
comment,kura,NA,2014-07-17,2014-07-17,1,Graduated
issue,kura,CLOSED,2014-07-17,2014-07-31,15,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
comment,kura,NA,2014-07-31,2014-07-31,1,Graduated
issue,kura,CLOSED,2014-07-18,2014-07-24,7,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
comment,kura,NA,2014-07-18,2014-07-18,1,Graduated
issue,kura,CLOSED,2015-12-21,2016-02-23,65,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
issue,kura,CLOSED,2016-01-06,2018-04-27,843,Graduated
comment,kura,NA,2016-01-06,2016-01-06,1,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-10-21,290,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2016-03-21,2016-03-21,1,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-10-21,2016-10-21,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-05-02,118,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-08-03,211,Graduated
comment,kura,NA,2016-07-15,2016-07-15,1,Graduated
comment,kura,NA,2016-07-28,2016-07-28,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-01-14,9,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-02-23,49,Graduated
comment,kura,NA,2016-02-05,2016-02-05,1,Graduated
comment,kura,NA,2016-02-05,2016-02-05,1,Graduated
comment,kura,NA,2016-02-05,2016-02-05,1,Graduated
comment,kura,NA,2016-02-05,2016-02-05,1,Graduated
comment,kura,NA,2016-02-23,2016-02-23,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-05-24,140,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2016-05-17,2016-05-17,1,Graduated
comment,kura,NA,2016-05-17,2016-05-17,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-01-18,13,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2016-01-18,2016-01-18,1,Graduated
comment,kura,NA,2016-01-18,2016-01-18,1,Graduated
comment,kura,NA,2016-01-18,2016-01-18,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-01-14,9,Graduated
comment,kura,NA,2016-01-08,2016-01-08,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-02-23,49,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2016-01-12,2016-01-12,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-01-07,2,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-02-23,49,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
issue,kura,CLOSED,2016-01-06,2023-11-27,2883,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
comment,kura,NA,2023-11-13,2023-11-13,1,Graduated
comment,kura,NA,2023-11-27,2023-11-27,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-02-23,49,Graduated
comment,kura,NA,2016-01-07,2016-01-07,1,Graduated
issue,kura,CLOSED,2016-01-06,2016-08-03,211,Graduated
comment,kura,NA,2016-06-06,2016-06-06,1,Graduated
issue,kura,CLOSED,2016-01-18,2016-07-15,180,Graduated
comment,kura,NA,2016-01-18,2016-01-18,1,Graduated
comment,kura,NA,2016-07-15,2016-07-15,1,Graduated
issue,kura,CLOSED,2016-01-27,2016-02-23,28,Graduated
comment,kura,NA,2016-02-23,2016-02-23,1,Graduated
issue,kura,CLOSED,2016-02-23,2016-02-23,1,Graduated
comment,kura,NA,2016-02-23,2016-02-23,1,Graduated
issue,kura,CLOSED,2016-02-25,2017-09-19,573,Graduated
comment,kura,NA,2017-02-28,2017-02-28,1,Graduated
comment,kura,NA,2017-02-28,2017-02-28,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-07-18,2017-07-18,1,Graduated
issue,kura,CLOSED,2016-03-13,2017-01-09,303,Graduated
comment,kura,NA,2016-03-14,2016-03-14,1,Graduated
comment,kura,NA,2016-03-15,2016-03-15,1,Graduated
comment,kura,NA,2016-04-08,2016-04-08,1,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-05-02,2016-05-02,1,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
comment,kura,NA,2017-01-09,2017-01-09,1,Graduated
comment,kura,NA,2017-01-09,2017-01-09,1,Graduated
issue,kura,CLOSED,2016-03-15,2017-06-22,465,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
comment,kura,NA,2017-01-09,2017-01-09,1,Graduated
comment,kura,NA,2017-01-09,2017-01-09,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-06-22,2017-06-22,1,Graduated
issue,kura,CLOSED,2016-03-31,2016-08-19,142,Graduated
comment,kura,NA,2016-04-02,2016-04-02,1,Graduated
comment,kura,NA,2016-04-02,2016-04-02,1,Graduated
comment,kura,NA,2016-04-02,2016-04-02,1,Graduated
comment,kura,NA,2016-04-02,2016-04-02,1,Graduated
comment,kura,NA,2016-04-04,2016-04-04,1,Graduated
comment,kura,NA,2016-04-04,2016-04-04,1,Graduated
comment,kura,NA,2016-04-05,2016-04-05,1,Graduated
comment,kura,NA,2016-04-05,2016-04-05,1,Graduated
comment,kura,NA,2016-04-15,2016-04-15,1,Graduated
comment,kura,NA,2016-05-02,2016-05-02,1,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-06-06,2016-06-06,1,Graduated
comment,kura,NA,2016-07-22,2016-07-22,1,Graduated
comment,kura,NA,2016-08-19,2016-08-19,1,Graduated
issue,kura,CLOSED,2016-04-08,2016-05-16,39,Graduated
issue,kura,CLOSED,2016-04-08,2016-04-20,13,Graduated
comment,kura,NA,2016-04-08,2016-04-08,1,Graduated
comment,kura,NA,2016-04-08,2016-04-08,1,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-18,2016-04-18,1,Graduated
comment,kura,NA,2016-04-20,2016-04-20,1,Graduated
issue,kura,CLOSED,2016-04-11,2016-04-20,10,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-14,2016-04-14,1,Graduated
comment,kura,NA,2016-04-20,2016-04-20,1,Graduated
issue,kura,CLOSED,2016-04-12,2016-04-21,10,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
issue,kura,CLOSED,2016-04-13,2016-04-25,13,Graduated
comment,kura,NA,2016-04-13,2016-04-13,1,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
comment,kura,NA,2016-04-22,2016-04-22,1,Graduated
comment,kura,NA,2016-04-22,2016-04-22,1,Graduated
comment,kura,NA,2016-04-22,2016-04-22,1,Graduated
comment,kura,NA,2016-04-22,2016-04-22,1,Graduated
comment,kura,NA,2016-04-22,2016-04-22,1,Graduated
comment,kura,NA,2016-04-25,2016-04-25,1,Graduated
comment,kura,NA,2016-04-25,2016-04-25,1,Graduated
issue,kura,CLOSED,2016-04-20,2016-09-09,143,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-09-01,2016-09-01,1,Graduated
comment,kura,NA,2016-09-01,2016-09-01,1,Graduated
comment,kura,NA,2016-09-05,2016-09-05,1,Graduated
comment,kura,NA,2016-09-09,2016-09-09,1,Graduated
comment,kura,NA,2016-09-09,2016-09-09,1,Graduated
issue,kura,CLOSED,2016-04-20,2016-05-17,28,Graduated
comment,kura,NA,2016-05-09,2016-05-09,1,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
comment,kura,NA,2016-05-17,2016-05-17,1,Graduated
issue,kura,CLOSED,2016-04-20,2016-04-21,2,Graduated
comment,kura,NA,2016-04-21,2016-04-21,1,Graduated
issue,kura,CLOSED,2016-04-21,2017-01-09,264,Graduated
comment,kura,NA,2016-10-21,2016-10-21,1,Graduated
comment,kura,NA,2016-10-21,2016-10-21,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
issue,kura,CLOSED,2016-04-21,2016-08-01,103,Graduated
comment,kura,NA,2016-04-27,2016-04-27,1,Graduated
comment,kura,NA,2016-04-27,2016-04-27,1,Graduated
comment,kura,NA,2016-04-27,2016-04-27,1,Graduated
comment,kura,NA,2016-04-27,2016-04-27,1,Graduated
comment,kura,NA,2016-05-09,2016-05-09,1,Graduated
comment,kura,NA,2016-05-10,2016-05-10,1,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-07-25,2016-07-25,1,Graduated
comment,kura,NA,2016-08-01,2016-08-01,1,Graduated
issue,kura,CLOSED,2016-04-22,2017-02-28,313,Graduated
comment,kura,NA,2017-02-28,2017-02-28,1,Graduated
issue,kura,CLOSED,2016-04-22,2016-04-25,4,Graduated
comment,kura,NA,2016-04-25,2016-04-25,1,Graduated
issue,kura,CLOSED,2016-04-25,2016-05-11,17,Graduated
comment,kura,NA,2016-05-11,2016-05-11,1,Graduated
issue,kura,CLOSED,2016-04-25,2016-05-20,26,Graduated
comment,kura,NA,2016-05-18,2016-05-18,1,Graduated
comment,kura,NA,2016-05-18,2016-05-18,1,Graduated
comment,kura,NA,2016-05-20,2016-05-20,1,Graduated
issue,kura,CLOSED,2016-04-26,2016-07-15,81,Graduated
comment,kura,NA,2016-04-26,2016-04-26,1,Graduated
comment,kura,NA,2016-05-03,2016-05-03,1,Graduated
comment,kura,NA,2016-07-15,2016-07-15,1,Graduated
issue,kura,CLOSED,2016-04-27,2016-05-13,17,Graduated
comment,kura,NA,2016-05-13,2016-05-13,1,Graduated
issue,kura,CLOSED,2016-04-27,2017-02-28,308,Graduated
comment,kura,NA,2017-02-28,2017-02-28,1,Graduated
issue,kura,CLOSED,2016-04-28,2019-02-19,1028,Graduated
comment,kura,NA,2016-08-19,2016-08-19,1,Graduated
comment,kura,NA,2016-08-19,2016-08-19,1,Graduated
comment,kura,NA,2016-10-18,2016-10-18,1,Graduated
comment,kura,NA,2016-10-18,2016-10-18,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
comment,kura,NA,2017-01-09,2017-01-09,1,Graduated
comment,kura,NA,2019-02-19,2019-02-19,1,Graduated
issue,kura,CLOSED,2016-04-28,2016-05-03,6,Graduated
comment,kura,NA,2016-05-03,2016-05-03,1,Graduated
issue,kura,CLOSED,2016-04-28,2017-03-22,329,Graduated
comment,kura,NA,2016-12-21,2016-12-21,1,Graduated
comment,kura,NA,2016-12-21,2016-12-21,1,Graduated
issue,kura,CLOSED,2016-04-28,2016-11-11,198,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-08-19,2016-08-19,1,Graduated
comment,kura,NA,2016-11-02,2016-11-02,1,Graduated
comment,kura,NA,2016-11-11,2016-11-11,1,Graduated
issue,kura,CLOSED,2016-04-29,2017-06-12,410,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-05-30,32,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-05-02,4,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
issue,kura,CLOSED,2016-04-29,2023-11-27,2769,Graduated
comment,kura,NA,2017-02-28,2017-02-28,1,Graduated
comment,kura,NA,2017-02-28,2017-02-28,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-06-09,2017-06-09,1,Graduated
comment,kura,NA,2017-06-12,2017-06-12,1,Graduated
comment,kura,NA,2023-11-13,2023-11-13,1,Graduated
comment,kura,NA,2023-11-27,2023-11-27,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-05-17,19,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
issue,kura,CLOSED,2016-04-29,2017-03-27,333,Graduated
comment,kura,NA,2017-03-27,2017-03-27,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-05-17,19,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
issue,kura,CLOSED,2016-04-29,2023-11-27,2769,Graduated
comment,kura,NA,2016-12-21,2016-12-21,1,Graduated
comment,kura,NA,2023-11-13,2023-11-13,1,Graduated
comment,kura,NA,2023-11-27,2023-11-27,1,Graduated
issue,kura,CLOSED,2016-04-29,2017-03-24,330,Graduated
comment,kura,NA,2017-03-24,2017-03-24,1,Graduated
issue,kura,CLOSED,2016-04-29,2023-11-27,2769,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2023-11-13,2023-11-13,1,Graduated
comment,kura,NA,2023-11-27,2023-11-27,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-09-27,152,Graduated
comment,kura,NA,2016-05-03,2016-05-03,1,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
comment,kura,NA,2016-05-16,2016-05-16,1,Graduated
comment,kura,NA,2016-05-30,2016-05-30,1,Graduated
comment,kura,NA,2016-06-06,2016-06-06,1,Graduated
comment,kura,NA,2016-07-25,2016-07-25,1,Graduated
comment,kura,NA,2016-08-02,2016-08-02,1,Graduated
comment,kura,NA,2016-08-02,2016-08-02,1,Graduated
comment,kura,NA,2016-08-19,2016-08-19,1,Graduated
comment,kura,NA,2016-08-22,2016-08-22,1,Graduated
comment,kura,NA,2016-09-27,2016-09-27,1,Graduated
issue,kura,CLOSED,2016-04-29,2023-11-27,2769,Graduated
comment,kura,NA,2023-11-13,2023-11-13,1,Graduated
comment,kura,NA,2023-11-27,2023-11-27,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-07-26,89,Graduated
comment,kura,NA,2016-05-24,2016-05-24,1,Graduated
comment,kura,NA,2016-07-15,2016-07-15,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-09-05,130,Graduated
comment,kura,NA,2016-09-05,2016-09-05,1,Graduated
issue,kura,CLOSED,2016-04-29,2017-01-09,256,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
comment,kura,NA,2017-01-09,2017-01-09,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-10-21,176,Graduated
comment,kura,NA,2016-05-03,2016-05-03,1,Graduated
comment,kura,NA,2016-06-06,2016-06-06,1,Graduated
comment,kura,NA,2016-07-11,2016-07-11,1,Graduated
issue,kura,CLOSED,2016-04-29,2017-09-01,491,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2016-11-02,2016-11-02,1,Graduated
comment,kura,NA,2016-11-02,2016-11-02,1,Graduated
comment,kura,NA,2017-01-05,2017-01-05,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-05-09,11,Graduated
comment,kura,NA,2016-04-29,2016-04-29,1,Graduated
comment,kura,NA,2016-05-09,2016-05-09,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-09-09,134,Graduated
comment,kura,NA,2016-09-09,2016-09-09,1,Graduated
issue,kura,CLOSED,2016-04-29,2016-10-20,175,Graduated
comment,kura,NA,2016-07-26,2016-07-26,1,Graduated
comment,kura,NA,2016-08-10,2016-08-10,1,Graduated
comment,kura,NA,2016-08-26,2016-08-26,1,Graduated
comment,kura,NA,2016-09-09,2016-09-09,1,Graduated
