type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,kvrocks,CLOSED,2019-08-20,2019-08-21,2,Graduated
comment,kvrocks,NA,2019-08-21,2019-08-21,1,Graduated
comment,kvrocks,NA,2019-08-21,2019-08-21,1,Graduated
issue,kvrocks,CLOSED,2019-08-20,2021-11-22,826,Graduated
comment,kvrocks,NA,2019-08-21,2019-08-21,1,Graduated
comment,kvrocks,NA,2019-08-21,2019-08-21,1,Graduated
comment,kvrocks,NA,2019-08-21,2019-08-21,1,Graduated
issue,kvrocks,CLOSED,2019-08-21,2019-08-21,1,Graduated
issue,kvrocks,CLOSED,2019-08-24,2019-08-24,1,Graduated
comment,kvrocks,NA,2019-08-24,2019-08-24,1,Graduated
comment,kvrocks,NA,2019-08-24,2019-08-24,1,Graduated
issue,kvrocks,CLOSED,2019-10-14,2019-10-22,9,Graduated
issue,kvrocks,CLOSED,2019-10-14,2022-07-30,1021,Graduated
comment,kvrocks,NA,2022-07-30,2022-07-30,1,Graduated
issue,kvrocks,CLOSED,2019-10-15,2019-11-09,26,Graduated
issue,kvrocks,CLOSED,2019-11-08,2019-11-20,13,Graduated
issue,kvrocks,CLOSED,2019-11-08,2019-11-21,14,Graduated
issue,kvrocks,CLOSED,2019-11-08,2019-11-19,12,Graduated
issue,kvrocks,CLOSED,2019-12-09,2019-12-09,1,Graduated
issue,kvrocks,CLOSED,2020-01-16,2020-01-16,1,Graduated
comment,kvrocks,NA,2020-01-16,2020-01-16,1,Graduated
comment,kvrocks,NA,2020-01-16,2020-01-16,1,Graduated
comment,kvrocks,NA,2020-01-16,2020-01-16,1,Graduated
issue,kvrocks,CLOSED,2020-02-11,2020-02-13,3,Graduated
comment,kvrocks,NA,2020-02-12,2020-02-12,1,Graduated
comment,kvrocks,NA,2020-02-12,2020-02-12,1,Graduated
comment,kvrocks,NA,2020-02-12,2020-02-12,1,Graduated
comment,kvrocks,NA,2020-02-12,2020-02-12,1,Graduated
comment,kvrocks,NA,2020-02-12,2020-02-12,1,Graduated
comment,kvrocks,NA,2020-02-13,2020-02-13,1,Graduated
issue,kvrocks,CLOSED,2020-02-16,2020-02-20,5,Graduated
comment,kvrocks,NA,2020-02-16,2020-02-16,1,Graduated
comment,kvrocks,NA,2020-02-16,2020-02-16,1,Graduated
comment,kvrocks,NA,2020-02-16,2020-02-16,1,Graduated
comment,kvrocks,NA,2020-02-18,2020-02-18,1,Graduated
comment,kvrocks,NA,2020-02-18,2020-02-18,1,Graduated
comment,kvrocks,NA,2020-02-18,2020-02-18,1,Graduated
comment,kvrocks,NA,2020-02-18,2020-02-18,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-19,2020-02-19,1,Graduated
comment,kvrocks,NA,2020-02-20,2020-02-20,1,Graduated
comment,kvrocks,NA,2020-02-20,2020-02-20,1,Graduated
comment,kvrocks,NA,2020-02-20,2020-02-20,1,Graduated
issue,kvrocks,CLOSED,2020-02-20,2020-04-20,61,Graduated
comment,kvrocks,NA,2020-02-20,2020-02-20,1,Graduated
comment,kvrocks,NA,2020-02-20,2020-02-20,1,Graduated
issue,kvrocks,CLOSED,2020-03-03,2020-03-11,9,Graduated
comment,kvrocks,NA,2020-03-04,2020-03-04,1,Graduated
comment,kvrocks,NA,2020-03-04,2020-03-04,1,Graduated
comment,kvrocks,NA,2020-03-04,2020-03-04,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
comment,kvrocks,NA,2020-03-05,2020-03-05,1,Graduated
issue,kvrocks,CLOSED,2020-03-03,2020-04-20,49,Graduated
comment,kvrocks,NA,2020-03-04,2020-03-04,1,Graduated
issue,kvrocks,CLOSED,2020-03-12,2020-03-19,8,Graduated
comment,kvrocks,NA,2020-03-12,2020-03-12,1,Graduated
comment,kvrocks,NA,2020-03-12,2020-03-12,1,Graduated
comment,kvrocks,NA,2020-03-12,2020-03-12,1,Graduated
comment,kvrocks,NA,2020-03-13,2020-03-13,1,Graduated
comment,kvrocks,NA,2020-03-13,2020-03-13,1,Graduated
comment,kvrocks,NA,2020-03-13,2020-03-13,1,Graduated
comment,kvrocks,NA,2020-03-19,2020-03-19,1,Graduated
comment,kvrocks,NA,2020-03-19,2020-03-19,1,Graduated
issue,kvrocks,CLOSED,2020-03-18,2020-03-19,2,Graduated
issue,kvrocks,CLOSED,2020-03-23,2020-03-29,7,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-23,2020-03-23,1,Graduated
comment,kvrocks,NA,2020-03-24,2020-03-24,1,Graduated
comment,kvrocks,NA,2020-03-24,2020-03-24,1,Graduated
comment,kvrocks,NA,2020-03-25,2020-03-25,1,Graduated
issue,kvrocks,CLOSED,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
comment,kvrocks,NA,2020-05-04,2020-05-04,1,Graduated
issue,kvrocks,CLOSED,2020-05-13,2020-05-13,1,Graduated
issue,kvrocks,CLOSED,2020-06-25,2021-11-22,516,Graduated
comment,kvrocks,NA,2020-06-28,2020-06-28,1,Graduated
comment,kvrocks,NA,2020-06-29,2020-06-29,1,Graduated
comment,kvrocks,NA,2020-06-30,2020-06-30,1,Graduated
issue,kvrocks,CLOSED,2020-06-26,2022-07-30,765,Graduated
comment,kvrocks,NA,2020-06-28,2020-06-28,1,Graduated
comment,kvrocks,NA,2020-06-29,2020-06-29,1,Graduated
comment,kvrocks,NA,2022-07-30,2022-07-30,1,Graduated
issue,kvrocks,CLOSED,2020-07-08,2022-09-11,796,Graduated
comment,kvrocks,NA,2020-07-08,2020-07-08,1,Graduated
comment,kvrocks,NA,2022-09-11,2022-09-11,1,Graduated
issue,kvrocks,CLOSED,2020-08-21,2021-06-03,287,Graduated
comment,kvrocks,NA,2020-09-11,2020-09-11,1,Graduated
comment,kvrocks,NA,2020-10-16,2020-10-16,1,Graduated
issue,kvrocks,CLOSED,2020-08-26,2020-08-26,1,Graduated
comment,kvrocks,NA,2020-08-26,2020-08-26,1,Graduated
comment,kvrocks,NA,2020-08-26,2020-08-26,1,Graduated
comment,kvrocks,NA,2020-08-26,2020-08-26,1,Graduated
comment,kvrocks,NA,2020-08-26,2020-08-26,1,Graduated
comment,kvrocks,NA,2020-08-26,2020-08-26,1,Graduated
issue,kvrocks,CLOSED,2020-09-04,2022-06-06,641,Graduated
comment,kvrocks,NA,2020-09-04,2020-09-04,1,Graduated
comment,kvrocks,NA,2020-09-04,2020-09-04,1,Graduated
comment,kvrocks,NA,2020-09-04,2020-09-04,1,Graduated
comment,kvrocks,NA,2020-09-05,2020-09-05,1,Graduated
comment,kvrocks,NA,2020-09-05,2020-09-05,1,Graduated
comment,kvrocks,NA,2020-09-05,2020-09-05,1,Graduated
comment,kvrocks,NA,2020-09-05,2020-09-05,1,Graduated
comment,kvrocks,NA,2020-09-05,2020-09-05,1,Graduated
comment,kvrocks,NA,2020-09-29,2020-09-29,1,Graduated
comment,kvrocks,NA,2020-09-29,2020-09-29,1,Graduated
comment,kvrocks,NA,2021-02-17,2021-02-17,1,Graduated
comment,kvrocks,NA,2021-02-18,2021-02-18,1,Graduated
comment,kvrocks,NA,2021-06-01,2021-06-01,1,Graduated
comment,kvrocks,NA,2022-06-06,2022-06-06,1,Graduated
issue,kvrocks,CLOSED,2020-12-19,2022-10-04,655,Graduated
comment,kvrocks,NA,2020-12-19,2020-12-19,1,Graduated
comment,kvrocks,NA,2022-10-04,2022-10-04,1,Graduated
issue,kvrocks,CLOSED,2020-12-20,2022-06-28,556,Graduated
comment,kvrocks,NA,2020-12-21,2020-12-21,1,Graduated
comment,kvrocks,NA,2020-12-21,2020-12-21,1,Graduated
comment,kvrocks,NA,2020-12-22,2020-12-22,1,Graduated
issue,kvrocks,CLOSED,2020-12-21,2020-12-21,1,Graduated
comment,kvrocks,NA,2020-12-21,2020-12-21,1,Graduated
comment,kvrocks,NA,2020-12-21,2020-12-21,1,Graduated
comment,kvrocks,NA,2020-12-21,2020-12-21,1,Graduated
issue,kvrocks,CLOSED,2020-12-21,2022-09-11,630,Graduated
comment,kvrocks,NA,2020-12-22,2020-12-22,1,Graduated
comment,kvrocks,NA,2022-08-28,2022-08-28,1,Graduated
issue,kvrocks,CLOSED,2020-12-22,2022-05-07,502,Graduated
comment,kvrocks,NA,2022-01-03,2022-01-03,1,Graduated
issue,kvrocks,CLOSED,2020-12-31,2020-12-31,1,Graduated
comment,kvrocks,NA,2020-12-31,2020-12-31,1,Graduated
comment,kvrocks,NA,2020-12-31,2020-12-31,1,Graduated
comment,kvrocks,NA,2020-12-31,2020-12-31,1,Graduated
comment,kvrocks,NA,2020-12-31,2020-12-31,1,Graduated
comment,kvrocks,NA,2020-12-31,2020-12-31,1,Graduated
issue,kvrocks,CLOSED,2021-01-08,2021-01-08,1,Graduated
comment,kvrocks,NA,2021-01-08,2021-01-08,1,Graduated
comment,kvrocks,NA,2021-01-08,2021-01-08,1,Graduated
issue,kvrocks,CLOSED,2021-02-02,2021-02-03,2,Graduated
issue,kvrocks,CLOSED,2021-02-20,2021-03-10,19,Graduated
issue,kvrocks,CLOSED,2021-03-05,2021-03-08,4,Graduated
issue,kvrocks,CLOSED,2021-03-23,2021-11-21,244,Graduated
comment,kvrocks,NA,2021-10-07,2021-10-07,1,Graduated
comment,kvrocks,NA,2021-11-17,2021-11-17,1,Graduated
issue,kvrocks,CLOSED,2021-04-13,2022-12-23,620,Graduated
comment,kvrocks,NA,2021-06-26,2021-06-26,1,Graduated
comment,kvrocks,NA,2022-10-23,2022-10-23,1,Graduated
comment,kvrocks,NA,2022-12-23,2022-12-23,1,Graduated
issue,kvrocks,CLOSED,2021-04-15,2021-04-23,9,Graduated
comment,kvrocks,NA,2021-04-15,2021-04-15,1,Graduated
comment,kvrocks,NA,2021-04-15,2021-04-15,1,Graduated
comment,kvrocks,NA,2021-04-15,2021-04-15,1,Graduated
comment,kvrocks,NA,2021-04-23,2021-04-23,1,Graduated
issue,kvrocks,CLOSED,2021-04-19,2021-04-20,2,Graduated
comment,kvrocks,NA,2021-04-20,2021-04-20,1,Graduated
comment,kvrocks,NA,2021-04-20,2021-04-20,1,Graduated
issue,kvrocks,CLOSED,2021-04-20,2021-04-21,2,Graduated
comment,kvrocks,NA,2021-04-20,2021-04-20,1,Graduated
comment,kvrocks,NA,2021-04-21,2021-04-21,1,Graduated
comment,kvrocks,NA,2021-04-21,2021-04-21,1,Graduated
issue,kvrocks,CLOSED,2021-04-21,2021-04-21,1,Graduated
comment,kvrocks,NA,2021-04-21,2021-04-21,1,Graduated
comment,kvrocks,NA,2021-04-21,2021-04-21,1,Graduated
issue,kvrocks,CLOSED,2021-05-03,2021-05-04,2,Graduated
comment,kvrocks,NA,2021-05-03,2021-05-03,1,Graduated
comment,kvrocks,NA,2021-05-03,2021-05-03,1,Graduated
comment,kvrocks,NA,2021-05-04,2021-05-04,1,Graduated
issue,kvrocks,CLOSED,2021-05-06,2021-05-10,5,Graduated
issue,kvrocks,CLOSED,2021-05-08,2021-05-08,1,Graduated
comment,kvrocks,NA,2021-05-08,2021-05-08,1,Graduated
comment,kvrocks,NA,2021-05-08,2021-05-08,1,Graduated
issue,kvrocks,CLOSED,2021-05-24,2021-05-25,2,Graduated
comment,kvrocks,NA,2021-05-24,2021-05-24,1,Graduated
comment,kvrocks,NA,2021-05-25,2021-05-25,1,Graduated
issue,kvrocks,CLOSED,2021-05-26,2021-05-26,1,Graduated
comment,kvrocks,NA,2021-05-26,2021-05-26,1,Graduated
comment,kvrocks,NA,2021-05-26,2021-05-26,1,Graduated
comment,kvrocks,NA,2021-05-26,2021-05-26,1,Graduated
issue,kvrocks,OPEN,2021-05-31,2023-03-18,657,Graduated
comment,kvrocks,NA,2021-05-31,2021-05-31,1,Graduated
comment,kvrocks,NA,2021-06-02,2021-06-02,1,Graduated
issue,kvrocks,CLOSED,2021-06-02,2021-06-03,2,Graduated
comment,kvrocks,NA,2021-06-02,2021-06-02,1,Graduated
comment,kvrocks,NA,2021-06-02,2021-06-02,1,Graduated
comment,kvrocks,NA,2021-06-02,2021-06-02,1,Graduated
comment,kvrocks,NA,2021-06-02,2021-06-02,1,Graduated
issue,kvrocks,CLOSED,2021-06-02,2021-06-02,1,Graduated
issue,kvrocks,CLOSED,2021-06-03,2021-06-03,1,Graduated
comment,kvrocks,NA,2021-06-03,2021-06-03,1,Graduated
issue,kvrocks,CLOSED,2021-06-03,2021-06-08,6,Graduated
comment,kvrocks,NA,2021-06-08,2021-06-08,1,Graduated
comment,kvrocks,NA,2021-06-08,2021-06-08,1,Graduated
issue,kvrocks,CLOSED,2021-06-03,2021-06-04,2,Graduated
comment,kvrocks,NA,2021-06-04,2021-06-04,1,Graduated
comment,kvrocks,NA,2021-06-04,2021-06-04,1,Graduated
comment,kvrocks,NA,2021-06-04,2021-06-04,1,Graduated
comment,kvrocks,NA,2021-06-04,2021-06-04,1,Graduated
issue,kvrocks,CLOSED,2021-06-10,2024-03-11,1006,Graduated
comment,kvrocks,NA,2021-06-11,2021-06-11,1,Graduated
comment,kvrocks,NA,2021-06-11,2021-06-11,1,Graduated
comment,kvrocks,NA,2022-07-05,2022-07-05,1,Graduated
comment,kvrocks,NA,2022-07-06,2022-07-06,1,Graduated
comment,kvrocks,NA,2022-07-06,2022-07-06,1,Graduated
issue,kvrocks,CLOSED,2021-06-17,2021-06-27,11,Graduated
comment,kvrocks,NA,2021-06-17,2021-06-17,1,Graduated
issue,kvrocks,CLOSED,2021-06-21,2023-03-14,632,Graduated
comment,kvrocks,NA,2021-06-21,2021-06-21,1,Graduated
comment,kvrocks,NA,2022-07-11,2022-07-11,1,Graduated
comment,kvrocks,NA,2022-07-12,2022-07-12,1,Graduated
comment,kvrocks,NA,2022-07-12,2022-07-12,1,Graduated
comment,kvrocks,NA,2022-09-01,2022-09-01,1,Graduated
comment,kvrocks,NA,2022-09-01,2022-09-01,1,Graduated
comment,kvrocks,NA,2023-01-08,2023-01-08,1,Graduated
comment,kvrocks,NA,2023-01-10,2023-01-10,1,Graduated
comment,kvrocks,NA,2023-01-10,2023-01-10,1,Graduated
comment,kvrocks,NA,2023-01-10,2023-01-10,1,Graduated
comment,kvrocks,NA,2023-02-23,2023-02-23,1,Graduated
comment,kvrocks,NA,2023-02-24,2023-02-24,1,Graduated
comment,kvrocks,NA,2023-02-24,2023-02-24,1,Graduated
comment,kvrocks,NA,2023-02-24,2023-02-24,1,Graduated
comment,kvrocks,NA,2023-02-24,2023-02-24,1,Graduated
comment,kvrocks,NA,2023-03-07,2023-03-07,1,Graduated
comment,kvrocks,NA,2023-03-13,2023-03-13,1,Graduated
comment,kvrocks,NA,2023-03-14,2023-03-14,1,Graduated
comment,kvrocks,NA,2023-03-14,2023-03-14,1,Graduated
issue,kvrocks,CLOSED,2021-06-23,2023-06-05,713,Graduated
comment,kvrocks,NA,2021-06-24,2021-06-24,1,Graduated
comment,kvrocks,NA,2021-06-24,2021-06-24,1,Graduated
issue,kvrocks,CLOSED,2021-06-29,2021-07-01,3,Graduated
issue,kvrocks,CLOSED,2021-07-05,2021-11-07,126,Graduated
comment,kvrocks,NA,2021-07-05,2021-07-05,1,Graduated
comment,kvrocks,NA,2021-07-09,2021-07-09,1,Graduated
comment,kvrocks,NA,2021-07-09,2021-07-09,1,Graduated
comment,kvrocks,NA,2021-07-20,2021-07-20,1,Graduated
comment,kvrocks,NA,2021-07-20,2021-07-20,1,Graduated
comment,kvrocks,NA,2021-07-20,2021-07-20,1,Graduated
comment,kvrocks,NA,2021-07-20,2021-07-20,1,Graduated
comment,kvrocks,NA,2021-07-20,2021-07-20,1,Graduated
comment,kvrocks,NA,2021-07-21,2021-07-21,1,Graduated
comment,kvrocks,NA,2021-07-21,2021-07-21,1,Graduated
comment,kvrocks,NA,2021-07-22,2021-07-22,1,Graduated
comment,kvrocks,NA,2021-07-23,2021-07-23,1,Graduated
issue,kvrocks,CLOSED,2021-07-09,2022-09-11,430,Graduated
comment,kvrocks,NA,2021-07-09,2021-07-09,1,Graduated
comment,kvrocks,NA,2022-09-11,2022-09-11,1,Graduated
issue,kvrocks,CLOSED,2021-07-15,2021-07-16,2,Graduated
comment,kvrocks,NA,2021-07-15,2021-07-15,1,Graduated
comment,kvrocks,NA,2021-07-16,2021-07-16,1,Graduated
comment,kvrocks,NA,2021-07-16,2021-07-16,1,Graduated
issue,kvrocks,CLOSED,2021-07-17,2022-06-28,347,Graduated
comment,kvrocks,NA,2021-07-18,2021-07-18,1,Graduated
comment,kvrocks,NA,2021-07-23,2021-07-23,1,Graduated
