type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,leshan,CLOSED,2015-03-10,2015-12-03,269,Graduated
comment,leshan,NA,2015-03-10,2015-03-10,1,Graduated
issue,leshan,CLOSED,2015-03-12,2016-09-01,540,Graduated
comment,leshan,NA,2015-03-16,2015-03-16,1,Graduated
comment,leshan,NA,2015-03-16,2015-03-16,1,Graduated
comment,leshan,NA,2016-09-01,2016-09-01,1,Graduated
comment,leshan,NA,2016-09-01,2016-09-01,1,Graduated
issue,leshan,CLOSED,2015-03-23,2015-04-23,32,Graduated
comment,leshan,NA,2015-03-23,2015-03-23,1,Graduated
comment,leshan,NA,2015-03-27,2015-03-27,1,Graduated
comment,leshan,NA,2015-03-27,2015-03-27,1,Graduated
comment,leshan,NA,2015-04-16,2015-04-16,1,Graduated
comment,leshan,NA,2015-04-16,2015-04-16,1,Graduated
issue,leshan,CLOSED,2015-04-28,2016-01-22,270,Graduated
comment,leshan,NA,2015-04-28,2015-04-28,1,Graduated
comment,leshan,NA,2015-04-28,2015-04-28,1,Graduated
comment,leshan,NA,2016-01-21,2016-01-21,1,Graduated
comment,leshan,NA,2016-01-21,2016-01-21,1,Graduated
comment,leshan,NA,2016-01-22,2016-01-22,1,Graduated
issue,leshan,CLOSED,2015-04-28,2020-02-13,1753,Graduated
comment,leshan,NA,2015-04-28,2015-04-28,1,Graduated
comment,leshan,NA,2018-10-03,2018-10-03,1,Graduated
comment,leshan,NA,2018-10-04,2018-10-04,1,Graduated
comment,leshan,NA,2019-02-21,2019-02-21,1,Graduated
comment,leshan,NA,2019-02-22,2019-02-22,1,Graduated
comment,leshan,NA,2020-02-07,2020-02-07,1,Graduated
issue,leshan,CLOSED,2015-05-04,2015-12-03,214,Graduated
comment,leshan,NA,2015-05-04,2015-05-04,1,Graduated
comment,leshan,NA,2015-05-04,2015-05-04,1,Graduated
comment,leshan,NA,2015-05-04,2015-05-04,1,Graduated
issue,leshan,CLOSED,2015-05-08,2015-12-03,210,Graduated
comment,leshan,NA,2015-05-11,2015-05-11,1,Graduated
comment,leshan,NA,2015-12-03,2015-12-03,1,Graduated
issue,leshan,CLOSED,2015-12-04,2015-12-05,2,Graduated
comment,leshan,NA,2015-12-04,2015-12-04,1,Graduated
comment,leshan,NA,2015-12-04,2015-12-04,1,Graduated
comment,leshan,NA,2015-12-04,2015-12-04,1,Graduated
issue,leshan,CLOSED,2015-12-25,2016-01-04,11,Graduated
comment,leshan,NA,2016-01-04,2016-01-04,1,Graduated
issue,leshan,CLOSED,2015-12-28,2016-01-30,34,Graduated
comment,leshan,NA,2016-01-04,2016-01-04,1,Graduated
issue,leshan,CLOSED,2016-01-06,2017-11-10,675,Graduated
comment,leshan,NA,2017-11-10,2017-11-10,1,Graduated
issue,leshan,CLOSED,2016-01-18,2016-01-19,2,Graduated
issue,leshan,CLOSED,2016-01-19,2016-06-07,141,Graduated
comment,leshan,NA,2016-06-07,2016-06-07,1,Graduated
issue,leshan,CLOSED,2016-01-22,2016-01-27,6,Graduated
comment,leshan,NA,2016-01-26,2016-01-26,1,Graduated
