type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-25,1,Graduated
comment,linkis,NA,2019-07-25,2019-07-25,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
issue,linkis,CLOSED,2019-07-25,2019-10-12,80,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-10-12,2019-10-12,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
issue,linkis,CLOSED,2019-07-25,2020-05-08,289,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-25,2019-07-29,5,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-26,2019-07-29,4,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-27,2019-07-29,3,Graduated
comment,linkis,NA,2019-07-27,2019-07-27,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
issue,linkis,CLOSED,2019-07-29,2023-02-26,1309,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-29,2019-07-29,1,Graduated
comment,linkis,NA,2019-07-30,2019-07-30,1,Graduated
comment,linkis,NA,2019-07-30,2019-07-30,1,Graduated
comment,linkis,NA,2023-02-26,2023-02-26,1,Graduated
comment,linkis,NA,2023-02-26,2023-02-26,1,Graduated
issue,linkis,OPEN,2019-07-29,2024-08-12,1842,Graduated
comment,linkis,NA,2019-08-30,2019-08-30,1,Graduated
comment,linkis,NA,2019-10-08,2019-10-08,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-04,2019-11-04,1,Graduated
comment,linkis,NA,2019-11-05,2019-11-05,1,Graduated
comment,linkis,NA,2019-11-05,2019-11-05,1,Graduated
comment,linkis,NA,2019-11-06,2019-11-06,1,Graduated
comment,linkis,NA,2019-11-06,2019-11-06,1,Graduated
comment,linkis,NA,2019-11-14,2019-11-14,1,Graduated
comment,linkis,NA,2019-11-14,2019-11-14,1,Graduated
comment,linkis,NA,2019-11-14,2019-11-14,1,Graduated
comment,linkis,NA,2019-11-15,2019-11-15,1,Graduated
comment,linkis,NA,2019-11-15,2019-11-15,1,Graduated
comment,linkis,NA,2019-11-15,2019-11-15,1,Graduated
comment,linkis,NA,2019-11-15,2019-11-15,1,Graduated
comment,linkis,NA,2019-11-15,2019-11-15,1,Graduated
comment,linkis,NA,2019-11-15,2019-11-15,1,Graduated
comment,linkis,NA,2019-11-18,2019-11-18,1,Graduated
comment,linkis,NA,2019-11-21,2019-11-21,1,Graduated
comment,linkis,NA,2019-11-23,2019-11-23,1,Graduated
comment,linkis,NA,2019-12-05,2019-12-05,1,Graduated
comment,linkis,NA,2019-12-06,2019-12-06,1,Graduated
comment,linkis,NA,2019-12-06,2019-12-06,1,Graduated
comment,linkis,NA,2019-12-06,2019-12-06,1,Graduated
comment,linkis,NA,2019-12-10,2019-12-10,1,Graduated
