type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,mosquitto,CLOSED,2016-03-13,2019-08-08,1244,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
comment,mosquitto,NA,2016-03-14,2016-03-14,1,Graduated
comment,mosquitto,NA,2016-03-14,2016-03-14,1,Graduated
comment,mosquitto,NA,2016-03-14,2016-03-14,1,Graduated
comment,mosquitto,NA,2016-03-14,2016-03-14,1,Graduated
comment,mosquitto,NA,2016-03-14,2016-03-14,1,Graduated
comment,mosquitto,NA,2016-03-14,2016-03-14,1,Graduated
comment,mosquitto,NA,2016-03-18,2016-03-18,1,Graduated
issue,mosquitto,CLOSED,2016-03-13,2019-08-08,1244,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
comment,mosquitto,NA,2016-03-13,2016-03-13,1,Graduated
issue,mosquitto,CLOSED,2016-03-13,2019-08-08,1244,Graduated
comment,mosquitto,NA,2016-03-15,2016-03-15,1,Graduated
issue,mosquitto,CLOSED,2016-03-13,2019-08-08,1244,Graduated
comment,mosquitto,NA,2016-03-15,2016-03-15,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-07,1241,Graduated
comment,mosquitto,NA,2016-06-12,2016-06-12,1,Graduated
comment,mosquitto,NA,2016-06-13,2016-06-13,1,Graduated
comment,mosquitto,NA,2016-06-13,2016-06-13,1,Graduated
comment,mosquitto,NA,2016-08-08,2016-08-08,1,Graduated
comment,mosquitto,NA,2016-08-08,2016-08-08,1,Graduated
comment,mosquitto,NA,2016-08-09,2016-08-09,1,Graduated
comment,mosquitto,NA,2017-03-01,2017-03-01,1,Graduated
comment,mosquitto,NA,2017-03-01,2017-03-01,1,Graduated
comment,mosquitto,NA,2017-03-01,2017-03-01,1,Graduated
comment,mosquitto,NA,2017-03-01,2017-03-01,1,Graduated
comment,mosquitto,NA,2017-03-01,2017-03-01,1,Graduated
comment,mosquitto,NA,2017-03-13,2017-03-13,1,Graduated
comment,mosquitto,NA,2017-04-08,2017-04-08,1,Graduated
comment,mosquitto,NA,2017-04-29,2017-04-29,1,Graduated
comment,mosquitto,NA,2017-04-30,2017-04-30,1,Graduated
comment,mosquitto,NA,2017-08-26,2017-08-26,1,Graduated
comment,mosquitto,NA,2017-09-07,2017-09-07,1,Graduated
comment,mosquitto,NA,2018-11-04,2018-11-04,1,Graduated
comment,mosquitto,NA,2018-11-04,2018-11-04,1,Graduated
comment,mosquitto,NA,2018-11-04,2018-11-04,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2016-06-13,2016-06-13,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-07,1241,Graduated
comment,mosquitto,NA,2017-12-28,2017-12-28,1,Graduated
comment,mosquitto,NA,2018-04-11,2018-04-11,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2017-12-28,2017-12-28,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2017-08-02,2017-08-02,1,Graduated
comment,mosquitto,NA,2017-12-27,2017-12-27,1,Graduated
comment,mosquitto,NA,2018-01-12,2018-01-12,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2016-06-13,2016-06-13,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2017-07-18,2017-07-18,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2017-02-19,2017-02-19,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-07,1241,Graduated
comment,mosquitto,NA,2017-12-29,2017-12-29,1,Graduated
comment,mosquitto,NA,2018-04-11,2018-04-11,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-07,1241,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-07,1241,Graduated
comment,mosquitto,NA,2017-10-03,2017-10-03,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-07,1241,Graduated
comment,mosquitto,NA,2018-09-25,2018-09-25,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2016-06-13,2016-06-13,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-12-10,1366,Graduated
comment,mosquitto,NA,2017-04-28,2017-04-28,1,Graduated
comment,mosquitto,NA,2019-06-13,2019-06-13,1,Graduated
issue,mosquitto,OPEN,2016-03-15,2017-05-30,442,Graduated
comment,mosquitto,NA,2017-05-30,2017-05-30,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
issue,mosquitto,OPEN,2016-03-15,2021-01-27,1780,Graduated
comment,mosquitto,NA,2017-12-29,2017-12-29,1,Graduated
issue,mosquitto,CLOSED,2016-03-15,2019-08-08,1242,Graduated
comment,mosquitto,NA,2016-09-26,2016-09-26,1,Graduated
comment,mosquitto,NA,2016-09-29,2016-09-29,1,Graduated
comment,mosquitto,NA,2016-09-29,2016-09-29,1,Graduated
comment,mosquitto,NA,2016-11-02,2016-11-02,1,Graduated
