type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,neoscada,OPEN,2017-08-10,2017-08-10,1,Retired
issue,neoscada,OPEN,2017-08-10,2018-01-09,153,Retired
comment,neoscada,NA,2018-01-09,2018-01-09,1,Retired
comment,neoscada,NA,2018-01-09,2018-01-09,1,Retired
issue,neoscada,CLOSED,2017-09-22,2018-05-16,237,Retired
comment,neoscada,NA,2017-09-25,2017-09-25,1,Retired
comment,neoscada,NA,2018-04-26,2018-04-26,1,Retired
issue,neoscada,CLOSED,2017-09-22,2018-05-24,245,Retired
comment,neoscada,NA,2017-09-25,2017-09-25,1,Retired
comment,neoscada,NA,2017-09-29,2017-09-29,1,Retired
issue,neoscada,OPEN,2017-10-23,2017-10-23,1,Retired
issue,neoscada,OPEN,2017-11-09,2017-11-09,1,Retired
issue,neoscada,OPEN,2018-01-22,2018-01-22,1,Retired
issue,neoscada,OPEN,2018-01-22,2018-05-24,123,Retired
issue,neoscada,OPEN,2018-02-14,2018-05-24,100,Retired
issue,neoscada,CLOSED,2018-04-26,2018-05-24,29,Retired
issue,neoscada,OPEN,2018-05-24,2018-05-24,1,Retired
issue,neoscada,OPEN,2018-05-25,2018-05-25,1,Retired
issue,neoscada,OPEN,2018-05-28,2018-05-28,1,Retired
issue,neoscada,OPEN,2018-06-07,2018-06-07,1,Retired
comment,neoscada,NA,2018-06-07,2018-06-07,1,Retired
issue,neoscada,OPEN,2018-06-07,2018-06-07,1,Retired
issue,neoscada,OPEN,2018-06-08,2018-06-08,1,Retired
issue,neoscada,CLOSED,2018-06-26,2018-07-03,8,Retired
issue,neoscada,OPEN,2018-06-28,2018-06-28,1,Retired
issue,neoscada,OPEN,2018-07-02,2018-07-02,1,Retired
issue,neoscada,OPEN,2018-07-06,2018-07-06,1,Retired
issue,neoscada,OPEN,2019-03-24,2019-03-24,1,Retired
