type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,oomph,CLOSED,2023-06-17,2023-08-16,61,Graduated
issue,oomph,CLOSED,2023-06-20,2023-06-20,1,Graduated
comment,oomph,NA,2023-06-20,2023-06-20,1,Graduated
comment,oomph,NA,2023-06-20,2023-06-20,1,Graduated
comment,oomph,NA,2023-06-20,2023-06-20,1,Graduated
comment,oomph,NA,2023-06-20,2023-06-20,1,Graduated
comment,oomph,NA,2023-06-20,2023-06-20,1,Graduated
issue,oomph,CLOSED,2023-06-21,2023-06-23,3,Graduated
comment,oomph,NA,2023-06-21,2023-06-21,1,Graduated
comment,oomph,NA,2023-06-23,2023-06-23,1,Graduated
issue,oomph,CLOSED,2023-06-21,2023-06-21,1,Graduated
comment,oomph,NA,2023-06-21,2023-06-21,1,Graduated
issue,oomph,CLOSED,2023-07-02,2023-07-02,1,Graduated
issue,oomph,CLOSED,2023-07-07,2023-08-16,41,Graduated
comment,oomph,NA,2023-07-07,2023-07-07,1,Graduated
comment,oomph,NA,2023-07-27,2023-07-27,1,Graduated
issue,oomph,CLOSED,2023-07-15,2023-10-12,90,Graduated
comment,oomph,NA,2023-07-16,2023-07-16,1,Graduated
comment,oomph,NA,2023-08-16,2023-08-16,1,Graduated
comment,oomph,NA,2023-08-31,2023-08-31,1,Graduated
comment,oomph,NA,2023-10-12,2023-10-12,1,Graduated
issue,oomph,CLOSED,2023-07-24,2023-07-25,2,Graduated
comment,oomph,NA,2023-07-25,2023-07-25,1,Graduated
issue,oomph,CLOSED,2023-07-27,2023-07-27,1,Graduated
comment,oomph,NA,2023-07-27,2023-07-27,1,Graduated
issue,oomph,CLOSED,2023-07-28,2023-10-12,77,Graduated
comment,oomph,NA,2023-07-28,2023-07-28,1,Graduated
comment,oomph,NA,2023-10-12,2023-10-12,1,Graduated
issue,oomph,CLOSED,2023-08-05,2023-08-07,3,Graduated
comment,oomph,NA,2023-08-05,2023-08-05,1,Graduated
comment,oomph,NA,2023-08-05,2023-08-05,1,Graduated
comment,oomph,NA,2023-08-05,2023-08-05,1,Graduated
comment,oomph,NA,2023-08-07,2023-08-07,1,Graduated
issue,oomph,OPEN,2023-08-15,2023-10-12,59,Graduated
comment,oomph,NA,2023-08-18,2023-08-18,1,Graduated
comment,oomph,NA,2023-08-18,2023-08-18,1,Graduated
comment,oomph,NA,2023-09-13,2023-09-13,1,Graduated
comment,oomph,NA,2023-09-13,2023-09-13,1,Graduated
comment,oomph,NA,2023-10-12,2023-10-12,1,Graduated
comment,oomph,NA,2023-10-12,2023-10-12,1,Graduated
issue,oomph,CLOSED,2023-08-21,2023-10-12,53,Graduated
comment,oomph,NA,2023-08-21,2023-08-21,1,Graduated
comment,oomph,NA,2023-08-21,2023-08-21,1,Graduated
comment,oomph,NA,2023-08-22,2023-08-22,1,Graduated
comment,oomph,NA,2023-10-12,2023-10-12,1,Graduated
issue,oomph,CLOSED,2023-08-24,2023-08-24,1,Graduated
comment,oomph,NA,2023-08-24,2023-08-24,1,Graduated
comment,oomph,NA,2023-08-24,2023-08-24,1,Graduated
comment,oomph,NA,2023-08-24,2023-08-24,1,Graduated
issue,oomph,CLOSED,2023-09-07,2023-09-07,1,Graduated
comment,oomph,NA,2023-09-07,2023-09-07,1,Graduated
issue,oomph,CLOSED,2023-10-06,2023-10-06,1,Graduated
comment,oomph,NA,2023-10-06,2023-10-06,1,Graduated
issue,oomph,CLOSED,2023-10-06,2023-10-12,7,Graduated
comment,oomph,NA,2023-10-12,2023-10-12,1,Graduated
issue,oomph,CLOSED,2023-10-12,2023-11-21,41,Graduated
comment,oomph,NA,2023-10-20,2023-10-20,1,Graduated
comment,oomph,NA,2023-11-21,2023-11-21,1,Graduated
issue,oomph,CLOSED,2023-10-17,2023-10-22,6,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-18,2023-10-18,1,Graduated
comment,oomph,NA,2023-10-20,2023-10-20,1,Graduated
comment,oomph,NA,2023-10-20,2023-10-20,1,Graduated
comment,oomph,NA,2023-10-20,2023-10-20,1,Graduated
comment,oomph,NA,2023-10-22,2023-10-22,1,Graduated
issue,oomph,CLOSED,2023-10-20,2023-10-20,1,Graduated
comment,oomph,NA,2023-10-20,2023-10-20,1,Graduated
issue,oomph,CLOSED,2023-10-20,2023-10-25,6,Graduated
comment,oomph,NA,2023-10-21,2023-10-21,1,Graduated
comment,oomph,NA,2023-10-22,2023-10-22,1,Graduated
issue,oomph,OPEN,2023-10-23,2024-02-03,104,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
issue,oomph,OPEN,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
issue,oomph,CLOSED,2023-10-23,2023-10-26,4,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-23,2023-10-23,1,Graduated
comment,oomph,NA,2023-10-25,2023-10-25,1,Graduated
comment,oomph,NA,2023-10-26,2023-10-26,1,Graduated
issue,oomph,CLOSED,2023-10-29,2023-10-30,2,Graduated
comment,oomph,NA,2023-10-29,2023-10-29,1,Graduated
issue,oomph,CLOSED,2023-11-01,2023-11-22,22,Graduated
comment,oomph,NA,2023-11-19,2023-11-19,1,Graduated
comment,oomph,NA,2023-11-21,2023-11-21,1,Graduated
issue,oomph,CLOSED,2023-11-01,2023-11-01,1,Graduated
comment,oomph,NA,2023-11-01,2023-11-01,1,Graduated
issue,oomph,CLOSED,2023-11-05,2023-11-05,1,Graduated
issue,oomph,CLOSED,2023-11-06,2023-11-07,2,Graduated
issue,oomph,CLOSED,2023-11-07,2023-11-07,1,Graduated
comment,oomph,NA,2023-11-07,2023-11-07,1,Graduated
issue,oomph,CLOSED,2023-11-07,2023-11-07,1,Graduated
issue,oomph,CLOSED,2023-11-09,2023-11-09,1,Graduated
comment,oomph,NA,2023-11-09,2023-11-09,1,Graduated
comment,oomph,NA,2023-11-09,2023-11-09,1,Graduated
issue,oomph,CLOSED,2023-11-13,2023-11-19,7,Graduated
comment,oomph,NA,2023-11-14,2023-11-14,1,Graduated
comment,oomph,NA,2023-11-14,2023-11-14,1,Graduated
comment,oomph,NA,2023-11-19,2023-11-19,1,Graduated
issue,oomph,CLOSED,2023-11-14,2023-11-14,1,Graduated
comment,oomph,NA,2023-11-14,2023-11-14,1,Graduated
comment,oomph,NA,2023-11-14,2023-11-14,1,Graduated
comment,oomph,NA,2023-11-14,2023-11-14,1,Graduated
issue,oomph,CLOSED,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
issue,oomph,CLOSED,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
comment,oomph,NA,2023-11-16,2023-11-16,1,Graduated
issue,oomph,CLOSED,2023-11-19,2023-11-19,1,Graduated
issue,oomph,CLOSED,2023-11-26,2024-10-24,334,Graduated
comment,oomph,NA,2023-11-29,2023-11-29,1,Graduated
comment,oomph,NA,2024-10-24,2024-10-24,1,Graduated
comment,oomph,NA,2024-10-24,2024-10-24,1,Graduated
issue,oomph,CLOSED,2023-12-04,2023-12-07,4,Graduated
comment,oomph,NA,2023-12-04,2023-12-04,1,Graduated
comment,oomph,NA,2023-12-04,2023-12-04,1,Graduated
comment,oomph,NA,2023-12-04,2023-12-04,1,Graduated
comment,oomph,NA,2023-12-04,2023-12-04,1,Graduated
