type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,openmq,CLOSED,2007-01-22,2017-05-09,3761,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2007-01-22,2007-01-22,1,Graduated
comment,openmq,NA,2007-01-23,2007-01-23,1,Graduated
comment,openmq,NA,2007-01-23,2007-01-23,1,Graduated
comment,openmq,NA,2007-01-23,2007-01-23,1,Graduated
comment,openmq,NA,2008-08-07,2008-08-07,1,Graduated
comment,openmq,NA,2009-10-12,2009-10-12,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2009-10-12,2009-10-12,1,Graduated
issue,openmq,CLOSED,2007-09-19,2017-05-09,3521,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2007-09-19,2007-09-19,1,Graduated
comment,openmq,NA,2007-09-19,2007-09-19,1,Graduated
comment,openmq,NA,2007-09-19,2007-09-19,1,Graduated
comment,openmq,NA,2007-09-19,2007-09-19,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2007-09-19,2007-09-19,1,Graduated
issue,openmq,CLOSED,2007-09-27,2017-05-09,3513,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2007-09-27,2007-09-27,1,Graduated
comment,openmq,NA,2008-05-28,2008-05-28,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2008-05-28,2008-05-28,1,Graduated
issue,openmq,CLOSED,2007-12-15,2020-11-21,4726,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2007-12-15,2007-12-15,1,Graduated
comment,openmq,NA,2008-08-07,2008-08-07,1,Graduated
comment,openmq,NA,2010-10-05,2010-10-05,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2020-11-21,2020-11-21,1,Graduated
issue,openmq,CLOSED,2008-02-19,2017-05-09,3368,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-02-19,2008-02-19,1,Graduated
comment,openmq,NA,2008-08-07,2008-08-07,1,Graduated
comment,openmq,NA,2010-09-30,2010-09-30,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2010-09-30,2010-09-30,1,Graduated
issue,openmq,CLOSED,2008-05-21,2021-07-06,4795,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2010-10-07,2010-10-07,1,Graduated
comment,openmq,NA,2010-10-07,2010-10-07,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2008-05-21,2008-05-21,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2021-07-06,2021-07-06,1,Graduated
issue,openmq,CLOSED,2008-09-10,2017-05-09,3164,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-09-10,2008-09-10,1,Graduated
comment,openmq,NA,2008-09-16,2008-09-16,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2008-09-16,2008-09-16,1,Graduated
issue,openmq,CLOSED,2008-09-12,2017-05-09,3162,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-09-12,2008-09-12,1,Graduated
comment,openmq,NA,2008-09-13,2008-09-13,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2008-09-13,2008-09-13,1,Graduated
issue,openmq,CLOSED,2008-10-02,2017-05-09,3142,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-10-02,2008-10-02,1,Graduated
comment,openmq,NA,2010-06-04,2010-06-04,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2010-06-04,2010-06-04,1,Graduated
issue,openmq,OPEN,2008-10-20,2017-08-18,3225,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-10-20,2008-10-20,1,Graduated
comment,openmq,NA,2010-10-07,2010-10-07,1,Graduated
comment,openmq,NA,2013-08-04,2013-08-04,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2017-08-18,2017-08-18,1,Graduated
issue,openmq,OPEN,2008-10-20,2021-05-17,4593,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-10-20,2008-10-20,1,Graduated
comment,openmq,NA,2008-10-21,2008-10-21,1,Graduated
comment,openmq,NA,2009-08-07,2009-08-07,1,Graduated
comment,openmq,NA,2013-02-17,2013-02-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
issue,openmq,OPEN,2008-10-20,2021-05-10,4586,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-10-20,2008-10-20,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
issue,openmq,OPEN,2008-10-21,2021-05-10,4585,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-10-21,2008-10-21,1,Graduated
comment,openmq,NA,2008-10-21,2008-10-21,1,Graduated
comment,openmq,NA,2008-12-05,2008-12-05,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
issue,openmq,CLOSED,2008-12-05,2017-05-09,3078,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2008-12-05,2008-12-05,1,Graduated
comment,openmq,NA,2010-10-07,2010-10-07,1,Graduated
comment,openmq,NA,2010-10-12,2010-10-12,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2010-10-12,2010-10-12,1,Graduated
issue,openmq,CLOSED,2009-01-06,2023-02-03,5142,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-01-06,2009-01-06,1,Graduated
comment,openmq,NA,2010-11-16,2010-11-16,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2023-02-03,2023-02-03,1,Graduated
issue,openmq,CLOSED,2009-02-18,2017-05-09,3003,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-02-18,2009-02-18,1,Graduated
comment,openmq,NA,2009-10-16,2009-10-16,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2009-10-16,2009-10-16,1,Graduated
issue,openmq,CLOSED,2009-02-24,2017-05-09,2997,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-02-24,2009-02-24,1,Graduated
comment,openmq,NA,2009-03-10,2009-03-10,1,Graduated
comment,openmq,NA,2009-10-14,2009-10-14,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2009-10-14,2009-10-14,1,Graduated
issue,openmq,CLOSED,2009-03-06,2017-05-09,2987,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-03-06,2009-03-06,1,Graduated
comment,openmq,NA,2009-03-10,2009-03-10,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2009-03-10,2009-03-10,1,Graduated
issue,openmq,OPEN,2009-03-24,2021-05-17,4438,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-03-24,2009-03-24,1,Graduated
comment,openmq,NA,2009-03-24,2009-03-24,1,Graduated
comment,openmq,NA,2009-03-24,2009-03-24,1,Graduated
comment,openmq,NA,2010-10-07,2010-10-07,1,Graduated
comment,openmq,NA,2010-10-12,2010-10-12,1,Graduated
comment,openmq,NA,2010-12-17,2010-12-17,1,Graduated
comment,openmq,NA,2009-03-24,2009-03-24,1,Graduated
comment,openmq,NA,2009-03-24,2009-03-24,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
issue,openmq,OPEN,2009-03-31,2024-09-05,5638,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-03-31,2009-03-31,1,Graduated
comment,openmq,NA,2010-10-03,2010-10-03,1,Graduated
comment,openmq,NA,2010-10-05,2010-10-05,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
issue,openmq,CLOSED,2009-03-31,2024-09-05,5638,Graduated
comment,openmq,NA,2018-02-10,2018-02-10,1,Graduated
comment,openmq,NA,2009-03-31,2009-03-31,1,Graduated
comment,openmq,NA,2017-05-09,2017-05-09,1,Graduated
comment,openmq,NA,2024-09-05,2024-09-05,1,Graduated
