type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,org.eclipse.mylyn.commons,OPEN,2022-11-23,2022-12-03,11,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-23,2022-11-23,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-23,2022-11-23,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-23,2022-11-23,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
issue,org.eclipse.mylyn.commons,CLOSED,2022-11-25,2022-11-27,3,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-25,2022-11-25,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-27,2022-11-27,1,Retired
issue,org.eclipse.mylyn.commons,CLOSED,2022-11-25,2022-11-25,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-25,2022-11-25,1,Retired
issue,org.eclipse.mylyn.commons,CLOSED,2022-11-25,2022-12-05,11,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-05,2022-12-05,1,Retired
issue,org.eclipse.mylyn.commons,OPEN,2022-11-26,2022-12-03,8,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-26,2022-11-26,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-26,2022-11-26,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-26,2022-11-26,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-27,2022-11-27,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-27,2022-11-27,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-28,2022-11-28,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-28,2022-11-28,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-29,2022-11-29,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-29,2022-11-29,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-03,2022-12-03,1,Retired
issue,org.eclipse.mylyn.commons,OPEN,2022-11-26,2022-11-26,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-26,2022-11-26,1,Retired
issue,org.eclipse.mylyn.commons,OPEN,2022-11-27,2022-12-23,27,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-27,2022-11-27,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-27,2022-11-27,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-08,2022-12-08,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-08,2022-12-08,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-23,2022-12-23,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-23,2022-12-23,1,Retired
issue,org.eclipse.mylyn.commons,OPEN,2022-11-29,2022-11-29,1,Retired
issue,org.eclipse.mylyn.commons,CLOSED,2022-11-29,2022-11-29,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-11-29,2022-11-29,1,Retired
issue,org.eclipse.mylyn.commons,OPEN,2022-12-03,2022-12-03,1,Retired
issue,org.eclipse.mylyn.commons,OPEN,2022-12-06,2022-12-06,1,Retired
issue,org.eclipse.mylyn.commons,CLOSED,2022-12-08,2022-12-08,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-08,2022-12-08,1,Retired
issue,org.eclipse.mylyn.commons,CLOSED,2022-12-10,2022-12-27,18,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-10,2022-12-10,1,Retired
comment,org.eclipse.mylyn.commons,NA,2022-12-27,2022-12-27,1,Retired
