type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,org.eclipse.mylyn,CLOSED,2022-11-25,2023-05-05,162,Graduated
comment,org.eclipse.mylyn,NA,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.mylyn,NA,2022-12-23,2022-12-23,1,Graduated
comment,org.eclipse.mylyn,NA,2022-12-23,2022-12-23,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-11-25,2023-05-05,162,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-12-11,2023-05-05,146,Graduated
comment,org.eclipse.mylyn,NA,2023-02-22,2023-02-22,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-12-11,2023-05-05,146,Graduated
comment,org.eclipse.mylyn,NA,2022-12-22,2022-12-22,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-12-26,2023-05-05,131,Graduated
comment,org.eclipse.mylyn,NA,2022-12-26,2022-12-26,1,Graduated
comment,org.eclipse.mylyn,NA,2022-12-27,2022-12-27,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-22,2023-02-22,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-23,2023-02-23,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-23,2023-02-23,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-23,2023-02-23,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-23,2023-02-23,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-23,2023-02-23,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-23,2023-02-23,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-12-30,2023-05-05,127,Graduated
comment,org.eclipse.mylyn,NA,2023-02-26,2023-02-26,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-12-30,2023-05-05,127,Graduated
comment,org.eclipse.mylyn,NA,2023-01-02,2023-01-02,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-02,2023-01-02,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-05,2023-01-05,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-20,2023-01-20,1,Graduated
comment,org.eclipse.mylyn,NA,2023-03-18,2023-03-18,1,Graduated
comment,org.eclipse.mylyn,NA,2023-03-31,2023-03-31,1,Graduated
comment,org.eclipse.mylyn,NA,2023-03-31,2023-03-31,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2022-12-30,2023-05-05,127,Graduated
comment,org.eclipse.mylyn,NA,2022-12-31,2022-12-31,1,Graduated
issue,org.eclipse.mylyn,OPEN,2022-12-30,2023-04-07,99,Graduated
comment,org.eclipse.mylyn,NA,2023-02-22,2023-02-22,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-07,2023-04-07,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-07,2023-04-07,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-01,2023-05-05,125,Graduated
comment,org.eclipse.mylyn,NA,2023-01-02,2023-01-02,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-03,2023-01-03,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-01,2023-05-05,125,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-01,2023-05-05,125,Graduated
comment,org.eclipse.mylyn,NA,2023-02-22,2023-02-22,1,Graduated
comment,org.eclipse.mylyn,NA,2023-03-15,2023-03-15,1,Graduated
comment,org.eclipse.mylyn,NA,2023-03-15,2023-03-15,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-01,2023-05-05,125,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-01,2023-11-14,318,Graduated
comment,org.eclipse.mylyn,NA,2023-03-31,2023-03-31,1,Graduated
comment,org.eclipse.mylyn,NA,2023-03-31,2023-03-31,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-02,2023-04-02,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-21,2023-04-21,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-21,2023-04-21,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-05,2023-11-05,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-13,2023-11-13,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-13,2023-11-13,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-13,2023-11-13,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-14,2023-11-14,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-02,2023-05-05,124,Graduated
comment,org.eclipse.mylyn,NA,2023-01-02,2023-01-02,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-04,2023-05-05,122,Graduated
comment,org.eclipse.mylyn,NA,2023-01-10,2023-01-10,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-06,2024-03-02,422,Graduated
comment,org.eclipse.mylyn,NA,2023-06-04,2023-06-04,1,Graduated
comment,org.eclipse.mylyn,NA,2023-06-04,2023-06-04,1,Graduated
comment,org.eclipse.mylyn,NA,2024-03-02,2024-03-02,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-06,2024-11-17,682,Graduated
comment,org.eclipse.mylyn,NA,2023-01-07,2023-01-07,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-09,2023-01-09,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-09,2023-01-09,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-09,2023-01-09,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-19,2023-04-19,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-22,2023-04-22,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-22,2023-04-22,1,Graduated
comment,org.eclipse.mylyn,NA,2023-06-07,2023-06-07,1,Graduated
comment,org.eclipse.mylyn,NA,2023-06-07,2023-06-07,1,Graduated
comment,org.eclipse.mylyn,NA,2023-06-07,2023-06-07,1,Graduated
comment,org.eclipse.mylyn,NA,2024-11-17,2024-11-17,1,Graduated
comment,org.eclipse.mylyn,NA,2024-11-17,2024-11-17,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-11,2023-04-14,94,Graduated
comment,org.eclipse.mylyn,NA,2023-01-13,2023-01-13,1,Graduated
comment,org.eclipse.mylyn,NA,2023-04-14,2023-04-14,1,Graduated
issue,org.eclipse.mylyn,OPEN,2023-01-29,2023-01-30,2,Graduated
comment,org.eclipse.mylyn,NA,2023-01-30,2023-01-30,1,Graduated
issue,org.eclipse.mylyn,OPEN,2023-01-29,2024-11-19,661,Graduated
comment,org.eclipse.mylyn,NA,2023-01-30,2023-01-30,1,Graduated
comment,org.eclipse.mylyn,NA,2023-01-30,2023-01-30,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-14,2023-02-14,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-07,2023-11-07,1,Graduated
comment,org.eclipse.mylyn,NA,2023-11-07,2023-11-07,1,Graduated
comment,org.eclipse.mylyn,NA,2024-08-19,2024-08-19,1,Graduated
comment,org.eclipse.mylyn,NA,2024-11-17,2024-11-17,1,Graduated
comment,org.eclipse.mylyn,NA,2024-11-17,2024-11-17,1,Graduated
comment,org.eclipse.mylyn,NA,2024-11-17,2024-11-17,1,Graduated
comment,org.eclipse.mylyn,NA,2024-11-19,2024-11-19,1,Graduated
issue,org.eclipse.mylyn,CLOSED,2023-01-31,2023-02-03,4,Graduated
comment,org.eclipse.mylyn,NA,2023-02-01,2023-02-01,1,Graduated
comment,org.eclipse.mylyn,NA,2023-02-01,2023-02-01,1,Graduated
