type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,org.eclipse.swtbot,CLOSED,2024-05-08,2024-06-14,38,Graduated
comment,org.eclipse.swtbot,NA,2024-05-09,2024-05-09,1,Graduated
comment,org.eclipse.swtbot,NA,2024-06-14,2024-06-14,1,Graduated
comment,org.eclipse.swtbot,NA,2024-06-14,2024-06-14,1,Graduated
issue,org.eclipse.swtbot,OPEN,2024-05-29,2024-06-14,17,Graduated
comment,org.eclipse.swtbot,NA,2024-05-29,2024-05-29,1,Graduated
comment,org.eclipse.swtbot,NA,2024-05-31,2024-05-31,1,Graduated
issue,org.eclipse.swtbot,CLOSED,2024-06-13,2024-06-25,13,Graduated
comment,org.eclipse.swtbot,NA,2024-06-14,2024-06-14,1,Graduated
comment,org.eclipse.swtbot,NA,2024-06-14,2024-06-14,1,Graduated
comment,org.eclipse.swtbot,NA,2024-06-14,2024-06-14,1,Graduated
comment,org.eclipse.swtbot,NA,2024-06-14,2024-06-14,1,Graduated
comment,org.eclipse.swtbot,NA,2024-06-25,2024-06-25,1,Graduated
issue,org.eclipse.swtbot,OPEN,2024-11-19,2024-11-19,1,Graduated
issue,org.eclipse.swtbot,OPEN,2024-11-20,2024-11-20,1,Graduated
