type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,org.eclipse.tracecompass,CLOSED,2024-02-09,2024-02-09,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-02-09,2024-02-09,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-02-09,2024-02-09,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-02-09,2024-02-16,8,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-02-09,2024-02-12,4,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-02-16,2024-03-19,33,Graduated
comment,org.eclipse.tracecompass,NA,2024-02-16,2024-02-16,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-02-17,2024-02-17,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-03-19,2024-03-19,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-03-20,2024-03-28,9,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-04-11,2024-04-12,2,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-04-12,2024-04-12,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-05-06,2024-07-20,76,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-06,2024-05-06,1,Graduated
issue,org.eclipse.tracecompass,OPEN,2024-05-06,2024-05-06,1,Graduated
issue,org.eclipse.tracecompass,OPEN,2024-05-06,2024-05-07,2,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-07,2024-05-07,1,Graduated
issue,org.eclipse.tracecompass,OPEN,2024-05-13,2024-05-13,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-05-14,2024-08-20,99,Graduated
comment,org.eclipse.tracecompass,NA,2024-08-20,2024-08-20,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-05-14,2024-08-20,99,Graduated
comment,org.eclipse.tracecompass,NA,2024-08-19,2024-08-19,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-05-16,2024-05-23,8,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-16,2024-05-16,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-17,2024-05-17,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-22,2024-05-22,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-23,2024-05-23,1,Graduated
issue,org.eclipse.tracecompass,OPEN,2024-05-22,2024-05-22,1,Graduated
issue,org.eclipse.tracecompass,OPEN,2024-05-23,2024-05-24,2,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-23,2024-05-23,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
issue,org.eclipse.tracecompass,CLOSED,2024-05-23,2024-05-24,2,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-23,2024-05-23,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
comment,org.eclipse.tracecompass,NA,2024-05-24,2024-05-24,1,Graduated
