type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2017-04-22,444,Graduated
comment,paho.mqtt.python,NA,2017-04-22,2017-04-22,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-05-23,110,Graduated
comment,paho.mqtt.python,NA,2016-05-23,2016-05-23,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
comment,paho.mqtt.python,NA,2016-02-05,2016-02-05,1,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2017-01-05,337,Graduated
comment,paho.mqtt.python,NA,2017-01-05,2017-01-05,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2017-05-17,469,Graduated
comment,paho.mqtt.python,NA,2017-02-03,2017-02-03,1,Graduated
comment,paho.mqtt.python,NA,2017-02-03,2017-02-03,1,Graduated
comment,paho.mqtt.python,NA,2017-02-09,2017-02-09,1,Graduated
comment,paho.mqtt.python,NA,2017-04-22,2017-04-22,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
comment,paho.mqtt.python,NA,2016-04-19,2016-04-19,1,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-06-01,119,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2017-05-17,469,Graduated
comment,paho.mqtt.python,NA,2016-06-24,2016-06-24,1,Graduated
comment,paho.mqtt.python,NA,2017-04-22,2017-04-22,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-11-30,301,Graduated
comment,paho.mqtt.python,NA,2016-07-27,2016-07-27,1,Graduated
comment,paho.mqtt.python,NA,2016-11-30,2016-11-30,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-05-26,113,Graduated
comment,paho.mqtt.python,NA,2016-05-26,2016-05-26,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-05-26,113,Graduated
comment,paho.mqtt.python,NA,2016-05-26,2016-05-26,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-05-26,113,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-02-04,2016-02-04,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-03-18,2016-05-31,75,Graduated
comment,paho.mqtt.python,NA,2016-03-18,2016-03-18,1,Graduated
comment,paho.mqtt.python,NA,2016-03-18,2016-03-18,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-04-03,2016-06-10,69,Graduated
comment,paho.mqtt.python,NA,2016-06-01,2016-06-01,1,Graduated
comment,paho.mqtt.python,NA,2016-06-10,2016-06-10,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-04-20,2016-05-31,42,Graduated
comment,paho.mqtt.python,NA,2016-04-20,2016-04-20,1,Graduated
comment,paho.mqtt.python,NA,2016-04-20,2016-04-20,1,Graduated
comment,paho.mqtt.python,NA,2016-04-20,2016-04-20,1,Graduated
comment,paho.mqtt.python,NA,2016-05-26,2016-05-26,1,Graduated
issue,paho.mqtt.python,CLOSED,2016-04-20,2016-05-31,42,Graduated
