type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,passage,CLOSED,2019-09-30,2019-10-01,2,Graduated
comment,passage,NA,2019-10-01,2019-10-01,1,Graduated
issue,passage,CLOSED,2019-10-02,2019-10-25,24,Graduated
comment,passage,NA,2019-10-02,2019-10-02,1,Graduated
comment,passage,NA,2019-10-23,2019-10-23,1,Graduated
comment,passage,NA,2019-10-23,2019-10-23,1,Graduated
comment,passage,NA,2019-10-25,2019-10-25,1,Graduated
issue,passage,CLOSED,2019-10-02,2019-11-24,54,Graduated
comment,passage,NA,2019-10-26,2019-10-26,1,Graduated
comment,passage,NA,2019-10-26,2019-10-26,1,Graduated
comment,passage,NA,2019-11-24,2019-11-24,1,Graduated
issue,passage,CLOSED,2019-10-03,2019-10-23,21,Graduated
comment,passage,NA,2019-10-04,2019-10-04,1,Graduated
comment,passage,NA,2019-10-23,2019-10-23,1,Graduated
issue,passage,CLOSED,2019-11-10,2019-11-10,1,Graduated
comment,passage,NA,2019-11-10,2019-11-10,1,Graduated
issue,passage,OPEN,2019-12-09,2021-03-21,469,Graduated
comment,passage,NA,2021-03-21,2021-03-21,1,Graduated
comment,passage,NA,2021-03-21,2021-03-21,1,Graduated
issue,passage,CLOSED,2019-12-10,2020-06-09,183,Graduated
comment,passage,NA,2020-06-09,2020-06-09,1,Graduated
issue,passage,CLOSED,2019-12-11,2020-06-09,182,Graduated
comment,passage,NA,2019-12-14,2019-12-14,1,Graduated
comment,passage,NA,2020-06-09,2020-06-09,1,Graduated
issue,passage,CLOSED,2020-01-22,2020-01-23,2,Graduated
comment,passage,NA,2020-01-23,2020-01-23,1,Graduated
issue,passage,CLOSED,2020-01-26,2020-03-22,57,Graduated
comment,passage,NA,2020-03-22,2020-03-22,1,Graduated
issue,passage,CLOSED,2020-01-28,2024-02-29,1494,Graduated
comment,passage,NA,2020-01-29,2020-01-29,1,Graduated
comment,passage,NA,2020-08-16,2020-08-16,1,Graduated
comment,passage,NA,2020-08-16,2020-08-16,1,Graduated
issue,passage,CLOSED,2020-06-22,2021-08-02,407,Graduated
comment,passage,NA,2020-06-23,2020-06-23,1,Graduated
comment,passage,NA,2021-08-02,2021-08-02,1,Graduated
issue,passage,CLOSED,2020-06-23,2021-04-01,283,Graduated
comment,passage,NA,2020-06-23,2020-06-23,1,Graduated
comment,passage,NA,2020-06-24,2020-06-24,1,Graduated
comment,passage,NA,2020-06-24,2020-06-24,1,Graduated
comment,passage,NA,2021-04-01,2021-04-01,1,Graduated
issue,passage,CLOSED,2020-07-05,2020-07-08,4,Graduated
comment,passage,NA,2020-07-08,2020-07-08,1,Graduated
issue,passage,CLOSED,2020-07-30,2020-08-05,7,Graduated
