type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,pdt,OPEN,2020-05-13,2020-05-17,5,Graduated
comment,pdt,NA,2020-05-17,2020-05-17,1,Graduated
issue,pdt,OPEN,2020-05-14,2020-06-13,31,Graduated
comment,pdt,NA,2020-05-14,2020-05-14,1,Graduated
comment,pdt,NA,2020-05-14,2020-05-14,1,Graduated
comment,pdt,NA,2020-05-14,2020-05-14,1,Graduated
comment,pdt,NA,2020-05-14,2020-05-14,1,Graduated
comment,pdt,NA,2020-05-14,2020-05-14,1,Graduated
comment,pdt,NA,2020-06-13,2020-06-13,1,Graduated
issue,pdt,CLOSED,2020-05-18,2020-05-18,1,Graduated
comment,pdt,NA,2020-05-18,2020-05-18,1,Graduated
issue,pdt,OPEN,2020-05-19,2020-05-19,1,Graduated
issue,pdt,OPEN,2020-05-21,2020-05-21,1,Graduated
issue,pdt,CLOSED,2020-05-22,2020-05-23,2,Graduated
comment,pdt,NA,2020-05-22,2020-05-22,1,Graduated
comment,pdt,NA,2020-05-22,2020-05-22,1,Graduated
comment,pdt,NA,2020-05-22,2020-05-22,1,Graduated
comment,pdt,NA,2020-05-22,2020-05-22,1,Graduated
comment,pdt,NA,2020-05-23,2020-05-23,1,Graduated
comment,pdt,NA,2020-05-23,2020-05-23,1,Graduated
issue,pdt,OPEN,2020-06-02,2022-08-01,791,Graduated
comment,pdt,NA,2020-06-02,2020-06-02,1,Graduated
comment,pdt,NA,2020-06-02,2020-06-02,1,Graduated
comment,pdt,NA,2020-06-02,2020-06-02,1,Graduated
comment,pdt,NA,2020-06-02,2020-06-02,1,Graduated
comment,pdt,NA,2021-05-07,2021-05-07,1,Graduated
comment,pdt,NA,2021-10-25,2021-10-25,1,Graduated
comment,pdt,NA,2021-10-25,2021-10-25,1,Graduated
comment,pdt,NA,2022-06-02,2022-06-02,1,Graduated
comment,pdt,NA,2022-07-31,2022-07-31,1,Graduated
comment,pdt,NA,2022-08-01,2022-08-01,1,Graduated
issue,pdt,CLOSED,2020-06-09,2020-06-11,3,Graduated
issue,pdt,OPEN,2020-06-14,2020-06-14,1,Graduated
comment,pdt,NA,2020-06-14,2020-06-14,1,Graduated
comment,pdt,NA,2020-06-14,2020-06-14,1,Graduated
comment,pdt,NA,2020-06-14,2020-06-14,1,Graduated
comment,pdt,NA,2020-06-14,2020-06-14,1,Graduated
issue,pdt,OPEN,2020-06-14,2020-06-14,1,Graduated
comment,pdt,NA,2020-06-14,2020-06-14,1,Graduated
issue,pdt,OPEN,2020-06-16,2020-06-25,10,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
issue,pdt,OPEN,2020-06-17,2023-10-13,1214,Graduated
issue,pdt,CLOSED,2020-06-18,2020-06-20,3,Graduated
issue,pdt,OPEN,2020-06-25,2020-07-02,8,Graduated
comment,pdt,NA,2020-06-25,2020-06-25,1,Graduated
comment,pdt,NA,2020-06-26,2020-06-26,1,Graduated
comment,pdt,NA,2020-06-26,2020-06-26,1,Graduated
comment,pdt,NA,2020-07-02,2020-07-02,1,Graduated
issue,pdt,CLOSED,2020-07-02,2023-05-22,1055,Graduated
comment,pdt,NA,2020-07-10,2020-07-10,1,Graduated
comment,pdt,NA,2020-07-10,2020-07-10,1,Graduated
comment,pdt,NA,2020-07-10,2020-07-10,1,Graduated
comment,pdt,NA,2020-07-10,2020-07-10,1,Graduated
comment,pdt,NA,2020-08-10,2020-08-10,1,Graduated
comment,pdt,NA,2020-09-16,2020-09-16,1,Graduated
comment,pdt,NA,2020-09-16,2020-09-16,1,Graduated
comment,pdt,NA,2020-09-16,2020-09-16,1,Graduated
issue,pdt,CLOSED,2020-07-03,2020-07-11,9,Graduated
comment,pdt,NA,2020-07-10,2020-07-10,1,Graduated
comment,pdt,NA,2020-07-10,2020-07-10,1,Graduated
comment,pdt,NA,2020-07-11,2020-07-11,1,Graduated
issue,pdt,CLOSED,2020-07-03,2023-06-09,1072,Graduated
comment,pdt,NA,2021-06-05,2021-06-05,1,Graduated
comment,pdt,NA,2023-01-02,2023-01-02,1,Graduated
comment,pdt,NA,2023-06-09,2023-06-09,1,Graduated
comment,pdt,NA,2023-06-09,2023-06-09,1,Graduated
comment,pdt,NA,2023-06-09,2023-06-09,1,Graduated
comment,pdt,NA,2023-06-09,2023-06-09,1,Graduated
