type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,pekko,CLOSED,2022-11-03,2023-05-24,203,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-03,2022-11-03,1,Graduated
comment,pekko,NA,2022-11-04,2022-11-04,1,Graduated
comment,pekko,NA,2022-11-04,2022-11-04,1,Graduated
comment,pekko,NA,2023-03-21,2023-03-21,1,Graduated
comment,pekko,NA,2023-03-21,2023-03-21,1,Graduated
comment,pekko,NA,2023-03-22,2023-03-22,1,Graduated
comment,pekko,NA,2023-03-23,2023-03-23,1,Graduated
comment,pekko,NA,2023-03-23,2023-03-23,1,Graduated
comment,pekko,NA,2023-03-24,2023-03-24,1,Graduated
comment,pekko,NA,2023-03-24,2023-03-24,1,Graduated
comment,pekko,NA,2023-03-24,2023-03-24,1,Graduated
comment,pekko,NA,2023-03-27,2023-03-27,1,Graduated
comment,pekko,NA,2023-03-27,2023-03-27,1,Graduated
comment,pekko,NA,2023-03-28,2023-03-28,1,Graduated
comment,pekko,NA,2023-03-28,2023-03-28,1,Graduated
comment,pekko,NA,2023-04-04,2023-04-04,1,Graduated
comment,pekko,NA,2023-04-04,2023-04-04,1,Graduated
comment,pekko,NA,2023-04-04,2023-04-04,1,Graduated
comment,pekko,NA,2023-04-04,2023-04-04,1,Graduated
comment,pekko,NA,2023-05-24,2023-05-24,1,Graduated
issue,pekko,CLOSED,2022-11-03,2023-06-13,223,Graduated
comment,pekko,NA,2023-03-27,2023-03-27,1,Graduated
comment,pekko,NA,2023-03-27,2023-03-27,1,Graduated
comment,pekko,NA,2023-03-27,2023-03-27,1,Graduated
comment,pekko,NA,2023-04-17,2023-04-17,1,Graduated
issue,pekko,CLOSED,2022-11-04,2022-11-05,2,Graduated
comment,pekko,NA,2022-11-04,2022-11-04,1,Graduated
comment,pekko,NA,2022-11-04,2022-11-04,1,Graduated
comment,pekko,NA,2022-11-05,2022-11-05,1,Graduated
issue,pekko,CLOSED,2022-11-04,2023-01-05,63,Graduated
comment,pekko,NA,2022-11-04,2022-11-04,1,Graduated
comment,pekko,NA,2022-11-04,2022-11-04,1,Graduated
comment,pekko,NA,2022-11-12,2022-11-12,1,Graduated
comment,pekko,NA,2023-01-05,2023-01-05,1,Graduated
issue,pekko,CLOSED,2022-11-05,2022-12-06,32,Graduated
comment,pekko,NA,2022-12-06,2022-12-06,1,Graduated
issue,pekko,CLOSED,2022-11-05,2023-01-05,62,Graduated
issue,pekko,CLOSED,2022-11-05,2023-01-05,62,Graduated
comment,pekko,NA,2022-11-07,2022-11-07,1,Graduated
comment,pekko,NA,2022-12-03,2022-12-03,1,Graduated
comment,pekko,NA,2022-12-03,2022-12-03,1,Graduated
comment,pekko,NA,2022-12-03,2022-12-03,1,Graduated
comment,pekko,NA,2022-12-03,2022-12-03,1,Graduated
comment,pekko,NA,2022-12-16,2022-12-16,1,Graduated
comment,pekko,NA,2023-01-05,2023-01-05,1,Graduated
issue,pekko,OPEN,2022-11-05,2023-10-23,353,Graduated
comment,pekko,NA,2022-11-07,2022-11-07,1,Graduated
comment,pekko,NA,2022-11-07,2022-11-07,1,Graduated
comment,pekko,NA,2022-12-16,2022-12-16,1,Graduated
comment,pekko,NA,2023-03-07,2023-03-07,1,Graduated
comment,pekko,NA,2023-04-13,2023-04-13,1,Graduated
comment,pekko,NA,2023-04-13,2023-04-13,1,Graduated
comment,pekko,NA,2023-04-17,2023-04-17,1,Graduated
comment,pekko,NA,2023-05-24,2023-05-24,1,Graduated
comment,pekko,NA,2023-05-28,2023-05-28,1,Graduated
comment,pekko,NA,2023-05-28,2023-05-28,1,Graduated
comment,pekko,NA,2023-05-28,2023-05-28,1,Graduated
comment,pekko,NA,2023-05-30,2023-05-30,1,Graduated
comment,pekko,NA,2023-10-23,2023-10-23,1,Graduated
issue,pekko,OPEN,2022-11-06,2023-03-13,128,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
issue,pekko,CLOSED,2022-11-06,2023-05-23,199,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2022-11-06,2022-11-06,1,Graduated
comment,pekko,NA,2023-04-13,2023-04-13,1,Graduated
comment,pekko,NA,2023-04-13,2023-04-13,1,Graduated
comment,pekko,NA,2023-05-23,2023-05-23,1,Graduated
issue,pekko,CLOSED,2022-11-07,2023-01-05,60,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
comment,pekko,NA,2022-11-08,2022-11-08,1,Graduated
