type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,shenyu,CLOSED,2018-11-23,2020-09-02,650,Graduated
comment,shenyu,NA,2018-11-23,2018-11-23,1,Graduated
comment,shenyu,NA,2019-09-21,2019-09-21,1,Graduated
comment,shenyu,NA,2019-12-02,2019-12-02,1,Graduated
comment,shenyu,NA,2019-12-02,2019-12-02,1,Graduated
comment,shenyu,NA,2019-12-04,2019-12-04,1,Graduated
issue,shenyu,CLOSED,2018-11-25,2018-12-20,26,Graduated
comment,shenyu,NA,2018-11-28,2018-11-28,1,Graduated
comment,shenyu,NA,2018-11-28,2018-11-28,1,Graduated
comment,shenyu,NA,2018-11-28,2018-11-28,1,Graduated
comment,shenyu,NA,2018-11-28,2018-11-28,1,Graduated
comment,shenyu,NA,2018-12-20,2018-12-20,1,Graduated
comment,shenyu,NA,2018-12-20,2018-12-20,1,Graduated
issue,shenyu,CLOSED,2018-11-26,2020-09-02,647,Graduated
comment,shenyu,NA,2018-12-13,2018-12-13,1,Graduated
issue,shenyu,CLOSED,2018-11-26,2020-09-02,647,Graduated
comment,shenyu,NA,2018-11-28,2018-11-28,1,Graduated
comment,shenyu,NA,2018-12-30,2018-12-30,1,Graduated
issue,shenyu,CLOSED,2018-11-29,2018-12-25,27,Graduated
comment,shenyu,NA,2018-11-29,2018-11-29,1,Graduated
comment,shenyu,NA,2018-12-04,2018-12-04,1,Graduated
comment,shenyu,NA,2018-12-14,2018-12-14,1,Graduated
issue,shenyu,CLOSED,2018-12-04,2020-09-02,639,Graduated
comment,shenyu,NA,2018-12-04,2018-12-04,1,Graduated
issue,shenyu,CLOSED,2018-12-06,2019-09-08,277,Graduated
comment,shenyu,NA,2018-12-13,2018-12-13,1,Graduated
issue,shenyu,CLOSED,2018-12-13,2020-09-02,630,Graduated
comment,shenyu,NA,2018-12-13,2018-12-13,1,Graduated
comment,shenyu,NA,2019-09-04,2019-09-04,1,Graduated
issue,shenyu,CLOSED,2018-12-13,2020-09-02,630,Graduated
comment,shenyu,NA,2018-12-13,2018-12-13,1,Graduated
issue,shenyu,CLOSED,2018-12-17,2018-12-17,1,Graduated
comment,shenyu,NA,2018-12-17,2018-12-17,1,Graduated
comment,shenyu,NA,2018-12-17,2018-12-17,1,Graduated
issue,shenyu,CLOSED,2018-12-25,2018-12-28,4,Graduated
comment,shenyu,NA,2018-12-25,2018-12-25,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
comment,shenyu,NA,2018-12-26,2018-12-26,1,Graduated
issue,shenyu,CLOSED,2018-12-26,2020-09-02,617,Graduated
comment,shenyu,NA,2019-03-19,2019-03-19,1,Graduated
issue,shenyu,CLOSED,2018-12-28,2020-09-02,615,Graduated
comment,shenyu,NA,2018-12-28,2018-12-28,1,Graduated
comment,shenyu,NA,2018-12-28,2018-12-28,1,Graduated
comment,shenyu,NA,2018-12-28,2018-12-28,1,Graduated
comment,shenyu,NA,2018-12-28,2018-12-28,1,Graduated
comment,shenyu,NA,2018-12-28,2018-12-28,1,Graduated
issue,shenyu,CLOSED,2019-01-07,2020-09-02,605,Graduated
comment,shenyu,NA,2019-01-07,2019-01-07,1,Graduated
issue,shenyu,CLOSED,2019-01-11,2020-09-02,601,Graduated
comment,shenyu,NA,2019-01-14,2019-01-14,1,Graduated
issue,shenyu,CLOSED,2019-01-25,2020-09-02,587,Graduated
comment,shenyu,NA,2019-03-19,2019-03-19,1,Graduated
