type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,sirius-web,CLOSED,2018-04-13,2018-04-16,4,Graduated
comment,sirius-web,NA,2018-04-16,2018-04-16,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-17,3,Graduated
comment,sirius-web,NA,2018-04-17,2018-04-17,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-16,2,Graduated
comment,sirius-web,NA,2018-04-16,2018-04-16,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-18,4,Graduated
comment,sirius-web,NA,2018-04-18,2018-04-18,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-18,4,Graduated
comment,sirius-web,NA,2018-04-18,2018-04-18,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-18,4,Graduated
comment,sirius-web,NA,2018-04-18,2018-04-18,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-19,5,Graduated
comment,sirius-web,NA,2018-04-19,2018-04-19,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-19,5,Graduated
comment,sirius-web,NA,2018-04-19,2018-04-19,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-20,6,Graduated
comment,sirius-web,NA,2018-04-20,2018-04-20,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-20,6,Graduated
comment,sirius-web,NA,2018-04-20,2018-04-20,1,Graduated
issue,sirius-web,CLOSED,2018-04-15,2018-04-19,5,Graduated
comment,sirius-web,NA,2018-04-19,2018-04-19,1,Graduated
issue,sirius-web,CLOSED,2018-04-19,2018-04-28,10,Graduated
comment,sirius-web,NA,2018-04-28,2018-04-28,1,Graduated
issue,sirius-web,CLOSED,2018-04-19,2018-04-20,2,Graduated
comment,sirius-web,NA,2018-04-20,2018-04-20,1,Graduated
issue,sirius-web,CLOSED,2018-04-19,2018-04-25,7,Graduated
comment,sirius-web,NA,2018-04-25,2018-04-25,1,Graduated
issue,sirius-web,CLOSED,2018-04-20,2020-10-28,923,Graduated
issue,sirius-web,CLOSED,2018-04-20,2018-04-24,5,Graduated
comment,sirius-web,NA,2018-04-24,2018-04-24,1,Graduated
issue,sirius-web,CLOSED,2018-04-20,2018-04-20,1,Graduated
comment,sirius-web,NA,2018-04-20,2018-04-20,1,Graduated
issue,sirius-web,CLOSED,2018-04-20,2018-05-15,26,Graduated
comment,sirius-web,NA,2018-05-15,2018-05-15,1,Graduated
issue,sirius-web,CLOSED,2018-04-24,2020-10-28,919,Graduated
issue,sirius-web,CLOSED,2018-04-25,2018-05-15,21,Graduated
comment,sirius-web,NA,2018-05-15,2018-05-15,1,Graduated
issue,sirius-web,CLOSED,2018-04-27,2018-05-02,6,Graduated
comment,sirius-web,NA,2018-05-02,2018-05-02,1,Graduated
issue,sirius-web,CLOSED,2018-04-27,2018-05-03,7,Graduated
comment,sirius-web,NA,2018-05-03,2018-05-03,1,Graduated
issue,sirius-web,CLOSED,2018-04-27,2020-10-28,916,Graduated
issue,sirius-web,CLOSED,2018-05-02,2018-05-03,2,Graduated
comment,sirius-web,NA,2018-05-03,2018-05-03,1,Graduated
comment,sirius-web,NA,2018-05-03,2018-05-03,1,Graduated
issue,sirius-web,CLOSED,2018-05-03,2018-05-16,14,Graduated
comment,sirius-web,NA,2018-05-16,2018-05-16,1,Graduated
issue,sirius-web,CLOSED,2018-05-14,2018-05-14,1,Graduated
comment,sirius-web,NA,2018-05-14,2018-05-14,1,Graduated
issue,sirius-web,CLOSED,2018-05-14,2018-05-14,1,Graduated
comment,sirius-web,NA,2018-05-14,2018-05-14,1,Graduated
issue,sirius-web,CLOSED,2018-05-14,2018-05-14,1,Graduated
comment,sirius-web,NA,2018-05-14,2018-05-14,1,Graduated
issue,sirius-web,CLOSED,2018-05-14,2018-11-15,186,Graduated
comment,sirius-web,NA,2018-11-15,2018-11-15,1,Graduated
issue,sirius-web,CLOSED,2018-05-14,2018-11-14,185,Graduated
comment,sirius-web,NA,2018-11-14,2018-11-14,1,Graduated
issue,sirius-web,CLOSED,2018-05-15,2020-10-28,898,Graduated
comment,sirius-web,NA,2018-05-15,2018-05-15,1,Graduated
issue,sirius-web,CLOSED,2018-05-15,2020-10-28,898,Graduated
comment,sirius-web,NA,2018-05-25,2018-05-25,1,Graduated
issue,sirius-web,CLOSED,2018-05-15,2020-10-28,898,Graduated
issue,sirius-web,CLOSED,2018-05-15,2018-05-15,1,Graduated
comment,sirius-web,NA,2018-05-15,2018-05-15,1,Graduated
issue,sirius-web,CLOSED,2018-05-16,2018-08-08,85,Graduated
comment,sirius-web,NA,2018-05-25,2018-05-25,1,Graduated
comment,sirius-web,NA,2018-05-31,2018-05-31,1,Graduated
comment,sirius-web,NA,2018-08-08,2018-08-08,1,Graduated
issue,sirius-web,CLOSED,2018-05-23,2020-10-28,890,Graduated
