type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,skywalking,CLOSED,2015-11-23,2017-12-12,751,Graduated
comment,skywalking,NA,2015-11-24,2015-11-24,1,Graduated
comment,skywalking,NA,2015-11-30,2015-11-30,1,Graduated
comment,skywalking,NA,2015-12-01,2015-12-01,1,Graduated
comment,skywalking,NA,2016-08-18,2016-08-18,1,Graduated
issue,skywalking,CLOSED,2015-11-26,2017-12-12,748,Graduated
comment,skywalking,NA,2015-12-01,2015-12-01,1,Graduated
comment,skywalking,NA,2015-12-04,2015-12-04,1,Graduated
comment,skywalking,NA,2015-12-04,2015-12-04,1,Graduated
comment,skywalking,NA,2015-12-07,2015-12-07,1,Graduated
issue,skywalking,CLOSED,2015-12-01,2017-12-12,743,Graduated
comment,skywalking,NA,2015-12-01,2015-12-01,1,Graduated
issue,skywalking,CLOSED,2015-12-04,2015-12-22,19,Graduated
comment,skywalking,NA,2015-12-21,2015-12-21,1,Graduated
comment,skywalking,NA,2015-12-22,2015-12-22,1,Graduated
comment,skywalking,NA,2015-12-22,2015-12-22,1,Graduated
issue,skywalking,CLOSED,2015-12-04,2017-12-12,740,Graduated
comment,skywalking,NA,2015-12-06,2015-12-06,1,Graduated
comment,skywalking,NA,2015-12-07,2015-12-07,1,Graduated
issue,skywalking,CLOSED,2015-12-14,2015-12-17,4,Graduated
comment,skywalking,NA,2015-12-16,2015-12-16,1,Graduated
comment,skywalking,NA,2015-12-16,2015-12-16,1,Graduated
comment,skywalking,NA,2015-12-17,2015-12-17,1,Graduated
issue,skywalking,CLOSED,2015-12-15,2017-12-12,729,Graduated
comment,skywalking,NA,2015-12-21,2015-12-21,1,Graduated
comment,skywalking,NA,2015-12-22,2015-12-22,1,Graduated
comment,skywalking,NA,2015-12-31,2015-12-31,1,Graduated
issue,skywalking,CLOSED,2015-12-15,2017-12-12,729,Graduated
comment,skywalking,NA,2015-12-21,2015-12-21,1,Graduated
comment,skywalking,NA,2015-12-22,2015-12-22,1,Graduated
issue,skywalking,CLOSED,2015-12-21,2017-12-12,723,Graduated
comment,skywalking,NA,2015-12-21,2015-12-21,1,Graduated
comment,skywalking,NA,2015-12-21,2015-12-21,1,Graduated
comment,skywalking,NA,2015-12-31,2015-12-31,1,Graduated
comment,skywalking,NA,2016-01-02,2016-01-02,1,Graduated
comment,skywalking,NA,2016-01-04,2016-01-04,1,Graduated
issue,skywalking,CLOSED,2015-12-21,2017-12-12,723,Graduated
comment,skywalking,NA,2015-12-21,2015-12-21,1,Graduated
comment,skywalking,NA,2016-08-18,2016-08-18,1,Graduated
issue,skywalking,CLOSED,2015-12-23,2017-12-12,721,Graduated
comment,skywalking,NA,2016-07-14,2016-07-14,1,Graduated
issue,skywalking,CLOSED,2015-12-24,2015-12-25,2,Graduated
comment,skywalking,NA,2015-12-25,2015-12-25,1,Graduated
issue,skywalking,CLOSED,2015-12-24,2015-12-24,1,Graduated
comment,skywalking,NA,2015-12-24,2015-12-24,1,Graduated
comment,skywalking,NA,2015-12-24,2015-12-24,1,Graduated
issue,skywalking,CLOSED,2015-12-24,2015-12-24,1,Graduated
comment,skywalking,NA,2015-12-24,2015-12-24,1,Graduated
issue,skywalking,CLOSED,2015-12-24,2017-12-12,720,Graduated
comment,skywalking,NA,2015-12-25,2015-12-25,1,Graduated
comment,skywalking,NA,2015-12-25,2015-12-25,1,Graduated
issue,skywalking,CLOSED,2015-12-24,2016-07-14,204,Graduated
