type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,smarthome,CLOSED,2015-12-02,2016-02-09,70,Retired
comment,smarthome,NA,2015-12-07,2015-12-07,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2015-12-08,2015-12-08,1,Retired
comment,smarthome,NA,2016-02-09,2016-02-09,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-04-17,137,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-04-28,148,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-04-13,133,Retired
issue,smarthome,CLOSED,2015-12-03,2016-11-02,336,Retired
comment,smarthome,NA,2016-01-05,2016-01-05,1,Retired
comment,smarthome,NA,2016-01-07,2016-01-07,1,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
comment,smarthome,NA,2016-04-17,2016-04-17,1,Retired
comment,smarthome,NA,2016-11-02,2016-11-02,1,Retired
comment,smarthome,NA,2016-11-02,2016-11-02,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-02-09,69,Retired
comment,smarthome,NA,2016-02-09,2016-02-09,1,Retired
issue,smarthome,CLOSED,2015-12-03,2017-09-05,643,Retired
comment,smarthome,NA,2016-02-23,2016-02-23,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-05-25,175,Retired
comment,smarthome,NA,2016-05-25,2016-05-25,1,Retired
comment,smarthome,NA,2016-05-25,2016-05-25,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-03-08,97,Retired
comment,smarthome,NA,2015-12-03,2015-12-03,1,Retired
comment,smarthome,NA,2016-03-08,2016-03-08,1,Retired
issue,smarthome,CLOSED,2015-12-03,2015-12-03,1,Retired
comment,smarthome,NA,2015-12-03,2015-12-03,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-12-19,383,Retired
comment,smarthome,NA,2016-11-02,2016-11-02,1,Retired
comment,smarthome,NA,2016-12-19,2016-12-19,1,Retired
issue,smarthome,CLOSED,2015-12-03,2015-12-03,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-12-19,383,Retired
comment,smarthome,NA,2016-12-19,2016-12-19,1,Retired
issue,smarthome,OPEN,2015-12-03,2018-06-05,916,Retired
comment,smarthome,NA,2016-06-07,2016-06-07,1,Retired
comment,smarthome,NA,2016-06-12,2016-06-12,1,Retired
comment,smarthome,NA,2016-06-12,2016-06-12,1,Retired
comment,smarthome,NA,2018-06-05,2018-06-05,1,Retired
comment,smarthome,NA,2018-06-05,2018-06-05,1,Retired
comment,smarthome,NA,2018-06-05,2018-06-05,1,Retired
comment,smarthome,NA,2018-06-05,2018-06-05,1,Retired
issue,smarthome,OPEN,2015-12-03,2015-12-03,1,Retired
issue,smarthome,CLOSED,2015-12-03,2016-11-02,336,Retired
comment,smarthome,NA,2016-03-28,2016-03-28,1,Retired
comment,smarthome,NA,2016-05-13,2016-05-13,1,Retired
comment,smarthome,NA,2016-05-13,2016-05-13,1,Retired
comment,smarthome,NA,2016-05-13,2016-05-13,1,Retired
comment,smarthome,NA,2016-06-07,2016-06-07,1,Retired
comment,smarthome,NA,2016-06-07,2016-06-07,1,Retired
comment,smarthome,NA,2016-06-13,2016-06-13,1,Retired
comment,smarthome,NA,2016-06-13,2016-06-13,1,Retired
comment,smarthome,NA,2016-06-13,2016-06-13,1,Retired
comment,smarthome,NA,2016-06-13,2016-06-13,1,Retired
comment,smarthome,NA,2016-06-13,2016-06-13,1,Retired
comment,smarthome,NA,2016-06-14,2016-06-14,1,Retired
comment,smarthome,NA,2016-06-14,2016-06-14,1,Retired
comment,smarthome,NA,2016-06-15,2016-06-15,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-16,2016-06-16,1,Retired
comment,smarthome,NA,2016-06-18,2016-06-18,1,Retired
comment,smarthome,NA,2016-11-02,2016-11-02,1,Retired
comment,smarthome,NA,2016-11-02,2016-11-02,1,Retired
issue,smarthome,OPEN,2015-12-03,2015-12-03,1,Retired
issue,smarthome,OPEN,2015-12-03,2019-02-08,1164,Retired
comment,smarthome,NA,2016-01-07,2016-01-07,1,Retired
comment,smarthome,NA,2016-01-25,2016-01-25,1,Retired
comment,smarthome,NA,2016-01-26,2016-01-26,1,Retired
comment,smarthome,NA,2016-02-17,2016-02-17,1,Retired
comment,smarthome,NA,2016-04-19,2016-04-19,1,Retired
comment,smarthome,NA,2016-04-25,2016-04-25,1,Retired
comment,smarthome,NA,2016-04-25,2016-04-25,1,Retired
comment,smarthome,NA,2016-04-27,2016-04-27,1,Retired
comment,smarthome,NA,2016-05-06,2016-05-06,1,Retired
comment,smarthome,NA,2016-05-06,2016-05-06,1,Retired
comment,smarthome,NA,2016-05-06,2016-05-06,1,Retired
comment,smarthome,NA,2016-05-07,2016-05-07,1,Retired
comment,smarthome,NA,2016-05-08,2016-05-08,1,Retired
comment,smarthome,NA,2016-05-08,2016-05-08,1,Retired
comment,smarthome,NA,2016-05-08,2016-05-08,1,Retired
comment,smarthome,NA,2016-05-23,2016-05-23,1,Retired
