type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,streampipes,CLOSED,2018-09-13,2018-10-14,32,Graduated
comment,streampipes,NA,2018-09-17,2018-09-17,1,Graduated
comment,streampipes,NA,2018-09-17,2018-09-17,1,Graduated
comment,streampipes,NA,2018-09-23,2018-09-23,1,Graduated
issue,streampipes,CLOSED,2019-01-04,2019-03-06,62,Graduated
comment,streampipes,NA,2019-01-16,2019-01-16,1,Graduated
comment,streampipes,NA,2019-03-06,2019-03-06,1,Graduated
issue,streampipes,CLOSED,2019-03-06,2019-04-05,31,Graduated
comment,streampipes,NA,2019-03-06,2019-03-06,1,Graduated
comment,streampipes,NA,2019-03-07,2019-03-07,1,Graduated
comment,streampipes,NA,2019-04-05,2019-04-05,1,Graduated
issue,streampipes,CLOSED,2019-03-06,2019-03-06,1,Graduated
comment,streampipes,NA,2019-03-06,2019-03-06,1,Graduated
issue,streampipes,CLOSED,2019-11-06,2020-01-28,84,Graduated
comment,streampipes,NA,2019-11-07,2019-11-07,1,Graduated
comment,streampipes,NA,2019-11-13,2019-11-13,1,Graduated
comment,streampipes,NA,2019-11-13,2019-11-13,1,Graduated
issue,streampipes,CLOSED,2019-11-12,2020-01-28,78,Graduated
issue,streampipes,CLOSED,2019-12-31,2020-01-28,29,Graduated
comment,streampipes,NA,2019-12-31,2019-12-31,1,Graduated
comment,streampipes,NA,2020-01-28,2020-01-28,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-25,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
issue,streampipes,CLOSED,2022-11-25,2022-11-26,2,Graduated
comment,streampipes,NA,2022-11-26,2022-11-26,1,Graduated
