type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,superset,CLOSED,2015-07-22,2015-07-22,1,Graduated
comment,superset,NA,2015-07-22,2015-07-22,1,Graduated
comment,superset,NA,2015-07-22,2015-07-22,1,Graduated
comment,superset,NA,2015-07-22,2015-07-22,1,Graduated
issue,superset,CLOSED,2015-07-22,2015-07-22,1,Graduated
comment,superset,NA,2015-07-22,2015-07-22,1,Graduated
issue,superset,CLOSED,2015-07-23,2015-07-24,2,Graduated
comment,superset,NA,2015-07-24,2015-07-24,1,Graduated
comment,superset,NA,2015-07-24,2015-07-24,1,Graduated
comment,superset,NA,2015-07-24,2015-07-24,1,Graduated
issue,superset,CLOSED,2015-07-23,2015-07-24,2,Graduated
comment,superset,NA,2015-07-24,2015-07-24,1,Graduated
issue,superset,CLOSED,2015-07-23,2015-07-24,2,Graduated
comment,superset,NA,2015-07-23,2015-07-23,1,Graduated
comment,superset,NA,2015-07-24,2015-07-24,1,Graduated
issue,superset,CLOSED,2015-07-27,2017-07-28,733,Graduated
comment,superset,NA,2015-07-27,2015-07-27,1,Graduated
comment,superset,NA,2015-07-28,2015-07-28,1,Graduated
comment,superset,NA,2015-07-28,2015-07-28,1,Graduated
comment,superset,NA,2015-07-28,2015-07-28,1,Graduated
comment,superset,NA,2017-07-26,2017-07-26,1,Graduated
comment,superset,NA,2017-07-27,2017-07-27,1,Graduated
comment,superset,NA,2017-07-28,2017-07-28,1,Graduated
comment,superset,NA,2017-07-28,2017-07-28,1,Graduated
comment,superset,NA,2017-07-28,2017-07-28,1,Graduated
issue,superset,CLOSED,2015-08-11,2016-07-06,331,Graduated
comment,superset,NA,2015-08-12,2015-08-12,1,Graduated
comment,superset,NA,2015-08-12,2015-08-12,1,Graduated
comment,superset,NA,2015-08-12,2015-08-12,1,Graduated
comment,superset,NA,2015-08-12,2015-08-12,1,Graduated
comment,superset,NA,2016-07-04,2016-07-04,1,Graduated
comment,superset,NA,2016-07-05,2016-07-05,1,Graduated
comment,superset,NA,2016-07-06,2016-07-06,1,Graduated
issue,superset,CLOSED,2015-08-25,2016-05-08,258,Graduated
comment,superset,NA,2016-05-08,2016-05-08,1,Graduated
issue,superset,CLOSED,2015-08-31,2015-10-16,47,Graduated
comment,superset,NA,2015-08-31,2015-08-31,1,Graduated
comment,superset,NA,2015-08-31,2015-08-31,1,Graduated
comment,superset,NA,2015-08-31,2015-08-31,1,Graduated
comment,superset,NA,2015-08-31,2015-08-31,1,Graduated
comment,superset,NA,2015-09-01,2015-09-01,1,Graduated
comment,superset,NA,2015-09-01,2015-09-01,1,Graduated
comment,superset,NA,2015-10-16,2015-10-16,1,Graduated
issue,superset,CLOSED,2015-09-07,2015-10-16,40,Graduated
comment,superset,NA,2015-09-07,2015-09-07,1,Graduated
comment,superset,NA,2015-10-16,2015-10-16,1,Graduated
issue,superset,CLOSED,2015-09-15,2016-06-29,289,Graduated
comment,superset,NA,2015-09-15,2015-09-15,1,Graduated
comment,superset,NA,2015-09-15,2015-09-15,1,Graduated
comment,superset,NA,2015-11-21,2015-11-21,1,Graduated
comment,superset,NA,2016-06-29,2016-06-29,1,Graduated
issue,superset,CLOSED,2015-10-07,2015-10-07,1,Graduated
comment,superset,NA,2015-10-07,2015-10-07,1,Graduated
issue,superset,CLOSED,2015-10-13,2015-10-16,4,Graduated
comment,superset,NA,2015-10-13,2015-10-13,1,Graduated
comment,superset,NA,2015-10-13,2015-10-13,1,Graduated
issue,superset,CLOSED,2015-10-15,2015-10-16,2,Graduated
comment,superset,NA,2015-10-16,2015-10-16,1,Graduated
comment,superset,NA,2015-10-16,2015-10-16,1,Graduated
comment,superset,NA,2015-10-16,2015-10-16,1,Graduated
issue,superset,CLOSED,2015-10-16,2015-12-12,58,Graduated
comment,superset,NA,2015-10-16,2015-10-16,1,Graduated
comment,superset,NA,2015-10-19,2015-10-19,1,Graduated
comment,superset,NA,2015-10-19,2015-10-19,1,Graduated
issue,superset,CLOSED,2015-10-22,2015-10-26,5,Graduated
comment,superset,NA,2015-10-26,2015-10-26,1,Graduated
issue,superset,CLOSED,2015-10-23,2019-04-18,1274,Graduated
comment,superset,NA,2017-01-04,2017-01-04,1,Graduated
comment,superset,NA,2017-01-04,2017-01-04,1,Graduated
comment,superset,NA,2018-04-24,2018-04-24,1,Graduated
comment,superset,NA,2019-04-10,2019-04-10,1,Graduated
issue,superset,CLOSED,2015-11-06,2015-11-07,2,Graduated
comment,superset,NA,2015-11-06,2015-11-06,1,Graduated
comment,superset,NA,2015-11-07,2015-11-07,1,Graduated
issue,superset,CLOSED,2015-11-21,2016-04-27,159,Graduated
comment,superset,NA,2015-11-21,2015-11-21,1,Graduated
comment,superset,NA,2016-02-26,2016-02-26,1,Graduated
comment,superset,NA,2016-02-26,2016-02-26,1,Graduated
comment,superset,NA,2016-02-26,2016-02-26,1,Graduated
comment,superset,NA,2016-04-27,2016-04-27,1,Graduated
comment,superset,NA,2016-04-27,2016-04-27,1,Graduated
comment,superset,NA,2016-04-27,2016-04-27,1,Graduated
issue,superset,CLOSED,2015-12-12,2016-05-08,149,Graduated
comment,superset,NA,2015-12-12,2015-12-12,1,Graduated
comment,superset,NA,2015-12-12,2015-12-12,1,Graduated
comment,superset,NA,2015-12-12,2015-12-12,1,Graduated
issue,superset,CLOSED,2016-01-10,2016-04-01,83,Graduated
comment,superset,NA,2016-04-01,2016-04-01,1,Graduated
issue,superset,CLOSED,2016-01-10,2016-05-08,120,Graduated
comment,superset,NA,2016-01-10,2016-01-10,1,Graduated
comment,superset,NA,2016-01-10,2016-01-10,1,Graduated
comment,superset,NA,2016-01-11,2016-01-11,1,Graduated
comment,superset,NA,2016-01-11,2016-01-11,1,Graduated
comment,superset,NA,2016-01-12,2016-01-12,1,Graduated
issue,superset,CLOSED,2016-01-12,2016-01-12,1,Graduated
