type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,titan,CLOSED,2012-05-04,2014-02-21,659,Graduated
comment,titan,NA,2012-06-04,2012-06-04,1,Graduated
issue,titan,CLOSED,2012-05-05,2012-06-06,33,Graduated
issue,titan,CLOSED,2012-05-05,2012-06-06,33,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
issue,titan,CLOSED,2012-05-07,2012-09-06,123,Graduated
comment,titan,NA,2012-07-30,2012-07-30,1,Graduated
comment,titan,NA,2012-08-15,2012-08-15,1,Graduated
issue,titan,CLOSED,2012-05-07,2012-08-15,101,Graduated
comment,titan,NA,2012-08-15,2012-08-15,1,Graduated
issue,titan,CLOSED,2012-05-07,2013-03-22,320,Graduated
comment,titan,NA,2012-05-07,2012-05-07,1,Graduated
comment,titan,NA,2013-03-22,2013-03-22,1,Graduated
issue,titan,CLOSED,2012-05-09,2014-11-13,919,Graduated
comment,titan,NA,2012-06-04,2012-06-04,1,Graduated
comment,titan,NA,2012-06-05,2012-06-05,1,Graduated
comment,titan,NA,2012-12-13,2012-12-13,1,Graduated
comment,titan,NA,2014-11-13,2014-11-13,1,Graduated
issue,titan,CLOSED,2012-06-04,2012-06-07,4,Graduated
comment,titan,NA,2012-06-07,2012-06-07,1,Graduated
issue,titan,CLOSED,2012-06-05,2012-06-06,2,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
issue,titan,CLOSED,2012-06-06,2012-09-06,93,Graduated
issue,titan,OPEN,2012-06-06,2015-01-21,960,Graduated
comment,titan,NA,2012-06-14,2012-06-14,1,Graduated
comment,titan,NA,2013-02-21,2013-02-21,1,Graduated
comment,titan,NA,2013-02-21,2013-02-21,1,Graduated
comment,titan,NA,2013-02-21,2013-02-21,1,Graduated
comment,titan,NA,2013-02-22,2013-02-22,1,Graduated
comment,titan,NA,2013-02-22,2013-02-22,1,Graduated
comment,titan,NA,2013-02-25,2013-02-25,1,Graduated
comment,titan,NA,2013-02-25,2013-02-25,1,Graduated
comment,titan,NA,2013-02-25,2013-02-25,1,Graduated
comment,titan,NA,2013-02-26,2013-02-26,1,Graduated
comment,titan,NA,2013-02-26,2013-02-26,1,Graduated
comment,titan,NA,2013-02-27,2013-02-27,1,Graduated
comment,titan,NA,2013-02-27,2013-02-27,1,Graduated
comment,titan,NA,2013-02-27,2013-02-27,1,Graduated
comment,titan,NA,2013-02-27,2013-02-27,1,Graduated
comment,titan,NA,2013-02-27,2013-02-27,1,Graduated
comment,titan,NA,2013-04-13,2013-04-13,1,Graduated
comment,titan,NA,2014-05-19,2014-05-19,1,Graduated
comment,titan,NA,2014-05-19,2014-05-19,1,Graduated
comment,titan,NA,2014-05-19,2014-05-19,1,Graduated
comment,titan,NA,2014-08-12,2014-08-12,1,Graduated
comment,titan,NA,2014-11-24,2014-11-24,1,Graduated
issue,titan,CLOSED,2012-06-06,2012-08-30,86,Graduated
issue,titan,CLOSED,2012-06-06,2012-06-07,2,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
issue,titan,CLOSED,2012-06-06,2012-08-29,85,Graduated
issue,titan,CLOSED,2012-06-06,2012-06-27,22,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
comment,titan,NA,2012-06-06,2012-06-06,1,Graduated
comment,titan,NA,2012-06-27,2012-06-27,1,Graduated
issue,titan,CLOSED,2012-06-06,2012-06-06,1,Graduated
issue,titan,CLOSED,2012-06-07,2012-09-06,92,Graduated
issue,titan,CLOSED,2012-06-07,2012-06-08,2,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
issue,titan,CLOSED,2012-06-07,2012-06-13,7,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
comment,titan,NA,2012-06-08,2012-06-08,1,Graduated
comment,titan,NA,2012-06-13,2012-06-13,1,Graduated
issue,titan,CLOSED,2012-06-07,2012-09-06,92,Graduated
