type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,trafficcontrol,CLOSED,2017-08-29,2018-01-17,142,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2018-10-17,415,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2017-09-06,9,Graduated
comment,trafficcontrol,NA,2017-08-31,2017-08-31,1,Graduated
comment,trafficcontrol,NA,2017-09-06,2017-09-06,1,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2021-12-06,1561,Graduated
comment,trafficcontrol,NA,2017-08-31,2017-08-31,1,Graduated
comment,trafficcontrol,NA,2017-09-27,2017-09-27,1,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2021-12-06,1561,Graduated
comment,trafficcontrol,NA,2017-08-31,2017-08-31,1,Graduated
comment,trafficcontrol,NA,2017-09-07,2017-09-07,1,Graduated
comment,trafficcontrol,NA,2017-10-03,2017-10-03,1,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2021-11-16,1541,Graduated
comment,trafficcontrol,NA,2017-10-05,2017-10-05,1,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2019-02-27,548,Graduated
comment,trafficcontrol,NA,2017-08-31,2017-08-31,1,Graduated
comment,trafficcontrol,NA,2017-09-05,2017-09-05,1,Graduated
comment,trafficcontrol,NA,2017-09-06,2017-09-06,1,Graduated
comment,trafficcontrol,NA,2017-09-06,2017-09-06,1,Graduated
comment,trafficcontrol,NA,2017-09-06,2017-09-06,1,Graduated
comment,trafficcontrol,NA,2019-02-14,2019-02-14,1,Graduated
issue,trafficcontrol,OPEN,2017-08-29,2020-07-14,1051,Graduated
comment,trafficcontrol,NA,2018-06-21,2018-06-21,1,Graduated
comment,trafficcontrol,NA,2018-06-21,2018-06-21,1,Graduated
comment,trafficcontrol,NA,2018-10-18,2018-10-18,1,Graduated
comment,trafficcontrol,NA,2020-07-14,2020-07-14,1,Graduated
comment,trafficcontrol,NA,2020-07-14,2020-07-14,1,Graduated
issue,trafficcontrol,CLOSED,2017-08-29,2017-09-12,15,Graduated
