type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,triquetrum,CLOSED,2015-12-07,2016-05-12,158,Retired
issue,triquetrum,CLOSED,2015-12-07,2016-09-21,290,Retired
comment,triquetrum,NA,2016-09-21,2016-09-21,1,Retired
issue,triquetrum,OPEN,2015-12-07,2019-01-10,1131,Retired
comment,triquetrum,NA,2019-01-10,2019-01-10,1,Retired
issue,triquetrum,CLOSED,2015-12-09,2016-01-06,29,Retired
comment,triquetrum,NA,2016-01-06,2016-01-06,1,Retired
issue,triquetrum,CLOSED,2015-12-21,2016-01-18,29,Retired
comment,triquetrum,NA,2016-01-18,2016-01-18,1,Retired
issue,triquetrum,CLOSED,2016-01-06,2016-08-19,227,Retired
comment,triquetrum,NA,2016-08-19,2016-08-19,1,Retired
issue,triquetrum,CLOSED,2016-01-16,2016-02-06,22,Retired
comment,triquetrum,NA,2016-02-06,2016-02-06,1,Retired
comment,triquetrum,NA,2016-02-06,2016-02-06,1,Retired
issue,triquetrum,CLOSED,2016-01-18,2016-01-20,3,Retired
comment,triquetrum,NA,2016-01-18,2016-01-18,1,Retired
comment,triquetrum,NA,2016-01-20,2016-01-20,1,Retired
issue,triquetrum,CLOSED,2016-01-18,2016-02-14,28,Retired
comment,triquetrum,NA,2016-01-21,2016-01-21,1,Retired
comment,triquetrum,NA,2016-02-14,2016-02-14,1,Retired
comment,triquetrum,NA,2016-02-14,2016-02-14,1,Retired
issue,triquetrum,CLOSED,2016-01-19,2016-01-19,1,Retired
comment,triquetrum,NA,2016-01-19,2016-01-19,1,Retired
issue,triquetrum,OPEN,2016-01-20,2017-10-10,630,Retired
comment,triquetrum,NA,2016-01-25,2016-01-25,1,Retired
comment,triquetrum,NA,2016-02-16,2016-02-16,1,Retired
comment,triquetrum,NA,2016-04-19,2016-04-19,1,Retired
comment,triquetrum,NA,2016-11-10,2016-11-10,1,Retired
comment,triquetrum,NA,2016-11-11,2016-11-11,1,Retired
comment,triquetrum,NA,2016-11-11,2016-11-11,1,Retired
comment,triquetrum,NA,2016-12-02,2016-12-02,1,Retired
comment,triquetrum,NA,2016-12-02,2016-12-02,1,Retired
comment,triquetrum,NA,2016-12-02,2016-12-02,1,Retired
comment,triquetrum,NA,2016-12-02,2016-12-02,1,Retired
comment,triquetrum,NA,2016-12-02,2016-12-02,1,Retired
comment,triquetrum,NA,2017-01-31,2017-01-31,1,Retired
comment,triquetrum,NA,2017-04-24,2017-04-24,1,Retired
comment,triquetrum,NA,2017-04-25,2017-04-25,1,Retired
comment,triquetrum,NA,2017-04-25,2017-04-25,1,Retired
comment,triquetrum,NA,2017-04-27,2017-04-27,1,Retired
comment,triquetrum,NA,2017-05-18,2017-05-18,1,Retired
issue,triquetrum,CLOSED,2016-01-20,2016-01-21,2,Retired
comment,triquetrum,NA,2016-01-21,2016-01-21,1,Retired
issue,triquetrum,CLOSED,2016-01-20,2017-03-27,433,Retired
comment,triquetrum,NA,2016-03-21,2016-03-21,1,Retired
comment,triquetrum,NA,2016-04-19,2016-04-19,1,Retired
comment,triquetrum,NA,2016-06-29,2016-06-29,1,Retired
comment,triquetrum,NA,2017-03-27,2017-03-27,1,Retired
issue,triquetrum,CLOSED,2016-01-20,2016-01-31,12,Retired
issue,triquetrum,CLOSED,2016-01-21,2016-01-21,1,Retired
comment,triquetrum,NA,2016-01-21,2016-01-21,1,Retired
issue,triquetrum,CLOSED,2016-01-22,2016-05-30,130,Retired
comment,triquetrum,NA,2016-01-24,2016-01-24,1,Retired
comment,triquetrum,NA,2016-01-26,2016-01-26,1,Retired
comment,triquetrum,NA,2016-02-02,2016-02-02,1,Retired
comment,triquetrum,NA,2016-02-02,2016-02-02,1,Retired
comment,triquetrum,NA,2016-02-16,2016-02-16,1,Retired
comment,triquetrum,NA,2016-02-17,2016-02-17,1,Retired
comment,triquetrum,NA,2016-03-13,2016-03-13,1,Retired
comment,triquetrum,NA,2016-03-14,2016-03-14,1,Retired
issue,triquetrum,CLOSED,2016-01-25,2016-01-25,1,Retired
comment,triquetrum,NA,2016-01-25,2016-01-25,1,Retired
issue,triquetrum,CLOSED,2016-01-25,2016-01-26,2,Retired
comment,triquetrum,NA,2016-01-26,2016-01-26,1,Retired
issue,triquetrum,OPEN,2016-01-26,2017-10-10,624,Retired
comment,triquetrum,NA,2016-01-27,2016-01-27,1,Retired
comment,triquetrum,NA,2016-04-19,2016-04-19,1,Retired
comment,triquetrum,NA,2016-09-07,2016-09-07,1,Retired
issue,triquetrum,CLOSED,2016-01-26,2016-01-27,2,Retired
issue,triquetrum,CLOSED,2016-01-31,2016-02-03,4,Retired
issue,triquetrum,OPEN,2016-01-31,2017-07-24,541,Retired
comment,triquetrum,NA,2016-02-01,2016-02-01,1,Retired
issue,triquetrum,CLOSED,2016-02-01,2016-02-01,1,Retired
issue,triquetrum,CLOSED,2016-02-02,2016-02-02,1,Retired
issue,triquetrum,CLOSED,2016-02-02,2016-02-18,17,Retired
comment,triquetrum,NA,2016-02-02,2016-02-02,1,Retired
comment,triquetrum,NA,2016-02-03,2016-02-03,1,Retired
comment,triquetrum,NA,2016-02-03,2016-02-03,1,Retired
comment,triquetrum,NA,2016-02-16,2016-02-16,1,Retired
comment,triquetrum,NA,2016-02-16,2016-02-16,1,Retired
comment,triquetrum,NA,2016-02-16,2016-02-16,1,Retired
comment,triquetrum,NA,2016-02-17,2016-02-17,1,Retired
comment,triquetrum,NA,2016-02-17,2016-02-17,1,Retired
comment,triquetrum,NA,2016-02-17,2016-02-17,1,Retired
comment,triquetrum,NA,2016-02-18,2016-02-18,1,Retired
issue,triquetrum,CLOSED,2016-02-04,2016-02-16,13,Retired
comment,triquetrum,NA,2016-02-16,2016-02-16,1,Retired
issue,triquetrum,CLOSED,2016-02-14,2016-02-16,3,Retired
issue,triquetrum,CLOSED,2016-02-14,2016-04-10,57,Retired
issue,triquetrum,CLOSED,2016-02-16,2016-02-22,7,Retired
issue,triquetrum,CLOSED,2016-02-25,2016-03-01,6,Retired
issue,triquetrum,CLOSED,2016-03-01,2016-04-18,49,Retired
issue,triquetrum,CLOSED,2016-03-02,2016-03-04,3,Retired
issue,triquetrum,CLOSED,2016-03-05,2016-04-04,31,Retired
