type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,wakaama,CLOSED,2016-02-04,2016-02-19,16,Graduated
comment,wakaama,NA,2016-02-04,2016-02-04,1,Graduated
issue,wakaama,CLOSED,2016-02-04,2016-02-04,1,Graduated
comment,wakaama,NA,2016-02-04,2016-02-04,1,Graduated
comment,wakaama,NA,2016-02-04,2016-02-04,1,Graduated
issue,wakaama,CLOSED,2016-02-09,2016-02-10,2,Graduated
comment,wakaama,NA,2016-02-10,2016-02-10,1,Graduated
comment,wakaama,NA,2016-02-10,2016-02-10,1,Graduated
issue,wakaama,CLOSED,2016-02-19,2016-03-03,14,Graduated
comment,wakaama,NA,2016-03-03,2016-03-03,1,Graduated
issue,wakaama,CLOSED,2016-02-24,2016-02-24,1,Graduated
comment,wakaama,NA,2016-02-24,2016-02-24,1,Graduated
comment,wakaama,NA,2016-02-24,2016-02-24,1,Graduated
comment,wakaama,NA,2016-02-24,2016-02-24,1,Graduated
comment,wakaama,NA,2016-02-24,2016-02-24,1,Graduated
comment,wakaama,NA,2016-02-24,2016-02-24,1,Graduated
comment,wakaama,NA,2016-02-24,2016-02-24,1,Graduated
issue,wakaama,CLOSED,2016-02-25,2016-03-03,8,Graduated
comment,wakaama,NA,2016-03-01,2016-03-01,1,Graduated
comment,wakaama,NA,2016-03-03,2016-03-03,1,Graduated
issue,wakaama,CLOSED,2016-03-02,2016-03-02,1,Graduated
comment,wakaama,NA,2016-03-02,2016-03-02,1,Graduated
comment,wakaama,NA,2016-03-02,2016-03-02,1,Graduated
issue,wakaama,CLOSED,2016-03-02,2016-03-04,3,Graduated
comment,wakaama,NA,2016-03-03,2016-03-03,1,Graduated
comment,wakaama,NA,2016-03-04,2016-03-04,1,Graduated
issue,wakaama,CLOSED,2016-03-03,2016-03-11,9,Graduated
comment,wakaama,NA,2016-03-03,2016-03-03,1,Graduated
comment,wakaama,NA,2016-03-03,2016-03-03,1,Graduated
issue,wakaama,CLOSED,2016-03-08,2016-03-10,3,Graduated
comment,wakaama,NA,2016-03-08,2016-03-08,1,Graduated
comment,wakaama,NA,2016-03-08,2016-03-08,1,Graduated
comment,wakaama,NA,2016-03-09,2016-03-09,1,Graduated
comment,wakaama,NA,2016-03-09,2016-03-09,1,Graduated
comment,wakaama,NA,2016-03-10,2016-03-10,1,Graduated
issue,wakaama,CLOSED,2016-03-08,2016-03-10,3,Graduated
comment,wakaama,NA,2016-03-10,2016-03-10,1,Graduated
issue,wakaama,CLOSED,2016-03-10,2016-03-10,1,Graduated
comment,wakaama,NA,2016-03-10,2016-03-10,1,Graduated
issue,wakaama,CLOSED,2016-03-11,2016-03-14,4,Graduated
comment,wakaama,NA,2016-03-11,2016-03-11,1,Graduated
issue,wakaama,CLOSED,2016-03-11,2016-03-14,4,Graduated
comment,wakaama,NA,2016-03-11,2016-03-11,1,Graduated
issue,wakaama,CLOSED,2016-03-12,2016-03-24,13,Graduated
comment,wakaama,NA,2016-03-14,2016-03-14,1,Graduated
comment,wakaama,NA,2016-03-24,2016-03-24,1,Graduated
issue,wakaama,CLOSED,2016-03-22,2016-03-24,3,Graduated
comment,wakaama,NA,2016-03-23,2016-03-23,1,Graduated
comment,wakaama,NA,2016-03-24,2016-03-24,1,Graduated
issue,wakaama,CLOSED,2016-03-27,2016-05-30,65,Graduated
comment,wakaama,NA,2016-03-30,2016-03-30,1,Graduated
comment,wakaama,NA,2016-03-30,2016-03-30,1,Graduated
issue,wakaama,CLOSED,2016-03-27,2016-03-30,4,Graduated
comment,wakaama,NA,2016-03-30,2016-03-30,1,Graduated
issue,wakaama,CLOSED,2016-03-27,2016-03-30,4,Graduated
comment,wakaama,NA,2016-03-30,2016-03-30,1,Graduated
issue,wakaama,CLOSED,2016-03-29,2016-03-30,2,Graduated
comment,wakaama,NA,2016-03-29,2016-03-29,1,Graduated
comment,wakaama,NA,2016-03-29,2016-03-29,1,Graduated
issue,wakaama,CLOSED,2016-03-30,2016-04-05,7,Graduated
comment,wakaama,NA,2016-03-30,2016-03-30,1,Graduated
comment,wakaama,NA,2016-04-05,2016-04-05,1,Graduated
issue,wakaama,CLOSED,2016-04-01,2016-04-05,5,Graduated
