type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,windowbuilder,CLOSED,2020-08-18,2020-09-17,31,Graduated
comment,windowbuilder,NA,2020-09-17,2020-09-17,1,Graduated
issue,windowbuilder,CLOSED,2020-10-11,2020-10-13,3,Graduated
comment,windowbuilder,NA,2020-10-11,2020-10-11,1,Graduated
comment,windowbuilder,NA,2020-10-13,2020-10-13,1,Graduated
issue,windowbuilder,CLOSED,2020-10-13,2020-10-13,1,Graduated
comment,windowbuilder,NA,2020-10-13,2020-10-13,1,Graduated
issue,windowbuilder,CLOSED,2020-10-26,2020-10-27,2,Graduated
comment,windowbuilder,NA,2020-10-26,2020-10-26,1,Graduated
comment,windowbuilder,NA,2020-10-26,2020-10-26,1,Graduated
issue,windowbuilder,CLOSED,2020-11-01,2021-10-22,356,Graduated
comment,windowbuilder,NA,2021-10-19,2021-10-19,1,Graduated
comment,windowbuilder,NA,2021-10-20,2021-10-20,1,Graduated
comment,windowbuilder,NA,2021-10-20,2021-10-20,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
issue,windowbuilder,CLOSED,2020-11-02,2020-11-03,2,Graduated
comment,windowbuilder,NA,2020-11-02,2020-11-02,1,Graduated
comment,windowbuilder,NA,2020-11-03,2020-11-03,1,Graduated
comment,windowbuilder,NA,2020-11-03,2020-11-03,1,Graduated
comment,windowbuilder,NA,2020-11-03,2020-11-03,1,Graduated
comment,windowbuilder,NA,2020-11-03,2020-11-03,1,Graduated
issue,windowbuilder,CLOSED,2021-03-20,2021-10-20,215,Graduated
comment,windowbuilder,NA,2021-10-06,2021-10-06,1,Graduated
comment,windowbuilder,NA,2021-10-08,2021-10-08,1,Graduated
comment,windowbuilder,NA,2021-10-08,2021-10-08,1,Graduated
comment,windowbuilder,NA,2021-10-19,2021-10-19,1,Graduated
issue,windowbuilder,CLOSED,2021-04-14,2022-03-14,335,Graduated
comment,windowbuilder,NA,2021-04-17,2021-04-17,1,Graduated
comment,windowbuilder,NA,2021-04-24,2021-04-24,1,Graduated
comment,windowbuilder,NA,2021-10-19,2021-10-19,1,Graduated
comment,windowbuilder,NA,2021-10-29,2021-10-29,1,Graduated
comment,windowbuilder,NA,2022-03-14,2022-03-14,1,Graduated
issue,windowbuilder,CLOSED,2021-04-28,2022-03-08,315,Graduated
comment,windowbuilder,NA,2021-04-28,2021-04-28,1,Graduated
comment,windowbuilder,NA,2021-04-29,2021-04-29,1,Graduated
comment,windowbuilder,NA,2021-05-01,2021-05-01,1,Graduated
comment,windowbuilder,NA,2021-10-09,2021-10-09,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-10,2021-10-10,1,Graduated
comment,windowbuilder,NA,2021-10-14,2021-10-14,1,Graduated
comment,windowbuilder,NA,2022-03-05,2022-03-05,1,Graduated
comment,windowbuilder,NA,2022-03-08,2022-03-08,1,Graduated
issue,windowbuilder,CLOSED,2021-06-04,2022-06-07,369,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
comment,windowbuilder,NA,2021-11-02,2021-11-02,1,Graduated
comment,windowbuilder,NA,2021-11-23,2021-11-23,1,Graduated
comment,windowbuilder,NA,2021-11-23,2021-11-23,1,Graduated
comment,windowbuilder,NA,2021-11-24,2021-11-24,1,Graduated
comment,windowbuilder,NA,2022-05-17,2022-05-17,1,Graduated
comment,windowbuilder,NA,2022-06-07,2022-06-07,1,Graduated
issue,windowbuilder,CLOSED,2021-06-04,2021-10-20,139,Graduated
issue,windowbuilder,OPEN,2021-06-04,2024-12-04,1280,Graduated
comment,windowbuilder,NA,2023-09-04,2023-09-04,1,Graduated
comment,windowbuilder,NA,2023-09-05,2023-09-05,1,Graduated
issue,windowbuilder,CLOSED,2021-06-04,2022-06-27,389,Graduated
comment,windowbuilder,NA,2021-06-04,2021-06-04,1,Graduated
comment,windowbuilder,NA,2021-06-22,2021-06-22,1,Graduated
comment,windowbuilder,NA,2021-10-13,2021-10-13,1,Graduated
comment,windowbuilder,NA,2021-10-17,2021-10-17,1,Graduated
comment,windowbuilder,NA,2021-10-18,2021-10-18,1,Graduated
comment,windowbuilder,NA,2021-10-18,2021-10-18,1,Graduated
comment,windowbuilder,NA,2022-06-27,2022-06-27,1,Graduated
comment,windowbuilder,NA,2022-06-27,2022-06-27,1,Graduated
comment,windowbuilder,NA,2022-06-27,2022-06-27,1,Graduated
comment,windowbuilder,NA,2022-06-27,2022-06-27,1,Graduated
comment,windowbuilder,NA,2022-06-27,2022-06-27,1,Graduated
issue,windowbuilder,CLOSED,2021-09-17,2021-11-23,68,Graduated
comment,windowbuilder,NA,2021-10-06,2021-10-06,1,Graduated
comment,windowbuilder,NA,2021-10-07,2021-10-07,1,Graduated
comment,windowbuilder,NA,2021-10-07,2021-10-07,1,Graduated
comment,windowbuilder,NA,2021-10-09,2021-10-09,1,Graduated
comment,windowbuilder,NA,2021-10-11,2021-10-11,1,Graduated
comment,windowbuilder,NA,2021-10-19,2021-10-19,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
comment,windowbuilder,NA,2021-11-23,2021-11-23,1,Graduated
issue,windowbuilder,CLOSED,2021-09-17,2022-03-05,170,Graduated
comment,windowbuilder,NA,2021-09-18,2021-09-18,1,Graduated
comment,windowbuilder,NA,2021-09-18,2021-09-18,1,Graduated
comment,windowbuilder,NA,2021-10-06,2021-10-06,1,Graduated
issue,windowbuilder,CLOSED,2021-09-27,2021-12-21,86,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-22,2021-10-22,1,Graduated
comment,windowbuilder,NA,2021-11-30,2021-11-30,1,Graduated
comment,windowbuilder,NA,2021-12-21,2021-12-21,1,Graduated
issue,windowbuilder,CLOSED,2021-10-04,2021-10-06,3,Graduated
comment,windowbuilder,NA,2021-10-05,2021-10-05,1,Graduated
issue,windowbuilder,CLOSED,2021-10-04,2021-10-21,18,Graduated
comment,windowbuilder,NA,2021-10-04,2021-10-04,1,Graduated
comment,windowbuilder,NA,2021-10-04,2021-10-04,1,Graduated
comment,windowbuilder,NA,2021-10-06,2021-10-06,1,Graduated
comment,windowbuilder,NA,2021-10-07,2021-10-07,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
issue,windowbuilder,CLOSED,2021-10-09,2021-10-21,13,Graduated
comment,windowbuilder,NA,2021-10-19,2021-10-19,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
comment,windowbuilder,NA,2021-10-21,2021-10-21,1,Graduated
issue,windowbuilder,CLOSED,2021-10-10,2021-10-19,10,Graduated
comment,windowbuilder,NA,2021-10-11,2021-10-11,1,Graduated
comment,windowbuilder,NA,2021-10-11,2021-10-11,1,Graduated
comment,windowbuilder,NA,2021-10-12,2021-10-12,1,Graduated
comment,windowbuilder,NA,2021-10-12,2021-10-12,1,Graduated
comment,windowbuilder,NA,2021-10-12,2021-10-12,1,Graduated
comment,windowbuilder,NA,2021-10-12,2021-10-12,1,Graduated
comment,windowbuilder,NA,2021-10-12,2021-10-12,1,Graduated
comment,windowbuilder,NA,2021-10-12,2021-10-12,1,Graduated
comment,windowbuilder,NA,2021-10-13,2021-10-13,1,Graduated
