type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,xtext,CLOSED,2016-06-27,2017-05-16,324,Graduated
comment,xtext,NA,2016-06-27,2016-06-27,1,Graduated
comment,xtext,NA,2016-06-27,2016-06-27,1,Graduated
comment,xtext,NA,2016-06-27,2016-06-27,1,Graduated
comment,xtext,NA,2016-06-27,2016-06-27,1,Graduated
comment,xtext,NA,2016-06-27,2016-06-27,1,Graduated
comment,xtext,NA,2016-06-27,2016-06-27,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2016-06-28,2016-06-28,1,Graduated
comment,xtext,NA,2017-05-16,2017-05-16,1,Graduated
comment,xtext,NA,2017-05-16,2017-05-16,1,Graduated
issue,xtext,OPEN,2016-07-01,2023-04-18,2483,Graduated
issue,xtext,CLOSED,2016-07-01,2024-11-19,3064,Graduated
comment,xtext,NA,2016-10-07,2016-10-07,1,Graduated
comment,xtext,NA,2017-03-14,2017-03-14,1,Graduated
comment,xtext,NA,2024-11-19,2024-11-19,1,Graduated
issue,xtext,OPEN,2016-07-07,2023-04-17,2476,Graduated
comment,xtext,NA,2016-10-07,2016-10-07,1,Graduated
comment,xtext,NA,2016-10-07,2016-10-07,1,Graduated
comment,xtext,NA,2016-10-07,2016-10-07,1,Graduated
comment,xtext,NA,2016-10-07,2016-10-07,1,Graduated
comment,xtext,NA,2018-07-23,2018-07-23,1,Graduated
comment,xtext,NA,2018-07-23,2018-07-23,1,Graduated
comment,xtext,NA,2020-09-24,2020-09-24,1,Graduated
comment,xtext,NA,2020-09-25,2020-09-25,1,Graduated
comment,xtext,NA,2020-09-25,2020-09-25,1,Graduated
comment,xtext,NA,2020-09-25,2020-09-25,1,Graduated
issue,xtext,OPEN,2016-07-14,2023-04-18,2470,Graduated
comment,xtext,NA,2016-10-06,2016-10-06,1,Graduated
issue,xtext,OPEN,2016-07-25,2017-01-23,183,Graduated
comment,xtext,NA,2016-07-25,2016-07-25,1,Graduated
comment,xtext,NA,2016-07-25,2016-07-25,1,Graduated
comment,xtext,NA,2016-07-25,2016-07-25,1,Graduated
comment,xtext,NA,2016-07-26,2016-07-26,1,Graduated
comment,xtext,NA,2016-07-26,2016-07-26,1,Graduated
comment,xtext,NA,2016-07-29,2016-07-29,1,Graduated
comment,xtext,NA,2017-01-10,2017-01-10,1,Graduated
comment,xtext,NA,2017-01-10,2017-01-10,1,Graduated
comment,xtext,NA,2017-01-10,2017-01-10,1,Graduated
comment,xtext,NA,2017-01-10,2017-01-10,1,Graduated
comment,xtext,NA,2017-01-23,2017-01-23,1,Graduated
comment,xtext,NA,2017-01-23,2017-01-23,1,Graduated
