type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,yasson,CLOSED,2016-12-13,2018-02-23,438,Graduated
comment,yasson,NA,2016-12-14,2016-12-14,1,Graduated
comment,yasson,NA,2016-12-19,2016-12-19,1,Graduated
issue,yasson,CLOSED,2016-12-15,2017-08-30,259,Graduated
comment,yasson,NA,2016-12-15,2016-12-15,1,Graduated
comment,yasson,NA,2016-12-15,2016-12-15,1,Graduated
comment,yasson,NA,2016-12-19,2016-12-19,1,Graduated
comment,yasson,NA,2016-12-19,2016-12-19,1,Graduated
comment,yasson,NA,2016-12-20,2016-12-20,1,Graduated
comment,yasson,NA,2016-12-20,2016-12-20,1,Graduated
comment,yasson,NA,2016-12-22,2016-12-22,1,Graduated
issue,yasson,CLOSED,2016-12-26,2018-02-23,425,Graduated
comment,yasson,NA,2016-12-26,2016-12-26,1,Graduated
comment,yasson,NA,2016-12-28,2016-12-28,1,Graduated
comment,yasson,NA,2016-12-28,2016-12-28,1,Graduated
comment,yasson,NA,2016-12-28,2016-12-28,1,Graduated
comment,yasson,NA,2017-01-06,2017-01-06,1,Graduated
comment,yasson,NA,2017-03-01,2017-03-01,1,Graduated
issue,yasson,CLOSED,2017-01-05,2017-08-30,238,Graduated
comment,yasson,NA,2017-01-09,2017-01-09,1,Graduated
issue,yasson,CLOSED,2017-02-10,2017-08-30,202,Graduated
comment,yasson,NA,2017-02-27,2017-02-27,1,Graduated
comment,yasson,NA,2017-03-03,2017-03-03,1,Graduated
comment,yasson,NA,2017-03-03,2017-03-03,1,Graduated
comment,yasson,NA,2017-03-05,2017-03-05,1,Graduated
comment,yasson,NA,2017-03-06,2017-03-06,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-13,2017-03-13,1,Graduated
comment,yasson,NA,2017-03-17,2017-03-17,1,Graduated
issue,yasson,CLOSED,2017-02-10,2017-08-30,202,Graduated
comment,yasson,NA,2017-02-27,2017-02-27,1,Graduated
comment,yasson,NA,2017-03-03,2017-03-03,1,Graduated
comment,yasson,NA,2017-03-03,2017-03-03,1,Graduated
comment,yasson,NA,2017-03-06,2017-03-06,1,Graduated
comment,yasson,NA,2017-03-07,2017-03-07,1,Graduated
issue,yasson,CLOSED,2017-02-10,2017-08-30,202,Graduated
comment,yasson,NA,2017-02-27,2017-02-27,1,Graduated
issue,yasson,CLOSED,2017-02-12,2017-08-30,200,Graduated
comment,yasson,NA,2017-02-17,2017-02-17,1,Graduated
issue,yasson,CLOSED,2017-02-27,2017-08-30,185,Graduated
comment,yasson,NA,2017-06-27,2017-06-27,1,Graduated
issue,yasson,CLOSED,2017-05-03,2017-08-30,120,Graduated
comment,yasson,NA,2017-05-03,2017-05-03,1,Graduated
issue,yasson,CLOSED,2017-05-10,2017-08-30,113,Graduated
comment,yasson,NA,2017-05-10,2017-05-10,1,Graduated
comment,yasson,NA,2017-05-12,2017-05-12,1,Graduated
comment,yasson,NA,2017-05-12,2017-05-12,1,Graduated
issue,yasson,CLOSED,2017-05-19,2017-06-27,40,Graduated
comment,yasson,NA,2017-05-19,2017-05-19,1,Graduated
issue,yasson,OPEN,2017-06-08,2018-04-28,325,Graduated
comment,yasson,NA,2017-06-08,2017-06-08,1,Graduated
comment,yasson,NA,2017-09-21,2017-09-21,1,Graduated
comment,yasson,NA,2017-09-22,2017-09-22,1,Graduated
comment,yasson,NA,2017-10-02,2017-10-02,1,Graduated
comment,yasson,NA,2017-10-02,2017-10-02,1,Graduated
comment,yasson,NA,2018-04-28,2018-04-28,1,Graduated
issue,yasson,CLOSED,2017-06-09,2018-02-23,260,Graduated
comment,yasson,NA,2017-06-12,2017-06-12,1,Graduated
issue,yasson,CLOSED,2017-06-26,2018-02-23,243,Graduated
comment,yasson,NA,2017-06-27,2017-06-27,1,Graduated
comment,yasson,NA,2017-06-27,2017-06-27,1,Graduated
comment,yasson,NA,2017-07-10,2017-07-10,1,Graduated
issue,yasson,CLOSED,2017-06-26,2018-02-23,243,Graduated
comment,yasson,NA,2017-07-10,2017-07-10,1,Graduated
issue,yasson,CLOSED,2017-06-26,2018-02-23,243,Graduated
comment,yasson,NA,2017-07-10,2017-07-10,1,Graduated
issue,yasson,CLOSED,2017-06-26,2017-07-10,15,Graduated
comment,yasson,NA,2017-07-10,2017-07-10,1,Graduated
issue,yasson,CLOSED,2017-06-26,2017-08-30,66,Graduated
