project,start_date,end_date,status,measurement_month,window_start_date,window_end_date,commits,authors,committers,minor_contributors,major_contributors,directories,top_level_dirs,releases,active_days,files_modified,files_added,files_deleted,files_renamed,added_lines,deleted_lines,emails,devs,emails_thread_starter,emails_thread_starter_word_count,emails_thread_starter_characters,emails_threads,emails_threads_word_count,emails_threads_characters,emails_no_replies,emails_no_replies_word_count,emails_no_replies_characters,emails_jira,new_contributors,avg_files_modified_commit,code,blanks,files,comments,lines,programming_lang,most_complex_unit_loc,most_complex_unit_mcabe_index,total_number_of_files,number_of_files_main,lines_of_code_main,number_of_files_test,lines_of_code_test,test_vs_main_lines_of_code_percentage,number_of_files_generated,lines_of_code_generated,number_of_files_build_and_deployment,lines_of_code_build_and_deployment,negligible_risk_file_size_count,low_risk_file_size_count,medium_risk_file_size_count,high_risk_file_size_count,very_high_risk_file_size_count,negligible_risk_file_size_loc,low_risk_file_size_loc,medium_risk_file_size_loc,high_risk_file_size_loc,very_high_risk_file_size_loc,number_of_units,lines_of_code_in_units,lines_of_code_outside_units,unit_size_negligible_risk_loc,unit_size_negligible_risk_count,unit_size_low_risk_loc,unit_size_low_risk_count,unit_size_medium_risk_loc,unit_size_medium_risk_count,unit_size_high_risk_loc,unit_size_high_risk_count,unit_size_very_high_risk_loc,unit_size_very_high_risk_count,conditional_complexity_negligible_risk_loc,conditional_complexity_negligible_risk_count,conditional_complexity_low_risk_loc,conditional_complexity_low_risk_count,conditional_complexity_medium_risk_loc,conditional_complexity_medium_risk_count,conditional_complexity_high_risk_loc,conditional_complexity_high_risk_count,conditional_complexity_very_high_risk_loc,conditional_complexity_very_high_risk_count,conditional_complexity_high_plus_risk_count,conditional_complexity_high_plus_risk_loc,number_of_contributors,duplication_number_of_duplicates,duplication_number_of_files_with_duplicates,duplication_number_of_duplicated_lines,duplication_percentage,unit_duplicates_count,stars,forks,open_prs,closed_prs,merged_prs,stale_prs,deploys
echarts,2013-05-31,2025-02-01,,1,2013-05-31,2013-06-29,29,2,2,1,2,19,5,0,16,224,184,2,2,55797,4738,0,0,0,0,0,0,0,0,0,0,0,0,2,7.724137931034483,26391,2969,57,3091,32451,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,6,0,0
echarts,2013-05-31,2025-02-01,,2,2013-06-30,2013-07-29,21,3,3,1,2,42,5,0,12,117,68,1,0,12909,1406,0,0,0,0,0,0,0,0,0,0,0,0,1,5.571428571428571,30456,3822,78,3992,38270,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,0,0,0,9,0,0
echarts,2013-05-31,2025-02-01,,3,2013-07-30,2013-08-28,35,3,3,1,2,47,5,0,17,212,96,2,70,221254,83524,0,0,0,0,0,0,0,0,0,0,0,0,1,6.057142857142857,133351,14626,162,26523,174500,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,0,0,1,8,0,0
echarts,2013-05-31,2025-02-01,,4,2013-08-29,2013-09-27,37,2,2,0,2,47,5,0,16,143,24,0,1,28688,11241,0,0,0,0,0,0,0,0,0,0,0,0,0,3.864864864864865,145163,16035,174,29065,190263,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,1,5,0,0
echarts,2013-05-31,2025-02-01,,5,2013-09-28,2013-10-27,9,2,2,0,2,47,5,0,4,76,3,0,0,18097,3686,0,0,0,0,0,0,0,0,0,0,0,0,0,8.444444444444445,167749,12790,174,23915,204454,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,0,0,2,0,0
echarts,2013-05-31,2025-02-01,,6,2013-10-28,2013-11-26,71,2,2,0,2,47,5,0,19,241,24,0,0,13561,3874,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3943661971830985,174971,12848,177,24253,212072,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,0,0,0,1,0,0
echarts,2013-05-31,2025-02-01,,7,2013-11-27,2013-12-26,40,3,3,1,2,57,5,0,13,314,140,98,76,105528,92166,0,0,0,0,0,0,0,0,0,0,0,0,1,7.85,179295,13111,161,25204,217610,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,0,0,0,2,0,0
echarts,2013-05-31,2025-02-01,,8,2013-12-27,2014-01-25,58,2,2,0,2,60,5,0,17,300,17,0,0,16786,7628,0,0,0,0,0,0,0,0,0,0,0,0,0,5.172413793103448,185503,13643,171,25526,224672,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,0,0,0,0,0,0
echarts,2013-05-31,2025-02-01,,9,2014-01-26,2014-02-24,19,2,2,0,2,61,5,0,6,83,6,0,0,6031,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,4.368421052631579,187416,13711,173,25659,226786,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,0,0,0,0,0
echarts,2013-05-31,2025-02-01,,10,2014-02-25,2014-03-26,101,2,2,1,1,62,5,0,22,380,19,0,2,26244,8354,0,0,0,0,0,0,0,0,0,0,0,0,1,3.762376237623762,200932,14314,183,26957,242203,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0,0,0,0,0,0
echarts,2013-05-31,2025-02-01,,11,2014-03-27,2014-04-25,90,2,2,1,1,62,5,0,15,359,15,20,0,19574,169296,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988888888888889,75682,6795,174,9343,91820,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,0,0,1,0,0,0
echarts,2013-05-31,2025-02-01,,12,2014-04-26,2014-05-25,71,2,2,1,1,62,5,0,14,199,6,0,0,5236,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8028169014084505,76659,6922,177,9461,93042,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0,0,1,0,0,0
echarts,2013-05-31,2025-02-01,,13,2014-05-26,2014-06-24,107,3,3,0,3,63,5,0,19,309,26,2,3,13537,9775,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8878504672897196,77098,7203,186,9179,93480,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,0,0,2,0,0,0
echarts,2013-05-31,2025-02-01,,14,2014-06-25,2014-07-24,67,5,5,3,2,66,5,0,15,259,59,1,1,199014,17268,0,0,0,0,0,0,0,0,0,0,0,0,2,3.8656716417910446,231200,16219,204,26836,274255,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,0,0,1,3,0,0
echarts,2013-05-31,2025-02-01,,15,2014-07-25,2014-08-23,17,4,4,0,4,66,5,0,10,67,1,0,1,1324,1136,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9411764705882355,231302,16265,204,26859,274426,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,0,0,1,3,0,0
echarts,2013-05-31,2025-02-01,,16,2014-08-24,2014-09-22,69,3,3,0,3,73,6,0,14,141,21,0,2,24872,14005,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0434782608695654,237940,16898,219,29308,284146,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,0,0,2,0,0,0
echarts,2013-05-31,2025-02-01,,17,2014-09-23,2014-10-22,38,2,2,0,2,73,6,0,16,102,12,0,0,31448,24154,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6842105263157894,243343,17041,226,30030,290414,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,0,0,2,0,0,0
