project,start_date,end_date,status,measurement_month,window_start_date,window_end_date,commits,authors,committers,minor_contributors,major_contributors,directories,top_level_dirs,releases,active_days,files_modified,files_added,files_deleted,files_renamed,added_lines,deleted_lines,emails,devs,emails_thread_starter,emails_thread_starter_word_count,emails_thread_starter_characters,emails_threads,emails_threads_word_count,emails_threads_characters,emails_no_replies,emails_no_replies_word_count,emails_no_replies_characters,emails_jira,new_contributors,avg_files_modified_commit,code,blanks,files,comments,lines,programming_lang,most_complex_unit_loc,most_complex_unit_mcabe_index,total_number_of_files,number_of_files_main,lines_of_code_main,number_of_files_test,lines_of_code_test,test_vs_main_lines_of_code_percentage,number_of_files_generated,lines_of_code_generated,number_of_files_build_and_deployment,lines_of_code_build_and_deployment,negligible_risk_file_size_count,low_risk_file_size_count,medium_risk_file_size_count,high_risk_file_size_count,very_high_risk_file_size_count,negligible_risk_file_size_loc,low_risk_file_size_loc,medium_risk_file_size_loc,high_risk_file_size_loc,very_high_risk_file_size_loc,number_of_units,lines_of_code_in_units,lines_of_code_outside_units,unit_size_negligible_risk_loc,unit_size_negligible_risk_count,unit_size_low_risk_loc,unit_size_low_risk_count,unit_size_medium_risk_loc,unit_size_medium_risk_count,unit_size_high_risk_loc,unit_size_high_risk_count,unit_size_very_high_risk_loc,unit_size_very_high_risk_count,conditional_complexity_negligible_risk_loc,conditional_complexity_negligible_risk_count,conditional_complexity_low_risk_loc,conditional_complexity_low_risk_count,conditional_complexity_medium_risk_loc,conditional_complexity_medium_risk_count,conditional_complexity_high_risk_loc,conditional_complexity_high_risk_count,conditional_complexity_very_high_risk_loc,conditional_complexity_very_high_risk_count,conditional_complexity_high_plus_risk_count,conditional_complexity_high_plus_risk_loc,number_of_contributors,duplication_number_of_duplicates,duplication_number_of_files_with_duplicates,duplication_number_of_duplicated_lines,duplication_percentage,unit_duplicates_count
incubator-pagespeed-mod,2010-06-30,2023-04-21,,1,2010-06-30,2010-07-29,15,3,3,0,3,33,7,0,11,139,196,5,1,20913,1819,0,0,0,0,0,0,0,0,0,0,0,0,3,9.266666666666667,10230,2517,176,5092,17839,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,2,2010-07-30,2010-08-28,11,5,5,0,5,35,7,0,10,284,69,6,0,11440,3224,0,0,0,0,0,0,0,0,0,0,0,0,2,25.818181818181817,15510,3589,235,6691,25790,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,3,2010-08-29,2010-09-27,15,4,4,0,4,74,7,0,9,228,143,17,0,29023,7049,0,0,0,0,0,0,0,0,0,0,0,0,1,15.2,30145,5554,340,10592,46291,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,4,2010-09-28,2010-10-27,38,5,5,1,4,90,7,0,15,596,150,11,12,49475,6667,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68421052631579,57623,10097,440,17149,84869,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,5,2010-10-28,2010-11-26,35,5,5,1,4,91,7,0,20,526,56,1,2,12091,5592,0,0,0,0,0,0,0,0,0,0,0,0,1,15.028571428571428,60903,10913,480,18678,90494,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,6,2010-11-27,2010-12-26,31,6,6,2,4,91,7,0,15,311,22,5,3,8440,2586,0,0,0,0,0,0,0,0,0,0,0,0,1,10.03225806451613,64756,11731,495,19757,96244,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,7,2010-12-27,2011-01-25,32,5,5,2,3,97,7,0,15,609,74,4,60,15592,4191,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03125,72848,12670,533,20860,106378,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,8,2011-01-26,2011-02-24,71,5,5,2,3,99,7,0,21,518,26,9,5,10670,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,7.295774647887324,76714,13421,550,21988,112123,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,9,2011-02-25,2011-03-26,54,6,6,3,3,108,7,0,19,566,53,4,3,12751,5502,0,0,0,0,0,0,0,0,0,0,0,0,1,10.481481481481481,80894,14481,584,23457,118832,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,10,2011-03-27,2011-04-25,37,5,5,2,3,118,7,0,16,803,24,0,7,9072,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7027027027027,83287,15075,605,24784,123146,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,11,2011-04-26,2011-05-25,54,6,6,1,5,120,7,0,21,795,56,5,3,14008,4810,0,0,0,0,0,0,0,0,0,0,0,0,1,14.722222222222221,89159,15991,650,26341,131491,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,12,2011-05-26,2011-06-24,73,6,6,4,2,124,7,0,21,791,42,0,8,13634,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,10.835616438356164,94458,17168,683,28043,139669,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,13,2011-06-25,2011-07-24,29,6,6,1,5,124,7,0,12,380,19,3,8,6499,2987,0,0,0,0,0,0,0,0,0,0,0,0,1,13.10344827586207,96695,17548,699,28860,143103,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,14,2011-07-25,2011-08-23,64,7,7,4,3,124,7,0,20,440,33,10,0,11839,3768,0,0,0,0,0,0,0,0,0,0,0,0,1,6.875,101828,18472,719,30262,150562,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,15,2011-08-24,2011-09-22,74,6,6,3,3,125,7,0,21,523,22,11,0,10189,5090,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0675675675675675,105165,19076,729,31233,155474,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,16,2011-09-23,2011-10-22,65,4,4,1,3,127,7,0,20,552,33,4,1,11052,3901,0,0,0,0,0,0,0,0,0,0,0,0,0,8.492307692307692,109724,19990,753,32518,162232,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incubator-pagespeed-mod,2010-06-30,2023-04-21,,17,2011-10-23,2011-11-21,63,6,6,2,4,130,7,0,17,553,31,1,1,13500,3841,0,0,0,0,0,0,0,0,0,0,0,0,0,8.777777777777779,116545,21109,779,34064,171718,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
